vertex,label
0,3
1,6
2,10
3,13
4,9
5,7
6,12
7,14
8,7
9,9
10,14
11,7
12,9
13,15
14,13
15,7
16,14
17,11
18,9
19,12
20,7
21,9
22,11
23,7
24,9
25,11
26,7
27,9
28,11
29,5
30,11
31,0
32,2
33,4
34,0
35,2
36,4
37,0
38,2
39,4
40,0
41,2
42,4
43,0
44,2
45,4
46,0
47,2
48,4
49,0
50,2
51,4
52,0
53,2
54,4
55,0
56,2
57,4
58,0
59,3
60,13
61,5
62,7
63,14
64,6
65,11
66,13
67,6
68,11
69,13
70,6
71,8
72,10
73,6
74,8
75,10
76,6
77,8
78,15
79,6
80,8
81,10
82,6
83,8
84,10
85,6
86,8
87,10
88,6
89,8
90,15
91,1
92,3
93,10
94,1
95,3
96,15
97,1
98,3
99,15
100,1
101,3
102,12
103,1
104,3
105,12
106,1
107,3
108,12
109,1
110,3
111,12
112,1
113,3
114,12
115,1
116,3
117,12
118,1
119,13
120,12
121,6
122,8
123,13
124,5
125,7
126,9
127,5
128,7
129,12
130,5
131,7
132,9
133,5
134,7
135,9
136,5
137,7
138,9
139,5
140,7
141,9
142,5
143,7
144,9
145,5
146,7
147,9
148,4
149,7
150,10
151,0
152,2
153,15
154,0
155,2
156,11
157,0
158,2
159,14
160,0
161,2
162,11
163,0
164,2
165,11
166,0
167,2
168,11
169,0
170,2
171,11
172,0
173,2
174,11
175,0
176,2
177,11
178,0
179,14
180,13
181,4
182,7
183,12
184,4
185,6
186,8
187,4
188,6
189,8
190,4
191,6
192,8
193,4
194,6
195,8
196,4
197,6
198,8
199,4
200,6
201,8
202,4
203,6
204,8
205,4
206,6
207,8
208,3
209,6
210,6
211,1
212,9
213,14
214,1
215,13
216,10
217,1
218,12
219,10
220,1
221,15
222,10
223,1
224,12
225,15
226,1
227,12
228,10
229,1
230,12
231,10
232,1
233,12
234,10
235,1
236,12
237,10
238,1
239,9
240,8
241,3
242,5
243,11
244,3
245,5
246,7
247,3
248,5
249,7
250,3
251,5
252,7
253,3
254,5
255,7
256,3
257,5
258,7
259,3
260,5
261,7
262,3
263,5
264,7
265,3
266,5
267,7
268,4
269,11
270,10
271,0
272,7
273,15
274,0
275,9
276,11
277,0
278,9
279,11
280,0
281,9
282,11
283,0
284,9
285,11
286,0
287,9
288,13
289,0
290,9
291,11
292,0
293,9
294,11
295,0
296,9
297,2
298,0
299,13
300,12
301,2
302,4
303,10
304,2
305,4
306,6
307,2
308,4
309,6
310,2
311,4
312,6
313,2
314,4
315,6
316,2
317,4
318,6
319,2
320,4
321,6
322,2
323,4
324,6
325,15
326,13
327,6
328,8
329,5
330,9
331,6
332,8
333,14
334,12
335,8
336,10
337,12
338,8
339,10
340,12
341,8
342,10
343,12
344,8
345,10
346,12
347,8
348,10
349,12
350,8
351,10
352,14
353,8
354,1
355,3
356,10
357,1
358,3
359,11
360,11
361,0
362,3
363,1
364,5
365,0
366,3
367,1
368,5
369,0
370,3
371,1
372,5
373,0
374,3
375,1
376,5
377,0
378,3
379,1
380,5
381,0
382,3
383,5
384,11
385,7
386,5
387,12
388,7
389,9
390,13
391,5
392,7
393,9
394,11
395,7
396,9
397,11
398,7
399,9
400,6
401,11
402,7
403,9
404,6
405,11
406,7
407,9
408,6
409,11
410,7
411,9
412,13
413,15
414,0
415,2
416,9
417,0
418,2
419,5
420,8
421,2
422,12
423,4
424,2
425,13
426,4
427,2
428,13
429,4
430,2
431,15
432,4
433,2
434,13
435,4
436,2
437,12
438,4
439,2
440,14
441,4
442,1
443,6
444,4
445,13
446,6
447,4
448,8
449,11
450,11
451,0
452,6
453,8
454,0
455,6
456,8
457,0
458,10
459,8
460,0
461,10
462,8
463,0
464,10
465,8
466,0
467,10
468,8
469,0
470,10
471,8
472,11
473,14
474,8
475,1
476,10
477,12
478,1
479,6
480,7
481,3
482,10
483,14
484,3
485,10
486,12
487,3
488,5
489,12
490,3
491,5
492,12
493,3
494,5
495,14
496,3
497,5
498,13
499,3
500,5
501,13
502,0
503,2
504,5
505,3
506,7
507,5
508,3
509,9
510,12
511,1
512,5
513,7
514,1
515,5
516,7
517,1
518,9
519,7
520,1
521,9
522,7
523,1
524,9
525,7
526,1
527,9
528,7
529,1
530,9
531,7
532,4
533,9
534,12
535,0
536,9
537,11
538,0
539,7
540,4
541,8
542,11
543,9
544,13
545,11
546,15
547,4
548,11
549,13
550,4
551,11
552,13
553,4
554,11
555,15
556,4
557,11
558,15
559,4
560,11
561,15
562,1
563,6
564,15
565,4
566,2
567,6
568,4
569,12
570,10
571,0
572,2
573,4
574,0
575,2
576,6
577,0
578,2
579,6
580,0
581,2
582,6
583,0
584,2
585,6
586,0
587,2
588,6
589,0
590,2
591,5
592,3
593,8
594,10
595,7
596,14
597,8
598,1
599,14
600,12
601,5
602,7
603,10
604,8
605,14
606,9
607,12
608,8
609,10
610,12
611,8
612,10
613,12
614,8
615,10
616,12
617,8
618,10
619,14
620,7
621,9
622,0
623,12
624,5
625,0
626,3
627,5
628,10
629,3
630,15
631,1
632,3
633,13
634,1
635,3
636,5
637,1
638,3
639,5
640,1
641,3
642,5
643,1
644,3
645,5
646,1
647,3
648,5
649,1
650,4
651,13
652,6
653,2
654,9
655,11
656,15
657,12
658,0
659,15
660,4
661,6
662,9
663,11
664,6
665,15
666,7
667,11
668,13
669,7
670,9
671,11
672,7
673,9
674,11
675,7
676,9
677,11
678,15
679,12
680,8
681,11
682,15
683,4
684,7
685,1
686,4
687,2
688,6
689,4
690,10
691,0
692,2
693,4
694,0
695,2
696,4
697,0
698,2
699,4
700,0
701,2
702,4
703,0
704,2
705,4
706,0
707,2
708,6
709,0
710,2
711,5
712,0
713,10
714,12
715,14
716,8
717,10
718,13
719,8
720,8
721,5
722,7
723,10
724,8
725,12
726,9
727,6
728,8
729,10
730,6
731,8
732,10
733,6
734,8
735,12
736,14
737,8
738,4
739,9
740,7
741,13
742,3
743,6
744,2
745,0
746,3
747,5
748,0
749,15
750,15
751,1
752,3
753,13
754,1
755,3
756,14
757,1
758,3
759,14
760,1
761,3
762,13
763,1
764,3
765,5
766,1
767,10
768,12
769,1
770,11
771,15
772,1
773,8
774,4
775,7
776,9
777,11
778,2
779,9
780,13
781,6
782,9
783,11
784,5
785,7
786,10
787,5
788,7
789,9
790,5
791,7
792,9
793,11
794,7
795,9
796,15
797,3
798,5
799,14
800,6
801,4
802,10
803,12
804,14
805,1
806,13
807,4
808,6
809,12
810,8
811,0
812,2
813,14
814,0
815,2
816,15
817,0
818,2
819,11
820,0
821,2
822,4
823,0
824,2
825,4
826,0
827,7
828,9
829,0
830,2
831,13
832,0
833,2
834,5
835,3
836,8
837,0
838,10
839,1
840,10
841,4
842,7
843,10
844,4
845,6
846,9
847,4
848,6
849,8
850,13
851,6
852,8
853,10
854,6
855,8
856,10
857,2
858,4
859,11
860,7
861,5
862,8
863,15
864,7
865,10
866,12
867,2
868,5
869,3
870,6
871,1
872,12
873,15
874,1
875,11
876,13
877,1
878,10
879,3
880,1
881,15
882,3
883,1
884,12
885,3
886,5
887,12
888,6
889,1
890,3
891,10
892,1
893,4
894,13
895,1
896,4
897,7
898,9
899,11
