vertex,label
0,11
1,4
2,2
3,7
4,5
5,0
6,6
7,2
8,0
9,7
10,10
11,5
12,4
13,9
14,6
15,7
16,9
17,10
18,1
19,1
20,3
21,8
22,10
23,6
24,4
25,2
26,0
27,4
28,6
29,8
30,9
31,10
32,6
33,10
34,3
35,2
36,1
37,9
38,10
39,6
40,10
41,11
42,11
43,3
44,0
45,1
46,9
47,11
48,5
49,3
50,10
51,9
52,10
53,11
54,8
55,8
56,1
57,1
58,4
59,3
60,9
61,6
62,4
63,7
64,11
65,10
66,1
67,11
68,11
69,2
70,1
71,6
72,8
73,8
74,4
75,0
76,0
77,6
78,2
79,6
80,5
81,5
82,3
83,7
84,0
85,3
86,6
87,2
88,0
89,4
90,8
91,6
92,9
93,11
94,10
95,2
96,7
97,5
98,5
99,7
100,11
101,2
102,11
103,7
104,0
105,8
106,7
107,0
108,8
109,4
110,10
111,11
112,11
113,0
114,9
