vertex,label
0,11
1,13
2,6
3,0
4,0
5,2
6,10
7,10
8,4
9,12
10,4
11,8
12,5
13,6
14,1
15,6
16,13
17,11
18,3
19,9
20,8
21,11
22,7
23,1
24,0
25,7
26,11
27,5
28,13
29,5
30,2
31,13
32,10
33,1
34,2
35,0
36,9
37,11
38,9
39,8
40,5
41,4
42,3
43,12
44,6
45,0
46,3
47,7
48,6
49,0
50,1
51,12
52,5
53,5
54,4
55,3
56,0
57,10
58,3
59,2
60,9
61,10
62,8
63,7
64,2
65,10
66,9
67,2
68,12
69,4
70,0
71,11
72,13
73,6
74,2
75,11
76,0
77,1
78,6
79,2
80,1
81,6
82,9
83,0
84,1
85,3
86,11
87,13
88,8
89,11
90,4
91,13
92,5
93,9
94,3
95,12
96,3
97,4
98,13
99,5
100,0
101,13
102,7
103,8
104,7
105,7
106,13
107,11
108,1
109,12
110,8
111,9
112,7
113,6
114,1
115,11
116,10
117,1
118,4
119,8
120,6
121,10
122,7
123,10
124,11
125,3
126,9
127,5
128,0
129,4
130,10
131,2
132,10
133,2
134,0
135,3
136,5
137,0
138,3
139,0
140,13
141,2
142,7
143,5
144,0
145,12
146,6
147,9
148,12
149,1
150,6
151,13
152,8
153,5
154,3
155,7
156,13
157,4
158,2
159,1
160,12
161,11
162,5
163,0
164,1
165,13
166,11
167,8
168,11
169,4
170,5
171,7
172,9
173,3
174,11
175,7
176,1
177,6
178,10
179,10
180,3
181,0
182,13
183,9
184,2
185,10
186,13
187,4
188,6
189,10
190,2
191,12
192,9
193,8
194,12
195,4
196,5
197,5
198,0
199,6
200,0
201,7
202,13
203,3
204,4
205,10
206,1
207,7
208,11
209,8
210,5
211,13
212,13
213,2
214,9
215,0
