vertex,label
0,0
1,0
2,3
3,2
4,7
5,12
6,9
7,1
8,0
9,4
10,3
11,0
12,31
13,3
14,15
15,21
16,16
17,6
18,12
19,7
20,2
21,18
22,9
23,5
24,15
25,6
26,7
27,11
28,8
29,9
30,14
31,5
32,20
33,30
34,19
35,9
36,6
37,0
38,0
39,21
40,2
41,1
42,4
43,17
44,16
45,0
46,3
47,23
48,34
49,12
50,20
51,17
52,7
53,13
54,8
55,9
56,22
57,6
58,11
59,14
60,10
61,4
62,12
63,5
64,7
65,16
66,9
67,30
68,1
69,32
70,22
71,7
72,20
73,2
74,0
75,0
76,15
77,22
78,1
79,1
80,3
81,6
82,32
83,35
84,11
85,19
86,14
87,3
88,17
89,9
90,7
91,14
92,11
93,9
94,18
95,6
96,5
97,13
98,8
99,11
100,4
101,10
102,28
103,1
104,33
105,23
106,22
107,19
108,20
109,21
110,8
111,3
112,1
113,20
114,5
115,16
116,16
117,35
118,38
119,12
120,21
121,10
122,5
123,15
124,3
125,8
126,20
127,6
128,10
129,22
130,9
131,6
132,13
133,7
134,3
135,9
136,2
137,33
138,1
139,36
140,8
141,14
142,10
143,5
144,22
145,21
146,15
147,3
148,21
149,1
150,1
151,6
152,38
153,13
154,13
155,19
156,16
157,3
158,17
159,8
160,7
161,24
162,10
163,9
164,13
165,6
166,5
167,18
168,8
169,7
170,4
171,10
172,36
173,1
174,41
175,7
176,3
177,18
178,11
179,20
180,23
181,17
182,1
183,1
184,21
185,3
186,5
187,39
188,7
189,14
190,8
191,15
192,6
193,17
194,7
195,8
196,19
197,9
198,5
199,15
200,11
201,7
202,17
203,6
204,0
205,14
206,1
207,11
208,6
209,40
210,5
211,4
212,3
213,0
214,14
215,2
216,9
217,4
218,3
219,0
220,6
221,7
222,40
223,5
224,8
225,1
226,18
227,5
228,11
229,13
230,3
231,10
232,4
233,16
234,15
235,13
236,11
237,0
238,11
239,17
240,8
241,14
242,3
243,13
244,19
245,10
246,12
247,1
248,19
249,13
250,12
251,10
252,28
253,22
254,7
255,25
256,21
257,10
258,5
259,14
260,19
261,16
262,21
263,0
264,15
265,1
266,17
267,16
268,4
269,12
270,3
271,19
272,18
273,13
274,20
275,0
276,6
277,7
278,8
279,13
280,2
281,15
282,14
283,19
284,17
285,11
286,21
287,23
288,27
289,25
290,8
291,6
292,13
293,4
294,15
295,16
296,2
297,10
298,1
299,18
300,15
301,12
302,5
303,4
304,2
305,17
306,16
307,13
308,0
309,12
310,3
311,14
312,15
313,2
314,21
315,19
316,23
317,22
318,7
319,17
320,15
321,19
322,27
323,9
324,7
325,17
326,13
327,1
328,18
329,4
330,11
331,0
332,14
333,17
334,16
335,12
336,2
337,18
338,19
339,13
340,14
341,4
342,1
343,12
344,17
345,16
346,0
347,8
348,14
349,11
350,19
351,5
352,13
353,11
354,15
355,17
356,11
357,6
358,15
359,20
360,9
361,22
362,0
363,14
364,1
365,12
366,15
367,5
368,13
369,4
370,19
371,17
372,2
373,20
374,0
375,3
376,11
377,12
378,14
379,2
380,13
381,15
382,16
383,17
384,12
385,9
386,37
387,34
388,39
389,10
390,2
391,12
392,5
393,16
394,18
395,13
396,4
397,15
398,16
399,1
400,12
401,0
402,10
403,3
404,12
405,14
406,2
407,14
408,18
409,16
410,8
411,4
412,9
413,12
414,13
415,10
416,8
417,5
418,3
419,37
420,42
421,29
422,18
423,14
424,10
425,6
426,2
427,24
428,26
429,16
430,12
431,8
432,4
433,0
