vertex,label
0,9
1,5
2,15
3,7
4,16
5,14
6,18
7,13
8,17
9,12
10,10
11,13
12,16
13,7
14,9
15,4
16,4
17,6
18,2
19,0
20,10
21,7
22,8
23,11
24,9
25,5
26,3
27,1
28,14
29,1
30,16
31,18
32,12
33,8
34,11
35,19
36,6
37,14
38,10
39,2
40,8
41,17
42,2
43,4
44,14
45,19
46,15
47,6
48,8
49,11
50,18
51,12
52,13
53,11
54,14
55,16
56,1
57,3
58,9
59,7
60,6
61,10
62,4
63,0
64,2
65,15
66,17
67,2
68,18
69,6
70,5
71,19
72,15
73,17
74,13
75,8
76,4
77,1
78,12
79,7
80,18
81,11
82,12
83,8
84,12
85,19
86,9
87,10
88,13
89,15
90,11
91,14
92,1
93,7
94,8
95,0
96,16
97,6
98,10
99,13
100,15
101,5
102,17
103,14
104,4
105,11
106,17
107,17
108,16
109,0
110,0
111,0
112,2
113,5
114,4
115,10
116,9
117,13
118,14
119,19
120,18
121,12
122,8
123,2
124,1
125,18
126,9
127,15
128,14
129,19
130,16
131,6
132,5
133,17
134,15
135,5
136,13
137,8
138,10
139,14
140,19
141,6
142,3
143,9
144,1
145,6
146,17
147,10
148,7
149,8
150,11
151,12
152,16
153,0
154,12
155,14
156,15
157,13
158,19
159,18
160,16
161,4
162,0
163,17
164,3
165,12
166,7
167,9
168,6
169,8
170,13
171,16
172,10
173,4
174,0
175,15
176,10
177,17
178,18
179,19
180,12
181,7
182,1
183,2
184,0
185,7
186,8
187,9
188,10
189,11
190,6
191,1
192,13
193,19
194,2
195,14
196,1
197,6
198,1
199,1
200,3
201,5
202,10
203,9
204,6
205,3
206,4
207,14
208,5
209,18
210,16
211,8
212,0
213,2
214,5
215,9
216,10
217,11
218,12
219,13
220,14
221,7
222,4
223,10
224,15
225,1
226,0
227,6
228,9
229,19
230,18
231,12
232,19
233,7
234,15
235,1
236,19
237,16
238,1
239,1
240,1
241,0
242,9
243,13
244,7
245,8
246,11
247,10
248,12
249,17
250,5
251,12
252,10
253,14
254,6
255,15
256,8
257,11
258,2
259,16
260,17
261,1
262,8
263,12
264,14
265,10
266,5
267,7
268,9
269,6
270,11
271,13
272,19
273,12
274,14
275,6
276,0
277,0
278,0
279,0
280,16
281,15
282,4
283,17
284,3
285,4
286,6
287,4
288,8
289,2
290,0
291,9
292,10
293,11
294,13
295,8
296,12
297,14
298,15
299,16
300,19
301,4
302,9
303,10
304,5
305,7
306,1
307,3
308,14
309,18
310,13
311,6
312,7
313,13
314,11
315,17
316,13
317,17
318,17
319,18
320,18
321,19
322,18
323,18
324,7
325,7
326,9
327,3
328,5
329,13
330,16
331,1
332,15
333,11
334,6
335,0
336,4
337,10
338,3
339,2
340,14
341,18
342,10
343,7
344,4
345,8
346,13
347,17
348,3
349,12
350,18
351,2
352,2
353,19
354,5
355,13
356,4
357,10
358,11
359,14
360,17
361,12
362,15
363,2
364,8
365,9
366,1
367,10
368,11
369,14
370,16
371,7
372,6
373,12
374,9
375,5
376,2
377,8
378,17
379,18
380,19
381,15
382,9
383,3
384,6
385,10
386,4
387,9
388,8
389,7
390,17
391,11
392,16
393,0
394,5
395,12
396,19
397,19
398,0
399,18
400,0
401,0
402,2
403,0
404,8
405,1
406,6
407,14
408,7
409,9
410,10
411,12
412,11
413,3
414,19
415,4
416,2
417,12
418,8
419,6
420,5
421,15
422,14
423,7
424,0
