vertex,label
0,0
1,2
2,4
3,0
4,2
5,4
6,0
7,16
8,10
9,1
10,15
11,11
12,16
13,5
14,1
15,11
16,14
17,0
18,2
19,4
20,0
21,2
22,5
23,7
24,9
25,6
26,8
27,10
28,7
29,5
30,11
31,1
32,3
33,12
34,9
35,7
36,5
37,0
38,4
39,9
40,15
41,2
42,6
43,8
44,13
45,15
46,2
47,16
48,11
49,6
50,2
51,12
52,4
53,8
54,0
55,2
56,4
57,0
58,2
59,4
60,0
61,2
62,5
63,1
64,3
65,0
66,2
67,4
68,0
69,6
70,1
71,3
72,0
73,5
74,7
75,13
76,5
77,7
78,16
79,13
80,15
81,12
82,1
83,6
84,6
85,8
86,15
87,11
88,13
89,7
90,3
91,1
92,4
93,0
94,7
95,13
96,0
97,2
98,4
99,1
100,16
101,0
102,2
103,5
104,8
105,5
106,7
107,9
108,5
109,2
110,8
111,14
112,3
113,1
114,10
115,14
116,16
117,13
118,4
119,12
120,11
121,9
122,15
123,14
124,7
125,10
126,10
127,0
128,2
129,4
130,0
131,2
132,4
133,0
134,6
135,1
136,3
137,0
138,2
139,5
140,7
141,15
142,5
143,7
144,9
145,5
146,8
147,13
148,3
149,1
150,11
151,13
152,6
153,8
154,4
155,6
156,11
157,14
158,9
159,16
160,12
161,10
162,12
163,14
164,10
165,4
166,2
167,14
168,3
169,16
170,0
171,2
172,6
173,0
174,2
175,5
176,7
177,16
178,1
179,13
180,0
181,5
182,7
183,9
184,5
185,11
186,15
187,13
188,14
189,16
190,1
191,4
192,6
193,3
194,12
195,13
196,15
197,11
198,13
199,6
200,14
201,8
202,16
203,14
204,3
205,5
206,0
207,2
208,16
209,0
210,2
211,4
212,9
213,4
214,1
215,3
216,0
217,5
218,11
219,15
220,7
221,9
222,15
223,13
224,10
225,12
226,1
227,6
228,16
229,3
230,8
231,14
232,11
233,1
234,8
235,6
236,9
237,16
238,10
239,1
240,4
241,6
242,0
243,2
244,4
245,0
246,2
247,5
248,3
249,16
250,6
251,9
252,7
253,12
254,10
255,8
256,1
257,3
258,15
259,1
260,10
261,5
262,0
263,4
264,7
265,9
266,2
267,16
268,6
269,8
270,3
271,1
272,4
273,0
274,2
275,4
276,0
277,16
278,2
279,15
280,0
281,2
282,4
283,7
284,15
285,1
286,9
287,6
288,8
289,11
290,5
291,16
292,3
293,1
294,13
295,7
296,8
297,5
298,9
299,15
300,11
301,16
302,12
303,3
304,14
305,8
306,5
307,0
308,2
309,4
310,0
311,3
312,14
313,11
314,0
315,12
316,14
317,7
318,9
319,5
320,8
321,1
322,3
323,12
324,10
325,4
326,16
327,10
328,14
329,9
330,13
331,11
332,15
333,1
334,13
335,4
336,8
337,15
338,3
339,16
340,4
341,7
342,0
343,2
344,4
345,0
346,2
347,13
348,3
349,7
350,11
351,5
352,8
353,6
354,15
355,16
356,1
357,3
358,16
359,0
360,6
361,14
362,7
363,2
364,8
365,5
366,13
367,15
368,1
369,6
370,3
371,1
372,4
373,0
374,2
375,4
376,0
377,2
378,5
379,1
380,3
381,0
382,2
383,4
384,1
385,8
386,15
387,9
388,14
389,16
390,5
391,6
392,1
393,3
394,6
395,8
396,14
397,11
398,15
399,12
400,7
401,13
402,9
403,16
404,6
405,8
406,7
407,0
408,2
409,4
410,0
411,13
412,16
413,11
414,6
415,16
416,9
417,7
418,14
419,2
420,10
421,1
422,3
423,16
424,7
425,5
426,8
427,12
428,9
429,11
430,15
431,6
432,13
433,10
434,4
435,1
436,3
437,0
438,2
439,4
440,0
441,16
442,2
443,5
444,0
445,2
446,4
447,0
448,9
449,3
450,8
451,6
452,15
453,5
454,9
455,15
456,1
457,3
458,7
459,16
460,10
461,5
462,12
463,14
464,16
465,9
466,6
467,3
468,13
469,7
470,4
471,0
472,2
473,4
474,0
475,3
476,6
477,1
478,14
479,4
480,6
481,10
482,12
483,7
484,12
485,1
486,8
487,14
488,16
489,3
490,5
491,11
492,6
493,9
494,7
495,13
496,15
497,8
498,1
499,3
500,0
501,2
502,4
503,0
504,2
505,4
506,6
507,1
508,5
509,0
510,2
511,4
512,9
513,12
514,5
515,8
516,15
517,5
518,11
519,7
520,1
521,3
522,12
523,9
524,9
525,6
526,14
527,16
528,11
529,8
530,10
531,3
532,12
533,9
534,15
535,0
536,2
537,4
538,0
539,2
540,5
541,9
542,3
543,0
544,16
545,14
546,12
547,5
548,3
549,7
550,14
551,5
552,16
553,14
554,12
555,1
556,3
557,12
558,10
559,6
560,10
561,0
562,8
563,13
564,2
565,5
566,11
567,9
568,15
569,13
570,0
571,2
572,5
573,0
574,2
575,14
576,0
577,13
578,16
579,8
580,15
581,7
582,11
583,10
584,1
585,4
586,12
587,9
588,7
589,9
590,6
591,14
592,14
593,3
594,8
595,10
596,12
597,16
598,5
599,2
600,0
601,3
602,1
603,4
604,0
605,2
606,5
607,1
608,3
609,0
610,2
611,5
612,7
613,7
614,4
615,6
616,8
617,13
618,7
619,10
620,1
621,14
622,2
623,15
624,5
625,3
626,7
627,5
628,8
629,10
630,16
631,6
632,14
633,11
634,6
635,3
636,1
637,4
638,0
639,3
640,14
641,8
642,11
643,16
644,7
645,15
646,8
647,13
648,1
649,14
650,12
651,5
652,15
653,4
654,6
655,16
656,12
657,2
658,8
659,9
660,5
661,11
662,9
663,1
664,3
665,0
666,2
667,4
668,0
669,6
670,2
671,5
672,0
673,2
674,4
675,0
676,10
677,16
678,5
679,7
680,9
681,6
682,8
683,10
684,12
685,1
686,3
687,10
688,6
689,16
690,5
691,7
692,11
693,13
694,9
695,7
696,15
697,12
698,16
699,2
700,4
701,15
702,0
703,3
704,10
705,7
706,10
707,8
708,16
709,14
710,12
711,12
712,14
713,1
714,3
715,0
716,16
717,4
718,10
719,6
720,11
721,7
722,2
723,13
724,9
725,16
726,4
727,15
728,5
729,11
730,13
731,1
732,7
733,9
734,0
735,2
736,4
737,0
738,2
739,4
740,15
741,13
742,6
743,16
744,11
745,3
746,9
747,9
748,1
749,5
750,14
751,1
752,15
753,3
754,0
755,16
756,13
757,6
758,2
759,8
760,15
761,5
762,3
763,1
764,4
765,0
766,2
767,4
768,0
769,9
770,2
771,6
772,0
773,4
774,2
775,0
776,9
777,6
778,8
779,5
780,7
781,15
782,10
783,14
784,1
785,3
786,11
787,8
788,7
789,12
790,14
791,16
792,9
793,5
794,10
795,3
796,13
797,15
798,12
799,0
800,13
801,4
802,0
803,2
804,13
805,16
806,8
807,4
808,14
809,8
810,16
811,6
812,1
813,16
814,11
815,13
816,11
817,3
818,6
819,15
820,15
821,12
822,8
823,7
824,14
825,16
826,13
827,6
828,4
829,9
830,12
831,8
832,4
833,15
834,0
835,2
836,4
837,0
838,2
839,5
840,16
841,8
842,11
843,15
844,6
845,14
846,16
847,13
848,1
849,3
850,12
851,0
852,6
853,8
854,16
855,2
856,11
857,5
858,14
859,13
860,3
861,16
862,1
863,6
864,0
865,2
866,4
867,1
868,3
869,5
870,2
871,0
872,3
873,1
874,5
875,15
876,11
877,7
878,12
879,6
880,11
881,8
882,14
883,16
884,1
885,3
886,16
887,6
888,4
889,7
890,10
891,8
892,15
893,13
894,12
895,6
896,9
897,11
898,1
899,3
900,0
901,2
902,4
903,6
904,8
905,10
906,6
907,11
908,7
909,10
910,15
911,3
912,1
913,9
914,12
915,5
916,7
917,13
918,16
919,9
920,4
921,10
922,6
923,14
924,8
925,3
926,1
927,4
928,0
929,2
930,5
931,8
932,14
933,10
934,7
935,15
936,12
937,14
938,4
939,1
940,3
941,6
942,16
943,9
944,5
945,8
946,11
947,7
948,13
949,15
950,11
951,9
952,16
953,13
954,4
955,6
956,8
957,16
958,3
959,12
960,12
961,7
962,16
963,13
964,15
965,7
966,14
967,1
968,3
969,11
970,0
971,5
972,15
973,9
974,2
975,11
976,6
977,4
978,8
979,1
980,14
981,16
982,1
983,15
984,4
985,16
986,13
987,15
988,1
989,7
990,16
991,8
992,10
993,13
994,3
995,5
996,1
997,4
998,15
999,0
1000,11
1001,6
1002,12
1003,2
1004,16
1005,8
1006,5
1007,14
1008,7
