vertex,label
0,9
1,10
2,12
3,19
4,20
5,18
6,19
7,18
8,20
9,13
10,12
11,16
12,14
13,10
14,21
15,19
16,11
17,0
18,2
19,4
20,0
21,2
22,15
23,0
24,2
25,4
26,0
27,2
28,4
29,0
30,2
31,18
32,13
33,3
34,5
35,1
36,3
37,5
38,1
39,3
40,5
41,1
42,3
43,5
44,1
45,3
46,5
47,19
48,21
49,1
50,7
51,9
52,6
53,0
54,7
55,9
56,0
57,6
58,8
59,0
60,6
61,8
62,0
63,10
64,12
65,4
66,0
67,2
68,4
69,8
70,2
71,4
72,7
73,2
74,4
75,7
76,2
77,4
78,6
79,1
80,21
81,2
82,5
83,7
84,0
85,3
86,5
87,0
88,3
89,5
90,0
91,3
92,5
93,0
94,2
95,13
96,16
97,0
98,3
99,1
100,5
101,7
102,1
103,6
104,8
105,1
106,6
107,8
108,1
109,3
110,5
111,19
112,13
113,4
114,6
115,8
116,2
117,0
118,3
119,9
120,0
121,3
122,9
123,0
124,4
125,6
126,0
127,2
128,14
129,1
130,9
131,0
132,4
133,6
134,8
135,1
136,4
137,6
138,1
139,3
140,7
141,1
142,3
143,5
144,11
145,3
146,5
147,2
148,7
149,1
150,4
151,6
152,2
153,0
154,4
155,6
156,0
157,4
158,6
159,16
160,12
161,0
162,7
163,4
164,0
165,3
166,7
167,0
168,5
169,3
170,7
171,1
172,3
173,7
174,0
175,5
176,20
177,2
178,9
179,1
180,5
181,8
182,1
183,3
184,7
185,1
186,5
187,8
188,6
189,1
190,3
191,9
192,21
193,4
194,0
195,3
196,7
197,0
198,4
199,6
200,0
201,4
202,2
203,0
204,4
205,8
206,5
207,21
208,11
209,1
210,5
211,8
212,1
213,3
214,7
215,1
216,3
217,6
218,8
219,3
220,1
221,6
222,0
223,11
224,13
225,3
226,7
227,0
228,4
229,6
230,0
231,4
232,7
233,0
234,4
235,6
236,8
237,2
238,4
239,19
240,21
241,0
242,2
243,5
244,7
245,1
246,3
247,6
248,1
249,3
250,7
251,0
252,3
253,5
254,1
255,20
256,13
257,4
258,6
259,1
260,3
261,5
262,7
263,0
264,4
265,6
266,1
267,4
268,6
269,0
270,3
271,7
272,19
273,1
274,3
275,7
276,0
277,2
278,4
279,8
280,2
281,0
282,3
283,7
284,1
285,4
286,6
287,10
288,18
289,5
290,0
291,2
292,4
293,6
294,0
295,3
296,5
297,7
298,9
299,0
300,3
301,7
302,0
303,4
304,11
305,2
306,4
307,6
308,1
309,3
310,5
311,1
312,8
313,2
314,4
315,6
316,8
317,1
318,3
319,7
320,12
321,0
322,7
323,3
324,5
325,0
326,2
327,4
328,0
329,5
330,1
331,3
332,0
333,4
334,6
335,9
336,14
337,3
338,1
339,8
340,2
341,4
342,6
343,8
344,2
345,7
346,9
347,5
348,2
349,7
350,0
351,5
352,15
353,5
354,9
355,0
356,6
357,1
358,3
359,0
360,4
361,1
362,3
363,0
364,4
365,1
366,3
367,6
368,10
369,0
370,2
371,4
372,8
373,5
374,7
375,2
376,6
377,8
378,5
379,2
380,6
381,8
382,5
383,13
384,13
385,3
386,5
387,1
388,3
389,0
390,4
391,8
392,0
393,2
394,7
395,4
396,0
397,2
398,7
399,9
400,21
401,1
402,7
403,9
404,5
405,2
406,6
407,1
408,3
409,5
410,0
411,6
412,3
413,5
414,0
415,21
416,10
417,4
418,0
419,2
420,7
421,4
422,0
423,5
424,7
425,1
426,3
427,8
428,1
429,7
430,2
431,14
432,13
433,2
434,5
435,8
436,0
437,6
438,2
439,8
440,0
441,4
442,6
443,0
444,4
445,9
446,5
447,18
448,18
449,0
450,3
451,1
452,4
453,8
454,5
455,1
456,3
457,7
458,1
459,3
460,6
461,0
462,3
463,12
464,14
465,4
466,6
467,9
468,2
469,0
470,3
471,6
472,8
473,0
474,4
475,7
476,1
477,4
478,6
479,16
480,11
481,1
482,8
483,0
484,5
485,7
486,1
487,4
488,2
489,5
490,8
491,0
492,3
493,7
494,0
495,15
496,13
497,3
498,5
499,2
500,8
501,3
502,5
503,0
504,6
505,1
506,3
507,5
508,8
509,1
510,3
511,7
512,19
513,0
514,7
515,4
516,0
517,6
518,2
519,7
520,3
521,8
522,0
523,2
524,4
525,6
526,8
527,17
528,12
529,2
530,9
531,1
532,3
533,8
534,0
535,4
536,1
537,5
538,7
539,9
540,0
541,2
542,4
543,12
544,21
545,4
546,0
547,5
548,7
549,1
550,3
551,6
552,8
553,0
554,2
555,4
556,6
557,8
558,0
559,5
560,12
561,1
562,3
563,8
564,0
565,4
566,7
567,0
568,2
569,4
570,6
571,0
572,2
573,4
574,6
575,1
576,13
577,5
578,7
579,1
580,3
581,6
582,1
583,3
584,5
585,1
586,3
587,5
588,7
589,0
590,2
591,12
592,14
593,0
594,2
595,4
596,7
597,0
598,4
599,6
600,0
601,7
602,9
603,1
604,3
605,5
606,7
607,20
608,20
609,3
610,5
611,0
612,2
613,5
614,7
615,1
616,3
617,5
618,0
619,4
620,6
621,1
622,3
623,19
624,11
625,1
626,7
627,3
628,6
629,1
630,3
631,5
632,7
633,1
634,3
635,7
636,0
637,4
638,6
639,20
640,14
641,4
642,0
643,5
644,8
645,4
646,0
647,2
648,4
649,6
650,8
651,1
652,3
653,7
654,0
655,18
656,11
657,2
658,6
659,1
660,3
661,6
662,8
663,20
664,0
665,2
666,4
667,6
668,8
669,1
670,3
671,9
672,21
673,0
674,3
675,7
676,0
677,2
678,4
679,1
680,3
681,5
682,0
683,2
684,4
685,6
686,8
687,21
688,19
689,4
690,1
691,5
692,8
693,10
694,0
695,5
696,7
697,1
698,3
699,5
700,0
701,2
702,4
703,18
704,11
705,2
706,6
707,0
708,2
709,4
710,6
711,2
712,0
713,4
714,6
715,1
716,3
717,5
718,0
719,6
720,12
721,0
722,3
723,7
724,5
725,0
726,3
727,7
728,5
729,2
730,0
731,4
732,6
733,1
734,3
735,14
736,21
737,4
738,1
739,9
740,3
741,6
742,1
743,4
744,8
745,6
746,3
747,7
748,0
749,4
750,6
751,11
752,13
753,2
754,5
755,0
756,7
757,2
758,5
759,0
760,2
761,4
762,1
763,5
764,2
765,7
766,0
767,10
768,4
769,21
770,18
771,6
772,1
773,0
774,7
775,8
776,9
777,0
778,18
779,0
780,4
781,1
782,9
783,7
784,0
785,1
786,1
787,0
788,1
789,0
790,0
791,1
792,0
793,0
794,1
795,0
796,0
797,1
798,0
799,0
800,2
801,5
802,7
803,21
804,5
805,7
806,9
807,5
808,7
809,21
810,5
811,7
812,9
813,5
814,7
815,3
816,4
817,20
818,0
819,6
820,8
821,10
822,6
823,8
824,10
825,12
826,14
827,10
828,19
829,14
830,1
831,3
832,0
833,11
834,2
835,4
836,1
837,3
838,20
839,1
840,13
841,15
842,1
843,4
844,21
845,2
846,4
847,6
848,0
849,7
850,9
851,13
852,10
853,5
854,0
855,19
856,9
857,0
858,6
859,12
860,0
861,7
862,10
863,0
864,0
865,12
866,1
867,3
868,8
869,1
870,7
871,2
872,14
873,7
874,2
875,9
876,11
877,18
878,21
879,0
880,1
881,5
882,7
883,10
884,12
885,4
886,9
887,11
888,4
889,9
890,11
891,4
892,6
893,8
894,1
895,3
896,6
897,2
898,0
899,4
900,6
901,20
902,12
903,14
904,6
905,13
906,7
907,10
908,2
909,13
910,4
911,2
912,0
913,11
914,3
915,16
916,1
917,3
918,0
919,19
920,9
921,2
922,18
923,8
924,5
925,9
926,7
927,0
928,0
929,7
930,1
931,6
932,10
933,5
934,2
935,8
936,12
937,5
938,9
939,2
940,10
941,21
942,1
943,3
944,1
945,4
946,14
947,8
948,2
949,9
950,19
951,4
952,1
953,8
954,0
955,4
956,8
957,18
958,9
959,2
960,0
961,6
962,18
963,15
964,19
965,4
966,6
967,9
968,11
969,6
970,3
971,20
972,0
973,10
974,19
975,0
976,0
977,8
978,12
979,20
980,16
981,21
982,2
983,12
984,5
985,9
986,7
987,5
988,2
989,13
990,1
991,3
992,0
993,10
994,2
995,17
996,6
997,8
998,5
999,10
1000,21
1001,1
1002,12
1003,9
1004,20
1005,4
1006,7
1007,2
1008,0
1009,5
1010,9
1011,3
1012,10
1013,2
1014,11
1015,8
1016,2
1017,11
1018,21
1019,1
1020,5
1021,0
1022,16
1023,1
1024,1
1025,7
1026,4
1027,12
1028,0
1029,4
1030,9
1031,18
1032,10
1033,8
1034,5
1035,11
1036,7
1037,17
1038,6
1039,0
1040,5
1041,2
1042,0
1043,9
1044,6
1045,21
1046,1
1047,3
1048,7
1049,2
1050,20
1051,8
1052,2
1053,21
1054,8
1055,0
1056,0
1057,6
1058,8
1059,4
1060,12
1061,14
1062,18
1063,11
1064,9
1065,4
1066,6
1067,12
1068,5
1069,9
1070,1
1071,3
1072,0
1073,3
1074,11
1075,14
1076,8
1077,1
1078,16
1079,6
1080,0
1081,14
1082,1
1083,4
1084,19
1085,16
1086,5
1087,2
1088,0
1089,7
1090,1
1091,9
