vertex,label
0,8
1,0
2,0
3,0
4,10
5,1
6,9
7,1
8,1
9,12
10,1
11,1
12,0
13,3
14,13
15,0
16,3
17,0
18,0
19,12
20,1
21,3
22,1
23,1
24,13
25,0
26,1
27,0
28,3
29,12
30,0
31,3
32,0
33,0
34,14
35,1
36,3
37,1
38,1
39,12
40,0
41,1
42,0
43,3
44,13
45,0
46,3
47,0
48,0
49,12
50,1
51,3
52,1
53,1
54,13
55,0
56,1
57,0
58,3
59,12
60,0
61,3
62,0
63,0
64,13
65,1
66,3
67,1
68,1
69,8
70,0
71,1
72,0
73,3
74,7
75,0
76,9
77,0
78,0
79,3
80,11
81,2
82,2
83,2
84,0
85,5
86,4
87,8
88,13
89,2
90,7
91,6
92,10
93,14
94,4
95,9
96,8
97,6
98,15
99,0
100,5
101,10
102,8
103,14
104,2
105,7
106,6
107,10
108,15
109,4
110,9
111,8
112,6
113,16
114,0
115,5
116,10
117,8
118,7
119,2
120,7
121,6
122,10
123,9
124,4
125,9
126,8
127,6
128,16
129,0
130,5
131,10
132,8
133,14
134,2
135,7
136,6
137,10
138,15
139,4
140,9
141,8
142,6
143,16
144,0
145,5
146,10
147,8
148,14
149,2
150,7
151,6
152,10
153,15
154,13
155,3
156,4
157,1
158,16
159,1
160,14
161,1
162,1
163,0
164,3
165,8
166,7
167,6
168,16
169,5
170,0
171,9
172,13
173,17
174,1
175,6
176,11
177,15
178,18
179,3
180,8
181,7
182,11
183,13
184,5
185,10
186,9
187,7
188,17
189,1
190,6
191,11
192,9
193,18
194,3
195,8
196,13
197,11
198,19
199,5
200,10
201,15
202,7
203,17
204,1
205,12
206,11
207,9
208,18
209,3
210,14
211,7
212,11
213,19
214,5
215,10
216,9
217,7
218,17
219,1
220,12
221,11
222,9
223,18
224,3
225,14
226,7
227,11
228,13
229,5
230,1
231,9
232,13
233,17
234,14
235,3
236,11
237,0
238,18
239,0
240,13
241,0
242,0
243,0
244,1
245,11
246,10
247,9
248,17
249,7
250,2
251,12
252,3
253,18
254,9
255,4
256,14
257,0
258,19
259,6
260,1
261,16
262,2
263,18
264,0
265,3
266,12
267,4
268,19
269,7
270,11
271,14
272,12
273,17
274,9
275,1
276,16
277,2
278,5
279,0
280,3
281,12
282,4
283,22
284,6
285,15
286,14
287,12
288,17
289,8
290,1
291,16
292,2
293,11
294,0
295,3
296,12
297,4
298,10
299,6
300,15
301,14
302,12
303,17
304,8
305,2
306,16
307,1
308,18
309,0
310,4
311,12
312,9
313,10
314,13
315,6
316,7
317,2
318,15
319,1
320,12
321,0
322,0
323,0
324,4
325,7
326,6
327,11
328,14
329,0
330,9
331,15
332,6
333,19
334,2
335,13
336,17
337,8
338,20
339,4
340,7
341,11
342,10
343,19
344,8
345,5
346,15
347,1
348,13
349,2
350,0
351,10
352,6
353,16
354,4
355,6
356,18
357,8
358,21
359,7
360,9
361,20
362,1
363,16
364,2
365,0
366,10
367,14
368,12
369,4
370,6
371,13
372,10
373,17
374,7
375,12
376,15
377,1
378,18
379,2
380,0
381,9
382,8
383,16
384,4
385,7
386,11
387,10
388,17
389,6
390,10
391,14
392,12
393,1
394,16
395,0
396,3
397,0
398,18
399,1
400,15
401,0
402,0
403,0
404,2
405,12
406,8
407,7
408,17
409,5
410,1
411,10
412,14
413,16
414,7
415,3
416,12
417,4
418,15
419,0
420,9
421,14
422,6
423,18
424,3
425,1
426,17
427,9
428,19
429,5
430,7
431,12
432,11
433,18
434,0
435,2
436,14
437,15
438,8
439,3
440,12
441,11
442,6
443,9
444,5
445,7
446,15
447,8
448,20
449,0
450,2
451,9
452,13
453,16
454,3
455,9
456,11
457,6
458,17
459,5
460,11
461,13
462,14
463,18
464,0
465,13
466,15
467,16
468,19
469,2
470,15
471,9
472,4
473,17
474,13
475,0
476,11
477,0
478,19
479,0
480,14
481,1
482,1
483,1
484,0
485,5
486,11
487,9
488,16
489,3
490,7
491,13
492,12
493,8
494,1
495,10
496,9
497,15
498,17
499,5
500,12
501,16
502,3
503,19
504,7
505,4
506,10
507,12
508,14
509,1
510,9
511,15
512,4
513,13
514,6
515,11
516,17
517,10
518,12
519,8
520,4
521,13
522,12
523,15
524,1
525,9
526,18
527,4
528,14
529,6
530,11
531,12
532,16
533,19
534,8
535,4
536,14
537,11
538,18
539,1
540,6
541,10
542,17
543,15
544,3
545,8
546,7
547,13
548,16
549,5
550,1
551,12
552,7
553,18
554,15
555,3
556,8
557,0
558,17
559,0
560,13
561,6
562,1
563,0
564,4
565,2
566,7
567,11
568,17
569,6
570,0
571,15
572,1
573,18
574,8
575,4
576,11
577,5
578,16
579,2
580,6
581,13
582,7
583,17
584,0
585,8
586,18
587,10
588,15
589,3
590,12
591,11
592,6
593,17
594,9
595,14
596,19
597,13
598,15
599,0
600,6
601,2
602,5
603,11
604,3
605,13
606,10
607,7
608,16
609,9
610,7
611,15
612,12
613,11
614,0
615,10
616,2
617,15
618,13
619,4
620,2
621,12
622,8
623,16
624,6
625,12
626,9
627,2
628,15
629,0
630,4
631,14
632,9
633,16
634,2
635,2
636,10
637,1
638,7
639,1
640,14
641,0
642,0
643,0
644,1
645,7
646,10
647,5
648,18
649,9
650,3
651,12
652,7
653,19
654,0
655,11
656,14
657,3
658,20
659,4
660,1
661,10
662,11
663,19
664,6
665,3
666,12
667,2
668,17
669,8
670,0
671,14
672,12
673,18
674,1
675,16
676,5
677,3
678,17
679,4
680,9
681,7
682,10
683,15
684,6
685,2
686,12
687,13
688,14
689,1
690,14
691,17
692,8
693,19
694,3
695,8
696,5
697,10
698,16
699,7
700,5
701,14
702,12
703,17
704,1
705,9
706,11
707,5
708,18
709,3
710,7
711,8
712,11
713,15
714,5
715,0
716,12
717,0
718,9
719,1
720,11
721,0
722,0
723,1
724,3
725,9
726,6
727,12
728,13
729,5
730,1
731,16
732,0
733,14
734,2
735,6
736,18
737,8
738,21
739,7
740,10
741,15
742,5
743,13
744,1
745,5
746,9
747,14
748,18
749,4
750,2
751,16
752,0
753,19
754,6
755,8
756,10
757,11
758,12
759,2
760,12
761,13
762,7
763,16
764,0
765,5
766,8
767,9
768,15
769,4
770,9
