vertex,label
0,24
1,26
2,28
3,30
4,32
5,34
6,37
7,39
8,41
9,43
10,45
11,47
12,25
13,27
14,29
15,31
16,33
17,35
18,38
19,40
20,42
21,44
22,46
23,48
24,24
25,26
26,28
27,30
28,32
29,34
30,37
31,39
32,41
33,43
34,45
35,47
36,25
37,27
38,29
39,31
40,33
41,35
42,38
43,40
44,42
45,44
46,46
47,48
48,0
49,2
50,4
51,6
52,8
53,10
54,49
55,51
56,53
57,55
58,57
59,1
60,3
61,5
62,7
63,9
64,11
65,50
66,52
67,54
68,56
69,58
70,0
71,2
72,4
73,6
74,8
75,10
76,49
77,51
78,53
79,55
80,57
81,1
82,3
83,5
84,7
85,9
86,11
87,50
88,52
89,54
90,56
91,58
92,12
93,14
94,16
95,18
96,20
97,22
98,59
99,61
100,63
101,65
102,67
103,13
104,15
105,17
106,19
107,21
108,23
109,60
110,62
111,64
112,66
113,68
114,12
115,14
116,16
117,18
118,20
119,22
120,59
121,61
122,63
123,65
124,67
125,13
126,15
127,17
128,19
129,21
130,23
131,60
132,62
133,64
134,66
135,68
136,24
137,26
138,28
139,30
140,32
141,34
142,37
143,39
144,41
145,43
146,45
147,25
148,27
149,29
150,31
151,33
152,35
153,38
154,40
155,42
156,44
157,46
158,24
159,26
160,28
161,30
162,32
163,34
164,37
165,39
166,41
167,43
168,45
169,25
170,27
171,29
172,31
173,33
174,35
175,38
176,40
177,42
178,44
179,46
180,10
181,48
182,70
183,72
184,74
185,91
186,93
187,95
188,97
189,99
190,69
191,71
192,73
193,75
194,77
195,79
196,81
197,83
198,85
199,87
200,89
201,12
202,14
203,16
204,18
205,20
206,69
207,71
208,73
209,75
210,77
211,80
212,82
213,84
214,86
215,88
216,90
217,36
218,79
219,92
220,94
221,96
222,48
223,69
224,71
225,73
226,75
227,47
228,70
229,72
230,74
231,76
232,36
233,91
234,93
235,95
236,97
237,69
238,71
239,73
240,75
241,77
242,79
243,81
244,83
245,85
246,87
247,89
248,13
249,15
250,17
251,19
252,21
253,70
254,72
255,74
256,76
257,78
258,80
259,82
260,84
261,86
262,88
263,90
264,92
265,94
266,96
267,98
268,100
269,47
270,76
271,78
272,80
273,83
274,10
275,48
276,70
277,72
278,74
279,91
280,93
281,95
282,97
283,99
284,69
285,71
286,73
287,75
288,77
289,79
290,81
291,83
292,85
293,87
294,89
295,12
296,14
297,16
298,18
299,20
300,70
301,72
302,74
303,76
304,78
305,80
306,82
307,84
308,86
309,88
310,90
311,92
312,94
313,96
314,98
315,100
316,48
317,78
318,80
319,83
320,85
321,47
322,77
323,80
324,83
325,85
326,93
327,95
328,97
329,99
330,101
331,70
332,72
333,74
334,76
335,78
336,81
337,83
338,85
339,87
340,89
341,91
342,13
343,15
344,17
345,19
346,21
347,70
348,72
349,74
350,76
351,78
352,80
353,82
354,84
355,86
356,88
357,90
358,92
359,94
360,96
361,98
362,100
363,76
364,78
365,80
366,83
367,85
368,12
369,14
370,16
371,18
372,20
373,22
374,24
375,26
376,28
377,30
378,0
379,2
380,4
381,6
382,8
383,49
384,51
385,53
386,55
387,57
388,59
389,22
390,36
391,38
392,40
393,42
394,54
395,56
396,58
397,60
398,62
399,64
400,11
401,13
402,15
403,17
404,19
405,1
406,3
407,5
408,7
409,9
410,25
411,27
412,29
413,31
414,38
415,23
416,38
417,41
418,43
419,45
420,1
421,3
422,5
423,7
424,9
425,11
426,25
427,27
428,29
429,31
430,45
431,47
432,49
433,51
434,53
435,55
436,23
