vertex,label
0,7
1,9
2,11
3,7
4,9
5,11
6,25
7,27
8,29
9,12
10,21
11,23
12,0
13,2
14,4
15,6
16,8
17,10
18,26
19,28
20,30
21,20
22,22
23,24
24,38
25,40
26,42
27,1
28,3
29,5
30,32
31,34
32,36
33,12
34,21
35,23
36,0
37,2
38,4
39,6
40,8
41,10
42,20
43,22
44,24
45,26
46,28
47,30
48,33
49,35
50,37
51,1
52,3
53,5
54,14
55,16
56,18
57,67
58,69
59,71
60,57
61,59
62,61
63,63
64,65
65,73
66,13
67,15
68,17
69,39
70,41
71,43
72,49
73,56
74,58
75,60
76,62
77,64
78,14
79,16
80,18
81,25
82,28
83,30
84,48
85,57
86,59
87,61
88,63
89,65
90,13
91,15
92,17
93,38
94,40
95,42
96,44
97,46
98,56
99,58
100,60
101,62
102,20
103,22
104,24
105,50
106,52
107,54
108,0
109,2
110,4
111,6
112,8
113,10
114,19
115,21
116,23
117,51
118,53
119,55
120,1
121,3
122,5
123,7
124,9
125,11
126,33
127,35
128,37
129,50
130,52
131,54
132,0
133,2
134,4
135,6
136,8
137,10
138,19
139,21
140,23
141,51
142,53
143,55
144,1
145,3
146,5
147,7
148,9
149,11
150,26
151,28
152,30
153,32
154,34
155,36
156,38
157,40
158,42
159,44
160,46
161,48
162,20
163,22
164,24
165,27
166,29
167,31
168,39
169,41
170,43
171,45
172,47
173,49
174,12
175,14
176,16
177,18
178,56
179,58
180,72
181,74
182,76
183,78
184,80
185,82
186,60
187,62
188,64
189,66
190,68
191,70
192,73
193,75
194,77
195,79
196,81
197,83
198,27
199,29
200,31
201,33
202,35
203,37
204,45
205,47
206,56
207,58
208,60
209,62
210,49
211,64
212,66
213,68
214,70
215,72
216,26
217,32
218,34
219,36
220,57
221,59
222,45
223,47
224,61
225,63
226,65
227,67
228,56
229,58
230,69
231,71
232,73
233,75
234,26
235,32
236,34
237,36
238,44
239,46
240,48
241,57
242,59
243,61
244,63
245,65
246,0
247,2
248,4
249,6
250,8
251,10
252,12
253,14
254,16
255,18
256,21
257,23
258,1
259,3
260,5
261,7
262,9
263,25
264,13
265,15
266,17
267,28
268,30
269,38
270,0
271,2
272,4
273,6
274,8
275,10
276,12
277,14
278,16
279,18
280,20
281,22
282,1
283,3
284,5
285,7
286,9
287,24
288,13
289,15
290,17
291,28
292,30
293,38
294,19
295,22
296,25
297,40
298,42
299,45
300,26
301,28
302,30
303,38
304,46
305,48
306,27
307,29
308,31
309,34
310,36
311,39
312,11
313,42
314,44
315,46
316,48
317,50
318,19
319,21
320,23
321,33
322,35
323,40
324,34
325,46
326,62
327,64
328,66
329,68
330,21
331,33
332,35
333,37
334,39
335,41
336,11
337,47
338,49
339,51
340,53
341,55
342,32
343,34
344,36
345,50
346,52
347,54
348,41
349,43
350,51
351,53
352,55
353,57
354,25
355,27
356,29
357,31
358,37
359,43
360,48
361,50
362,52
363,54
364,57
365,59
366,12
367,33
368,35
369,37
370,48
371,56
372,14
373,16
374,18
375,0
376,2
377,4
378,45
379,47
380,49
381,52
382,54
383,58
384,23
385,27
386,29
387,6
388,8
389,10
390,20
391,22
392,24
393,26
394,28
395,38
396,19
397,25
398,43
399,45
400,58
401,60
402,31
403,34
404,36
405,50
406,53
407,55
408,1
409,3
410,5
411,57
412,59
413,61
414,1
415,3
416,5
417,15
418,17
419,50
420,7
421,9
422,11
423,23
424,40
425,42
426,13
427,15
428,17
429,29
430,41
431,43
432,7
433,9
434,11
435,30
436,32
437,40
438,24
439,26
440,28
441,43
442,45
443,47
444,19
445,21
446,30
447,32
448,34
449,36
450,25
451,27
452,38
453,46
454,48
455,50
456,0
457,2
458,4
459,18
460,20
461,22
462,31
463,33
464,35
465,37
466,39
467,41
468,49
469,51
470,53
471,55
472,57
473,59
474,6
475,8
476,10
477,12
478,14
479,16
480,29
481,44
482,52
483,54
484,56
485,58
486,0
487,0
488,0
489,1
490,3
491,0
492,0
493,0
494,1
495,3
496,49
497,51
498,53
499,8
500,10
501,12
502,31
503,45
504,47
505,7
506,9
507,11
508,55
509,0
510,70
511,8
512,10
513,12
514,0
515,0
516,25
517,0
518,2
519,4
520,41
521,43
522,46
523,1
524,3
525,5
