vertex,label
0,0
1,2
2,4
3,0
4,2
5,4
6,0
7,2
8,4
9,0
10,2
11,4
12,0
13,2
14,4
15,7
16,0
17,11
18,4
19,10
20,1
21,3
22,6
23,8
24,10
25,3
26,9
27,6
28,3
29,8
30,6
31,0
32,2
33,4
34,0
35,2
36,4
37,0
38,2
39,4
40,0
41,2
42,4
43,1
44,5
45,7
46,13
47,5
48,7
49,9
50,5
51,7
52,9
53,5
54,7
55,9
56,5
57,8
58,11
59,3
60,1
61,11
62,3
63,1
64,11
65,3
66,1
67,11
68,3
69,1
70,6
71,8
72,4
73,0
74,6
75,4
76,0
77,6
78,4
79,0
80,6
81,10
82,12
83,2
84,8
85,10
86,2
87,8
88,10
89,2
90,8
91,7
92,5
93,11
94,1
95,5
96,11
97,1
98,5
99,11
100,9
101,3
102,6
103,9
104,0
105,3
106,7
107,0
108,12
109,8
110,2
111,4
112,6
113,9
114,2
115,10
116,5
117,7
118,1
119,11
120,4
121,13
122,3
123,9
124,5
125,0
126,6
127,11
128,2
129,7
130,8
131,16
132,4
133,10
134,1
135,5
136,12
137,8
138,10
139,6
140,8
141,14
142,16
143,7
144,5
145,13
146,6
147,11
148,9
149,1
150,4
151,9
152,0
153,2
154,4
155,0
156,2
157,4
158,0
159,2
160,4
161,0
162,2
163,4
164,0
165,2
166,4
167,6
168,1
169,3
170,0
171,2
172,4
173,0
174,2
175,4
176,0
177,2
178,4
179,0
180,2
181,5
182,1
183,3
184,0
185,2
186,4
187,0
188,2
189,4
190,0
191,2
192,5
193,7
194,7
195,9
196,5
197,7
198,9
199,6
200,8
201,14
202,7
203,10
204,14
205,12
206,11
207,13
208,1
209,3
210,16
211,1
212,3
213,16
214,1
215,3
216,6
217,6
218,8
219,10
220,0
221,4
222,7
223,0
224,4
225,12
226,9
227,12
228,5
229,2
230,6
231,14
232,2
233,6
234,10
235,14
236,7
237,9
238,16
239,1
240,5
241,8
242,1
243,16
244,13
245,3
246,7
247,15
248,0
249,3
250,5
251,6
252,12
253,2
254,4
255,6
256,9
257,8
258,5
259,14
260,1
261,13
262,13
263,7
264,3
265,5
266,16
267,12
268,8
269,5
270,10
271,15
272,3
273,1
274,4
275,0
276,2
277,4
278,0
279,2
280,4
281,0
282,2
283,4
284,0
285,2
286,4
287,6
288,1
289,3
290,0
291,2
292,4
293,0
294,2
295,4
296,0
297,2
298,4
299,1
300,7
301,5
302,7
303,9
304,5
305,7
306,9
307,5
308,7
309,15
310,5
311,7
312,9
313,11
314,10
315,3
316,1
317,10
318,3
319,1
320,10
321,3
322,1
323,10
324,12
325,5
326,8
327,6
328,4
329,0
330,13
331,4
332,0
333,6
334,4
335,8
336,14
337,12
338,9
339,2
340,8
341,11
342,2
343,8
344,11
345,15
346,6
347,7
348,5
349,10
350,1
351,5
352,10
353,1
354,3
355,9
356,13
357,3
358,6
359,9
360,0
361,4
362,6
363,12
364,8
365,11
366,2
367,7
368,12
369,8
370,10
371,16
372,5
373,10
374,1
375,3
376,13
377,7
378,3
379,6
380,9
381,7
382,14
383,11
384,13
385,5
386,16
387,7
388,10
389,12
390,15
391,5
392,6
393,0
394,2
395,4
396,0
397,2
398,4
399,0
400,2
401,4
402,0
403,2
404,4
405,0
406,2
407,5
408,1
409,3
410,0
411,2
412,4
413,0
414,2
415,4
416,0
417,2
418,4
419,1
420,7
421,8
422,5
423,7
424,9
425,5
426,7
427,9
428,5
429,7
430,9
431,5
432,7
433,9
434,10
435,3
436,1
437,11
438,3
439,1
440,11
441,3
442,1
443,11
444,13
445,15
446,6
447,8
448,4
449,0
450,6
451,4
452,0
453,6
454,4
455,8
456,6
457,11
458,13
459,2
460,8
461,12
462,2
463,8
464,10
465,12
466,14
467,15
468,5
469,11
470,1
471,5
472,16
473,1
474,3
475,7
476,8
477,3
478,6
479,9
480,0
481,4
482,6
483,9
484,10
485,12
486,2
487,7
488,10
489,8
490,11
491,14
492,5
493,11
494,1
495,3
496,13
497,8
498,3
499,6
500,9
501,7
502,10
503,12
504,14
505,5
506,15
507,7
508,10
509,13
510,16
511,5
512,2
513,7
514,10
515,6
516,8
517,10
518,7
519,9
520,6
521,8
522,10
523,12
524,1
525,3
526,6
527,0
528,2
529,4
530,0
531,2
532,4
533,0
534,2
535,4
536,0
537,2
538,4
539,1
540,6
541,4
542,1
543,3
544,0
545,2
546,4
547,0
548,2
549,4
550,0
551,2
552,5
553,7
554,9
555,5
556,7
557,9
558,6
559,8
560,5
561,7
562,9
563,6
564,8
565,10
566,11
567,13
568,1
569,3
570,10
571,1
572,3
573,11
574,1
575,3
576,12
577,6
578,8
579,5
580,0
581,4
582,6
583,0
584,4
585,7
586,5
587,10
588,12
589,2
590,7
591,9
592,2
593,12
594,9
595,13
596,14
597,6
598,10
599,1
600,5
601,7
602,1
603,6
604,8
605,3
606,16
607,8
608,0
609,3
610,10
611,15
612,5
613,2
614,4
615,6
616,12
617,13
618,7
619,9
620,1
621,8
622,10
623,3
624,5
625,11
626,6
627,8
628,13
629,12
630,10
631,14
632,9
633,12
634,10
635,8
636,12
637,10
638,8
639,6
640,10
641,8
642,11
643,9
644,1
645,3
646,6
647,0
648,2
649,4
650,0
651,2
652,4
653,0
654,2
655,4
656,0
657,2
658,4
659,0
660,8
661,5
662,1
663,3
664,0
665,2
666,4
667,0
668,2
669,4
670,0
671,2
672,5
673,7
674,8
675,6
676,9
677,5
678,7
679,9
680,5
681,7
682,9
683,6
684,8
685,10
686,11
687,13
688,1
689,3
690,16
691,1
692,3
693,11
694,1
695,3
696,12
697,7
698,10
699,6
700,0
701,4
702,6
703,0
704,4
705,7
706,5
707,12
708,8
709,2
710,7
711,9
712,2
713,8
714,10
715,13
716,14
717,5
718,10
719,1
720,5
721,11
722,1
723,6
724,7
725,3
726,6
727,8
728,0
729,3
730,9
731,11
732,9
733,2
734,4
735,6
736,12
737,13
738,5
739,7
740,1
741,8
742,15
743,3
744,11
745,5
746,6
747,9
748,13
749,16
750,7
751,3
752,8
753,10
754,12
755,9
756,1
757,5
758,10
759,6
760,8
761,0
762,2
763,11
764,3
765,7
766,9
767,0
768,2
769,4
770,0
771,2
772,4
773,0
774,2
775,4
776,0
777,2
778,4
779,1
780,10
781,5
782,9
783,6
784,10
785,7
786,11
787,5
788,7
789,9
790,6
791,8
792,11
793,5
794,7
795,3
796,1
797,5
798,3
799,1
800,10
801,3
802,1
803,10
804,3
805,1
806,10
807,8
808,11
809,0
810,6
811,4
812,0
813,5
814,7
815,0
816,6
817,5
818,16
819,2
820,8
821,11
822,2
823,8
824,11
825,2
826,4
827,7
828,9
829,4
830,1
831,5
832,10
833,1
834,6
835,8
836,11
837,6
838,10
839,3
840,0
841,4
842,9
843,0
844,8
845,12
846,7
847,9
848,2
849,7
850,3
851,14
852,1
853,4
854,6
855,10
856,1
857,6
858,8
859,0
860,3
861,5
862,10
863,5
864,7
865,9
866,12
867,1
868,4
869,6
870,8
871,10
872,3
873,1
874,4
875,0
876,2
877,4
878,0
879,2
880,4
881,0
882,2
883,4
884,0
885,2
886,8
887,4
888,1
889,3
890,0
891,2
892,4
893,0
894,2
895,4
896,0
897,2
898,4
899,0
900,7
901,3
902,6
903,8
904,11
905,6
906,9
907,5
908,7
909,9
910,5
911,7
912,9
913,5
914,9
915,12
916,1
917,3
918,12
919,1
920,3
921,16
922,1
923,3
924,11
925,13
926,7
927,5
928,9
929,0
930,4
931,6
932,0
933,4
934,6
935,8
936,15
937,11
938,13
939,2
940,7
941,9
942,2
943,7
944,14
945,12
946,5
947,6
948,8
949,5
950,1
951,11
952,5
953,1
954,3
955,7
956,16
957,3
958,10
959,4
960,0
961,8
962,6
963,10
964,7
965,15
966,2
967,6
968,3
969,11
970,16
971,9
972,5
973,8
974,1
975,5
976,7
977,13
978,3
979,10
980,12
981,9
982,6
983,14
984,7
985,16
986,8
987,5
988,13
989,10
990,15
991,6
992,0
993,2
994,4
995,0
996,2
997,4
998,0
999,2
1000,4
1001,0
1002,2
1003,4
1004,0
1005,9
1006,11
1007,6
1008,8
1009,5
1010,7
1011,15
1012,5
1013,10
1014,12
1015,5
1016,7
1017,9
1018,11
1019,14
1020,10
1021,1
1022,3
1023,13
1024,1
1025,3
1026,6
1027,1
1028,16
1029,12
1030,6
1031,5
1032,7
1033,9
1034,0
1035,4
1036,7
1037,0
1038,4
1039,8
1040,3
1041,10
1042,11
1043,13
1044,2
1045,6
1046,9
1047,2
1048,10
1049,12
1050,5
1051,7
1052,6
1053,8
1054,10
1055,1
1056,5
1057,8
1058,1
1059,9
1060,11
1061,12
1062,3
1063,7
1064,11
1065,0
1066,3
1067,6
1068,13
1069,5
1070,9
1071,2
1072,4
1073,7
1074,10
1075,8
1076,14
1077,6
1078,8
1079,1
1080,5
1081,12
1082,10
1083,3
1084,11
1085,9
1086,14
1087,13
1088,5
1089,7
1090,16
1091,8
1092,10
1093,13
1094,6
1095,15
1096,3
1097,11
1098,5
1099,7
1100,1
1101,8
1102,2
1103,12
1104,4
1105,1
1106,8
1107,4
1108,7
1109,1
1110,4
1111,7
1112,0
1113,2
1114,4
1115,0
1116,2
1117,4
1118,0
1119,2
1120,4
1121,0
1122,2
1123,4
1124,1
1125,5
1126,7
1127,9
1128,6
1129,8
1130,10
1131,6
1132,8
1133,12
1134,6
1135,8
1136,10
1137,6
1138,8
1139,16
1140,3
1141,1
1142,5
1143,3
1144,1
1145,5
1146,3
1147,1
1148,5
1149,2
1150,0
1151,8
1152,10
1153,12
1154,0
1155,9
1156,7
1157,0
1158,9
1159,7
1160,11
1161,4
1162,5
1163,16
1164,2
1165,4
1166,13
1167,2
1168,4
1169,12
1170,0
1171,6
1172,9
1173,7
1174,10
1175,1
1176,5
1177,8
1178,1
1179,3
1180,10
1181,11
1182,3
1183,14
1184,7
1185,0
1186,6
1187,11
1188,5
1189,5
1190,12
1191,2
1192,4
1193,12
1194,2
1195,0
1196,7
1197,9
1198,6
1199,1
1200,5
1201,7
1202,11
1203,3
1204,8
1205,15
1206,3
1207,5
1208,10
1209,0
1210,6
1211,7
1212,16
1213,2
1214,9
1215,5
1216,11
1217,3
1218,1
1219,4
1220,0
1221,2
1222,4
1223,0
1224,2
1225,4
1226,0
1227,2
1228,4
1229,0
1230,2
1231,4
1232,6
1233,1
1234,3
