vertex,label
0,2
1,9
2,3
3,0
4,9
5,5
6,0
7,3
8,1
9,12
10,5
11,11
12,0
13,14
14,10
15,2
16,4
17,7
18,1
19,5
20,11
21,13
22,12
23,14
24,7
25,6
26,3
27,8
28,0
29,5
30,14
31,4
32,10
33,12
34,5
35,1
36,9
37,0
38,11
39,6
40,10
41,8
42,12
43,1
44,4
45,7
46,2
47,0
48,8
49,14
50,11
51,3
52,5
53,9
54,7
55,4
56,3
57,0
58,11
59,2
60,14
61,9
62,3
63,11
64,6
65,12
66,3
67,13
68,8
69,5
70,0
71,6
72,10
73,13
74,14
75,4
76,9
77,10
78,14
79,0
80,9
81,4
82,11
83,2
84,8
85,0
86,3
87,1
88,12
89,2
90,6
91,14
92,7
93,4
94,12
95,13
96,10
97,8
98,8
99,3
100,0
101,2
102,10
103,5
104,3
105,13
106,10
107,6
108,1
109,1
110,9
111,6
112,8
113,7
114,12
115,1
116,5
117,3
118,13
119,14
120,12
121,2
122,10
123,1
124,6
125,14
126,0
127,2
128,5
129,3
130,6
131,8
132,5
133,3
134,0
135,11
136,7
137,14
138,9
139,12
140,2
141,5
142,7
143,4
144,6
145,9
146,13
147,5
148,7
149,2
150,14
151,8
152,10
153,4
154,12
155,13
156,1
157,9
158,3
159,11
160,0
161,4
162,11
163,9
164,12
165,3
166,1
167,6
168,2
169,9
170,7
171,0
172,12
173,10
174,14
175,2
176,5
177,8
178,6
179,11
180,4
181,14
182,8
183,10
184,12
185,6
186,11
187,10
188,1
189,13
190,0
191,5
192,11
193,3
194,7
195,9
196,13
197,7
198,10
199,2
200,6
201,0
202,2
203,7
204,13
205,4
206,2
207,13
208,8
209,0
210,13
211,1
212,11
213,5
214,8
215,1
216,14
217,3
218,12
219,14
220,5
221,13
222,11
223,5
224,14
225,0
226,6
227,3
228,11
229,7
230,0
231,6
232,9
233,12
234,8
235,11
236,10
237,1
238,3
239,10
240,13
241,9
242,12
243,2
244,8
245,4
246,7
247,5
248,1
249,14
250,9
251,11
252,2
253,8
254,12
255,9
256,0
257,10
258,1
259,9
260,14
261,0
262,2
263,10
264,5
265,0
266,14
267,7
268,1
269,6
270,3
271,5
272,11
273,13
274,4
275,7
276,13
277,8
278,14
279,1
280,5
281,2
282,8
283,1
284,11
285,4
286,12
287,6
288,9
289,3
290,5
291,8
292,6
293,9
294,12
295,5
296,10
297,13
298,11
299,6
300,4
301,12
302,10
303,0
304,11
305,3
306,5
307,14
308,8
309,2
310,0
311,13
312,5
313,7
314,1
315,10
316,3
317,0
318,2
319,7
320,3
321,14
322,12
323,10
324,6
325,2
326,0
327,8
328,14
329,5
330,3
331,13
332,2
333,4
334,10
335,6
336,14
337,0
338,14
339,9
340,7
341,10
342,2
343,0
344,4
345,8
346,12
347,3
348,6
349,2
350,5
351,8
352,1
353,12
354,6
355,8
356,0
357,3
358,0
359,4
360,7
361,14
362,12
363,10
364,3
365,1
366,13
367,7
368,2
369,8
370,3
371,9
372,13
373,12
374,8
375,11
376,6
377,14
378,4
379,13
380,0
381,7
382,11
383,0
384,12
385,3
386,5
387,7
388,10
389,12
390,4
391,6
392,2
393,7
394,10
395,1
396,13
397,9
398,14
399,7
400,11
401,12
402,0
403,4
404,10
405,0
406,9
407,14
408,1
409,4
410,10
411,8
412,3
413,7
414,2
415,6
416,0
417,4
418,11
419,0
420,2
421,4
422,1
423,3
424,0
425,12
426,9
427,11
428,13
429,3
430,10
431,14
432,1
433,8
434,8
435,12
436,10
437,5
438,7
439,14
440,4
441,1
442,7
443,0
444,3
445,14
446,7
447,12
448,1
449,11
450,9
451,6
452,4
453,0
454,6
455,8
456,2
457,14
458,5
459,11
460,9
461,2
462,4
463,1
464,9
465,14
466,11
467,4
468,2
469,0
470,6
471,10
472,7
473,8
474,14
475,0
476,2
477,5
478,0
479,8
480,6
481,14
482,2
483,12
484,9
485,5
486,11
487,8
488,4
489,13
490,9
491,1
492,6
493,11
494,14
495,3
496,10
497,9
498,0
499,14
500,9
501,13
502,6
503,8
504,14
505,1
506,8
507,12
508,7
509,11
510,6
511,3
512,13
513,8
514,0
515,5
516,11
517,14
518,1
519,4
520,0
521,11
522,9
523,1
524,13
525,6
526,12
527,3
528,11
529,7
530,5
531,10
532,9
533,11
534,4
535,0
536,5
537,13
538,7
539,3
540,0
541,4
542,10
543,6
544,2
545,12
546,7
547,3
548,12
549,0
550,4
551,2
552,11
553,8
554,2
555,7
556,6
557,10
558,5
559,12
560,14
561,7
562,12
563,2
564,0
565,14
566,1
567,6
568,13
569,9
570,11
571,3
572,5
573,0
574,11
575,7
576,4
