vertex,label
0,10
1,13
2,23
3,5
4,0
5,2
6,4
7,12
8,1
9,3
10,5
11,7
12,9
13,11
14,14
15,16
16,18
17,20
18,22
19,26
20,15
21,24
22,28
23,13
24,30
25,32
26,8
27,10
28,8
29,17
30,19
31,21
32,0
33,2
34,4
35,6
36,8
37,10
38,1
39,3
40,12
41,5
42,7
43,9
44,16
45,18
46,20
47,1
48,3
49,6
50,26
51,28
52,30
53,24
54,13
55,15
56,17
57,19
58,21
59,14
60,23
61,25
62,0
63,2
64,11
65,24
66,26
67,28
68,6
69,12
70,10
71,18
72,1
73,3
74,5
75,7
76,9
77,27
78,29
79,31
80,4
81,6
82,8
83,17
84,13
85,15
86,9
87,19
88,21
89,14
90,25
91,12
92,14
93,22
94,32
95,0
96,2
97,11
98,16
99,18
100,20
101,22
102,1
103,10
104,3
105,5
106,7
107,23
108,0
109,11
110,8
111,17
112,16
113,4
114,6
115,8
116,13
117,23
118,25
119,28
120,30
121,32
122,12
123,14
124,24
125,20
126,16
127,18
128,2
129,4
130,6
131,10
132,12
133,18
134,1
135,10
136,3
137,5
138,0
139,8
140,26
141,29
142,9
143,13
144,15
145,19
146,0
