vertex,label
0,10
1,14
2,22
3,5
4,0
5,2
6,4
7,13
8,1
9,3
10,5
11,7
12,9
13,11
14,13
15,15
16,17
17,31
18,19
19,29
20,12
21,14
22,21
23,16
24,26
25,30
26,10
27,13
28,8
29,16
30,20
31,18
32,0
33,2
34,4
35,24
36,6
37,8
38,1
39,27
40,3
41,7
42,9
43,5
44,20
45,23
46,18
47,6
48,3
49,6
50,22
51,25
52,27
53,10
54,12
55,14
56,16
57,18
58,20
59,13
60,11
61,22
62,0
63,2
64,15
65,25
66,27
67,31
68,1
69,8
70,9
71,1
72,3
73,17
74,5
75,7
76,23
77,25
78,30
79,28
80,4
81,6
82,8
83,10
84,12
85,17
86,14
87,19
88,21
89,16
90,23
91,11
92,13
93,15
94,26
95,0
96,2
97,9
98,14
99,19
100,21
101,1
102,23
103,26
104,3
105,5
106,7
107,0
108,9
109,11
110,13
111,25
112,8
113,4
114,18
115,6
116,24
117,27
118,11
119,31
120,29
121,16
122,28
123,20
124,13
125,15
126,18
127,24
128,4
129,6
130,2
131,7
132,17
133,10
134,1
135,20
136,3
137,8
138,0
139,6
140,10
141,22
142,12
143,8
144,19
145,14
146,0
