vertex,label
0,26
1,17
2,19
3,21
4,22
5,23
6,24
7,25
8,37
9,5
10,99
11,18
12,110
13,12
14,107
15,95
16,111
17,122
18,112
19,123
20,36
21,126
22,118
23,102
24,96
25,97
26,98
27,20
28,11
29,10
30,108
31,103
32,7
33,6
34,109
35,104
36,113
37,119
38,124
39,114
40,105
41,13
42,115
43,116
44,106
45,4
46,9
47,125
48,117
49,40
50,2
51,3
52,14
53,3
54,154
55,155
56,156
57,157
58,158
59,159
60,162
61,163
62,164
63,165
64,166
65,167
66,168
67,169
68,170
69,171
70,172
71,173
72,174
73,175
74,176
75,177
76,178
77,179
78,180
79,181
80,182
81,183
82,184
83,185
84,186
85,187
86,188
87,189
88,190
89,191
90,192
91,193
92,194
93,195
94,196
95,197
96,198
97,199
98,200
99,201
100,3
101,203
102,15
103,202
104,70
105,71
106,76
107,16
108,89
109,79
110,80
111,82
112,35
113,41
114,83
115,84
116,85
117,86
118,87
119,88
120,90
121,91
122,92
123,93
124,94
125,101
126,127
127,128
128,129
129,130
130,131
131,132
132,133
133,134
134,135
135,136
136,137
137,138
138,139
139,140
140,141
141,142
142,143
143,144
144,145
145,146
146,147
147,148
148,149
149,150
150,151
151,152
152,5
153,153
154,160
155,161
156,17
157,18
158,21
159,19
160,24
161,22
162,36
163,37
164,23
165,39
166,25
167,26
168,47
169,49
170,50
171,51
172,52
173,55
174,57
175,58
176,59
177,60
178,61
179,62
180,63
181,64
182,65
183,66
184,67
185,68
186,69
187,70
188,71
189,72
190,73
191,74
192,75
193,76
194,77
195,78
196,79
197,80
198,81
199,82
200,83
201,84
202,85
203,86
204,87
205,88
206,89
207,90
208,91
209,92
210,93
211,94
212,95
213,96
214,97
215,98
216,99
217,101
218,102
219,103
220,104
221,105
222,106
223,107
224,108
225,109
226,110
227,111
228,112
229,113
230,114
231,115
232,116
233,117
234,118
235,119
236,5
237,9
238,5
239,5
240,5
241,5
242,6
243,8
244,5
245,5
246,6
247,5
248,6
249,6
250,10
251,8
252,9
253,6
254,6
255,6
256,9
257,17
258,8
259,8
260,16
261,17
262,10
263,9
264,8
265,8
266,8
267,6
268,9
269,9
270,17
271,18
272,16
273,17
274,17
275,9
276,10
277,8
278,0
279,10
280,6
281,6
282,5
283,5
284,9
285,10
286,18
287,0
288,0
289,3
290,43
291,44
292,15
293,15
294,15
295,15
296,15
297,44
298,15
299,15
300,15
301,15
302,15
303,15
304,15
305,15
306,15
307,44
308,15
309,15
310,15
311,15
312,42
313,15
314,15
315,15
316,15
317,15
318,40
319,15
320,15
321,15
322,15
323,15
324,40
325,15
326,15
327,15
328,42
329,42
330,43
331,15
332,15
333,41
334,41
335,42
336,15
337,15
338,8
339,0
340,1
341,1
342,1
343,1
344,100
345,15
346,54
347,40
348,40
349,95
350,40
351,40
352,40
353,40
354,40
355,42
356,40
357,40
358,43
359,40
360,40
361,41
362,40
363,40
364,40
365,40
366,95
367,40
368,40
369,40
370,40
371,40
372,15
373,40
374,40
375,40
376,40
377,40
378,41
379,120
380,40
381,45
382,15
383,15
384,41
385,41
386,40
387,15
388,40
389,40
390,40
391,40
392,2
393,1
394,4
395,2
396,2
397,2
398,3
399,0
400,6
401,0
402,0
403,0
404,0
405,1
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,2
417,1
418,0
419,0
420,1
421,0
422,8
423,1
424,0
425,0
426,0
427,0
428,0
429,0
430,1
431,1
432,0
433,0
434,1
435,1
436,5
437,2
438,127
439,9
440,46
441,40
442,95
443,41
444,41
445,43
446,41
447,42
448,44
449,57
450,58
451,45
452,59
453,46
454,60
455,61
456,62
457,63
458,64
459,48
460,65
461,66
462,67
463,68
464,69
465,70
466,71
467,72
468,73
469,47
470,74
471,75
472,49
473,50
474,51
475,76
476,77
477,78
478,79
479,80
480,81
481,82
482,83
483,84
484,85
485,86
486,87
487,88
488,89
489,90
490,52
491,53
492,91
493,92
494,43
495,93
496,94
497,55
498,54
499,56
500,100
501,1
502,1
503,2
504,40
505,2
506,2
507,40
508,1
509,1
510,5
511,0
512,0
513,40
514,0
515,40
516,0
517,2
518,1
519,0
520,0
521,0
522,0
523,5
524,0
525,2
526,3
527,0
528,0
529,2
530,0
531,2
532,0
533,43
534,1
535,1
536,0
537,0
538,1
539,1
540,4
541,0
542,1
543,1
544,6
545,2
546,1
547,0
548,8
549,4
550,3
551,2
552,1
553,5
554,3
555,3
556,4
557,1
558,4
559,4
560,2
561,3
562,5
563,2
564,4
565,5
566,0
567,2
568,0
569,4
570,5
571,4
572,2
573,4
574,3
575,4
576,3
577,3
578,4
579,1
580,5
581,2
582,4
583,3
584,4
585,4
586,3
587,3
588,3
589,4
590,4
591,4
592,4
593,6
594,2
595,3
596,3
597,0
598,4
599,3
600,4
601,2
602,6
603,0
604,4
605,3
606,0
607,0
608,6
609,1
610,3
611,0
612,0
613,0
614,0
615,3
616,0
617,2
618,3
619,2
620,4
621,4
622,1
623,0
624,2
625,4
626,2
627,1
628,2
629,1
630,1
631,1
632,5
633,3
634,4
635,0
636,1
637,1
638,2
639,1
640,5
641,0
642,2
643,2
644,2
645,2
646,1
647,8
648,0
649,0
650,3
651,1
652,0
653,2
654,4
655,1
656,14
657,1
658,14
659,3
660,4
661,0
662,0
663,27
664,28
665,29
666,30
667,31
668,34
669,32
670,33
671,42
672,45
673,54
674,100
675,58
676,38
677,120
678,49
679,59
680,72
681,60
682,73
683,61
684,81
685,67
686,55
687,50
688,51
689,52
690,46
691,47
692,43
693,62
694,56
695,48
696,53
697,121
698,57
699,68
700,74
701,77
702,69
703,63
704,44
705,64
