vertex,label
0,0
1,2
2,4
3,6
4,8
5,10
6,12
7,14
8,16
9,18
10,20
11,22
12,24
13,26
14,28
15,30
16,32
17,0
18,2
19,4
20,6
21,8
22,10
23,12
24,14
25,16
26,18
27,20
28,22
29,24
30,26
31,28
32,30
33,32
34,1
35,3
36,10
37,13
38,15
39,17
40,19
41,21
42,23
43,25
44,27
45,6
46,29
47,8
48,31
49,33
50,35
51,16
52,18
53,3
54,10
55,26
56,28
57,30
58,32
59,34
60,36
61,5
62,14
63,24
64,12
65,20
66,38
67,41
68,37
69,2
70,10
71,15
72,29
73,31
74,33
75,35
76,39
77,41
78,23
79,21
80,43
81,6
82,27
83,45
84,47
85,40
86,26
87,1
88,29
89,36
90,44
91,47
92,49
93,51
94,55
95,42
96,11
97,19
98,22
99,8
100,58
101,60
102,4
103,24
104,16
105,20
106,48
107,51
108,55
109,58
110,60
111,63
112,34
113,7
114,13
115,9
116,18
117,66
118,68
119,0
120,28
121,37
122,56
123,58
124,67
125,70
126,72
127,74
128,76
129,30
130,25
131,32
132,17
133,65
134,78
135,80
136,3
137,46
138,14
139,67
140,70
141,72
142,74
143,76
144,78
145,80
146,54
147,50
148,57
149,38
150,61
151,82
152,85
153,27
154,43
155,59
156,74
157,76
158,78
159,67
160,81
161,85
162,87
163,10
164,64
165,69
166,31
167,35
168,71
169,89
170,5
171,33
172,12
173,67
174,78
175,81
176,58
177,85
178,87
179,90
180,41
181,53
182,45
183,15
184,39
185,76
186,92
187,1
188,19
189,49
190,86
191,78
192,94
193,83
194,96
195,98
196,100
197,47
198,62
199,29
200,36
201,44
202,91
203,102
204,20
205,13
206,52
207,78
208,92
209,94
210,9
211,97
212,87
213,100
214,63
215,55
216,60
217,48
218,26
219,89
220,102
221,8
222,40
223,56
224,81
225,100
226,104
227,79
228,110
229,92
230,112
231,51
232,66
233,22
234,77
235,28
236,85
237,114
238,2
239,21
240,84
241,90
242,110
243,112
244,37
245,117
246,108
247,121
248,75
249,115
250,24
251,11
252,42
253,67
254,123
255,6
256,25
257,80
258,98
259,111
260,114
261,20
262,118
263,116
264,123
265,93
266,109
267,14
268,73
269,23
270,87
271,125
272,4
273,7
274,88
275,104
276,111
277,117
278,43
279,128
280,124
281,132
282,68
283,99
284,71
285,61
286,30
287,57
288,136
289,0
290,3
291,74
292,110
293,132
294,136
295,46
296,139
297,119
298,141
299,72
300,101
301,34
302,70
303,32
304,103
305,143
306,18
307,45
308,82
309,108
310,15
311,132
312,50
313,136
314,134
315,139
316,95
317,122
318,12
319,58
320,76
321,39
322,143
323,16
324,35
325,86
326,94
327,136
328,143
329,140
330,145
331,8
332,147
333,83
334,120
335,54
336,96
337,69
338,106
339,152
340,9
341,29
342,107
343,36
344,139
345,145
346,59
347,147
348,153
349,155
350,126
351,130
352,52
353,102
354,64
355,113
356,157
357,5
358,27
359,78
360,100
361,0
362,147
363,138
364,155
365,168
366,157
367,97
368,135
369,56
370,91
371,62
372,151
373,159
374,1
375,17
376,112
377,84
378,155
379,157
380,65
381,159
382,137
383,161
384,105
385,79
386,49
387,89
388,53
389,146
390,163
391,37
392,22
393,121
394,154
395,18
396,157
397,81
398,163
399,160
400,165
401,90
402,127
403,63
404,85
405,66
406,142
407,167
408,38
409,20
410,123
411,131
412,155
413,157
414,92
415,159
416,162
417,165
418,129
419,125
420,26
421,87
422,55
423,144
424,167
425,60
426,14
427,117
428,23
429,5
430,30
431,111
432,157
433,166
434,159
435,88
436,114
437,77
438,67
439,57
440,128
441,161
442,41
443,10
444,93
445,133
446,5
447,30
448,98
449,157
450,148
451,159
452,80
453,118
454,73
455,47
456,43
457,124
458,161
459,19
460,2
461,72
462,141
463,159
464,161
465,109
466,163
467,156
468,165
469,74
470,116
471,103
472,31
473,33
474,132
475,167
476,15
477,12
478,99
479,149
480,161
481,163
482,101
483,165
484,158
485,167
486,71
487,104
488,115
489,44
490,46
491,134
492,169
493,13
494,6
495,83
496,143
497,157
498,159
499,45
500,161
501,150
502,163
503,94
504,106
505,119
506,34
507,39
508,136
509,165
510,11
511,4
512,95
513,145
514,60
515,157
516,120
517,159
518,164
519,161
520,82
521,108
522,122
523,51
524,48
525,139
526,167
527,24
528,8
529,75
530,147
531,159
532,161
533,107
534,163
535,152
536,165
537,86
538,110
539,113
540,40
541,36
542,130
543,167
544,28
545,0
546,97
547,135
548,19
549,159
550,35
551,161
552,140
553,163
554,78
555,100
556,69
557,54
558,50
559,76
560,165
561,25
562,16
563,79
564,151
565,13
566,159
567,64
568,161
569,146
570,163
571,84
572,112
573,91
574,42
575,52
576,62
577,165
578,9
579,18
580,105
581,153
582,13
583,159
584,22
585,161
586,142
587,163
588,63
589,121
590,126
591,56
592,59
593,66
594,165
595,7
596,21
597,90
598,155
599,159
600,161
601,85
602,163
603,125
604,165
605,58
606,123
607,129
608,49
609,61
610,53
611,167
612,3
613,23
614,88
615,14
616,159
617,161
618,20
619,163
620,127
621,165
622,68
623,131
624,27
625,65
626,70
627,55
628,167
629,1
630,26
631,111
632,10
633,28
634,141
635,87
636,159
637,144
638,161
639,96
640,93
641,137
642,77
643,81
644,37
645,163
646,5
647,32
648,109
649,74
650,9
651,25
652,72
653,28
654,154
655,139
656,117
657,133
658,67
659,92
660,102
661,47
662,141
663,30
664,38
665,114
666,12
667,7
668,9
669,43
670,25
671,80
672,28
673,41
674,138
675,57
676,124
677,128
678,33
679,71
680,29
681,45
682,94
683,6
684,25
685,48
686,99
687,51
688,149
689,71
690,60
691,83
692,2
693,132
694,134
695,31
696,104
697,17
698,73
699,118
700,34
701,1
702,7
703,95
704,25
705,157
706,28
707,115
708,136
709,4
710,103
711,98
712,39
713,48
714,15
715,89
716,19
717,36
718,1
719,3
720,8
721,5
722,44
723,25
724,75
725,119
726,40
727,101
728,122
729,50
730,28
731,11
732,13
733,22
734,9
735,27
736,29
737,0
738,35
739,46
740,42
741,24
742,76
743,18
744,62
745,66
746,69
747,48
748,3
749,1
750,5
751,14
752,27
753,29
754,19
755,31
756,23
757,33
758,7
759,25
760,21
761,10
762,16
763,12
764,35
