vertex,label
0,8
1,13
2,12
3,14
4,9
5,10
6,5
7,7
8,3
9,2
10,0
11,8
12,4
13,0
14,3
15,14
16,16
17,6
18,7
19,11
20,12
21,3
22,4
23,1
24,5
25,2
26,13
27,14
28,15
29,0
30,0
31,5
32,6
33,7
34,10
35,9
36,11
37,17
38,19
39,5
40,21
41,9
42,10
43,6
44,7
45,8
46,11
47,13
48,16
49,2
50,4
51,1
52,8
53,20
54,6
55,7
56,9
57,10
58,11
59,12
60,15
61,18
62,5
63,13
64,2
65,3
66,0
67,15
68,16
69,6
70,7
71,11
72,12
73,17
74,14
75,1
76,2
77,4
78,4
79,10
80,0
81,13
82,14
83,15
84,5
85,0
86,5
87,6
88,7
89,6
90,5
91,7
92,9
93,10
94,11
95,17
96,18
97,12
98,15
99,9
100,10
101,6
102,7
103,8
104,11
105,13
106,14
107,3
108,4
109,0
110,19
111,20
112,5
113,21
114,8
115,9
116,11
117,12
118,15
119,16
120,13
121,14
122,3
123,2
124,1
125,8
126,21
127,6
128,7
129,9
130,11
131,10
132,12
133,17
134,18
135,5
136,14
137,2
138,3
139,0
140,16
141,17
142,6
143,7
144,12
145,10
146,15
147,13
148,1
149,2
150,4
151,11
152,9
153,13
154,14
155,21
156,0
157,5
158,5
159,6
160,7
161,6
162,4
163,5
164,5
165,6
166,7
167,9
168,10
169,11
170,18
171,17
172,5
173,21
174,9
175,10
176,6
177,7
178,8
179,11
180,13
181,14
182,2
183,4
184,1
185,19
186,20
187,6
188,7
189,8
190,9
191,14
192,12
193,15
194,16
195,11
196,13
197,2
198,3
199,0
200,12
201,18
202,5
203,21
204,8
205,9
206,10
207,11
208,14
209,15
210,13
211,17
212,3
213,2
214,1
215,6
216,7
217,21
218,19
219,8
220,9
221,10
222,11
223,14
224,15
225,5
226,13
227,2
228,3
229,0
230,5
231,8
232,10
233,11
234,14
235,21
236,3
237,2
238,1
239,4
240,6
241,0
242,13
243,21
244,14
245,0
246,0
247,5
248,6
249,7
250,4
251,5
252,6
253,4
254,5
255,6
256,4
257,5
258,6
259,17
260,18
261,19
262,15
263,9
264,10
265,6
266,7
267,8
268,11
269,13
270,20
271,3
272,4
273,0
274,20
275,19
276,5
277,10
278,8
279,9
280,11
281,13
282,21
283,16
284,15
285,14
286,3
287,2
288,1
289,6
290,7
291,17
292,18
293,9
294,8
295,11
296,10
297,12
298,16
299,13
300,14
301,2
302,3
303,0
304,17
305,15
306,5
307,20
308,8
309,9
310,10
311,11
312,12
313,16
314,13
315,14
316,3
317,2
318,1
319,6
320,7
321,10
322,11
323,12
324,16
325,2
326,3
327,0
328,5
329,9
330,13
331,15
332,14
333,0
334,0
335,5
336,6
337,7
338,4
339,5
340,17
341,4
342,5
343,6
344,4
345,5
346,6
347,17
348,18
349,5
350,16
351,9
352,10
353,6
354,7
355,8
356,11
357,12
358,14
359,2
360,4
361,1
362,6
363,7
364,19
365,20
366,8
367,9
368,11
369,12
370,15
371,16
372,13
373,14
374,2
375,3
376,0
377,19
378,16
379,5
380,20
381,8
382,9
383,10
384,11
385,12
386,15
387,13
388,14
389,3
390,2
391,1
392,17
393,18
394,7
395,21
396,8
397,9
398,10
399,11
400,12
401,15
402,13
403,14
404,2
405,3
406,0
407,5
408,9
409,10
410,11
411,12
412,15
413,3
414,2
415,1
416,7
417,8
418,13
419,14
420,15
421,0
422,0
423,5
424,6
425,7
426,4
427,5
428,6
429,4
430,5
431,6
432,4
433,5
434,6
435,18
436,17
437,12
438,15
439,9
440,10
441,6
442,7
443,8
444,11
445,13
446,14
447,3
448,4
449,0
450,6
451,7
452,5
453,21
454,9
455,8
456,11
457,12
458,15
459,16
460,13
461,14
462,3
463,2
464,1
465,8
466,17
467,14
468,18
469,9
470,10
471,11
472,12
473,15
474,21
475,13
476,16
477,2
478,3
479,0
480,10
481,16
482,9
483,20
484,5
485,6
486,11
487,12
488,15
489,19
490,13
491,14
492,3
493,2
494,1
495,7
496,8
497,12
498,15
499,2
500,3
501,0
502,13
503,10
504,13
505,15
506,14
507,0
508,0
509,5
510,6
511,7
512,4
513,5
514,6
515,5
516,6
517,7
518,10
519,11
520,12
521,17
522,18
523,5
524,16
525,9
526,10
527,6
528,7
529,8
530,11
531,14
532,13
533,2
534,4
535,1
536,7
537,8
538,20
539,19
540,9
541,10
542,11
543,12
544,15
545,16
546,13
547,14
548,2
549,3
550,0
551,17
552,19
553,9
554,20
555,5
556,6
557,11
558,12
559,10
560,15
561,13
562,16
563,3
564,2
565,1
566,7
567,8
568,15
569,21
570,14
571,16
572,0
573,3
574,4
575,5
576,6
577,8
578,13
579,14
580,15
581,5
582,0
583,5
584,7
585,6
586,5
587,6
588,7
589,10
590,11
591,12
592,17
593,18
594,12
595,15
596,9
597,10
598,6
599,7
600,8
601,11
602,14
603,13
604,3
605,4
606,0
607,10
608,21
609,7
610,8
611,5
612,6
613,11
614,12
615,15
616,16
617,13
618,14
619,3
620,2
621,1
622,7
623,8
624,15
625,16
626,14
627,17
628,0
629,3
630,4
631,11
632,12
633,10
634,12
635,21
636,4
637,0
638,5
639,6
640,7
641,10
642,11
643,12
644,6
645,9
646,5
647,8
648,13
649,14
650,2
651,3
652,1
653,4
654,7
655,0
656,3
657,17
658,16
659,14
660,15
661,2
662,4
663,0
664,6
665,2
