vertex,label
0,16
1,14
2,18
3,21
4,13
5,34
6,22
7,15
8,11
9,36
10,21
11,30
12,17
13,35
14,11
15,27
16,30
17,18
18,12
19,10
20,20
21,24
22,31
23,11
24,19
25,17
26,2
27,37
28,32
29,29
30,1
31,17
32,23
33,3
34,29
35,27
36,4
37,31
38,6
39,36
40,24
41,33
42,26
43,30
44,0
45,32
46,29
47,19
48,24
49,33
50,28
51,26
52,2
53,32
54,23
55,20
56,25
57,14
58,22
59,37
60,29
61,16
62,27
63,34
64,13
65,25
66,21
67,9
68,27
69,31
70,25
71,34
72,37
73,20
74,35
75,18
76,32
77,34
78,28
79,1
80,9
81,36
82,28
83,17
84,37
85,35
86,3
87,27
88,16
89,1
90,37
91,12
92,34
93,15
94,36
95,29
96,31
97,33
98,35
99,19
100,0
101,32
102,36
103,18
104,23
105,15
106,35
107,0
108,16
109,11
110,22
111,15
112,30
113,28
114,0
115,24
116,25
117,22
118,37
119,26
120,11
121,14
122,21
123,23
124,15
125,31
126,20
127,22
128,14
129,30
130,25
131,21
132,0
133,17
134,27
135,11
136,8
137,13
138,24
139,26
140,30
141,21
142,11
143,28
144,33
145,20
146,26
147,37
148,29
149,17
150,32
151,19
152,26
153,9
154,33
155,36
156,2
157,19
158,30
159,15
160,27
161,30
162,25
163,19
164,29
165,33
166,26
167,18
168,36
169,32
170,23
171,28
172,19
173,9
174,32
175,30
176,22
177,1
178,37
179,15
180,17
181,34
182,25
183,1
184,22
185,13
186,31
187,24
188,14
189,12
190,34
191,21
192,23
193,27
194,31
195,29
196,17
197,21
198,27
199,28
200,36
201,34
202,12
203,7
204,37
205,35
206,24
207,16
208,34
209,10
210,15
211,13
212,37
213,26
214,35
215,7
216,12
217,25
218,10
219,20
220,31
221,23
222,29
223,36
224,27
225,18
226,16
227,9
228,36
229,28
230,18
231,30
232,37
233,0
234,14
235,25
236,34
237,18
238,24
239,37
240,5
241,16
242,32
243,10
244,28
245,14
246,8
247,21
248,31
249,27
250,29
251,22
252,11
253,24
254,21
255,18
256,27
257,0
258,14
259,33
260,3
261,7
262,0
263,12
264,4
265,20
266,32
267,23
268,11
269,35
270,33
271,26
272,22
273,20
274,32
275,16
276,8
277,30
278,26
279,22
280,3
281,27
282,22
283,19
284,30
285,26
286,36
287,17
288,25
289,5
290,33
291,14
292,9
293,2
294,32
295,16
296,36
297,30
298,24
299,22
300,28
301,37
302,30
303,17
304,34
305,26
306,37
307,1
308,15
309,19
310,17
311,24
312,9
313,29
314,35
315,27
316,11
317,13
318,36
319,33
320,29
321,17
322,24
323,13
324,34
325,15
326,7
327,23
328,10
329,19
330,35
331,12
332,37
333,20
334,6
335,25
336,1
337,13
338,11
339,15
340,5
341,9
342,2
343,21
344,8
345,24
346,6
347,13
348,28
349,21
350,36
351,12
352,6
353,31
354,25
355,37
356,19
357,17
358,15
359,28
360,8
361,32
362,37
363,11
364,20
365,31
366,29
367,27
368,21
369,32
370,26
371,15
372,22
373,31
374,18
375,34
376,27
377,3
378,20
379,35
380,33
381,29
382,27
383,31
384,4
385,10
386,18
387,35
388,16
389,23
390,33
391,8
392,30
393,10
394,0
395,21
396,32
397,23
398,10
399,30
400,28
401,30
402,35
403,26
404,33
405,18
406,36
407,25
408,8
