vertex,label
0,432
1,445
2,470
3,759
4,751
5,757
6,749
7,752
8,753
9,741
10,431
11,730
12,731
13,732
14,738
15,742
16,739
17,553
18,554
19,556
20,557
21,558
22,559
23,560
24,562
25,563
26,565
27,566
28,567
29,646
30,568
31,569
32,570
33,571
34,572
35,573
36,647
37,574
38,575
39,576
40,577
41,648
42,649
43,578
44,579
45,580
46,581
47,582
48,583
49,584
50,585
51,586
52,587
53,588
54,589
55,590
56,591
57,592
58,593
59,594
60,595
61,596
62,597
63,598
64,650
65,651
66,652
67,653
68,654
69,655
70,656
71,689
72,657
73,658
74,659
75,660
76,661
77,662
78,599
79,600
80,663
81,685
82,686
83,703
84,430
85,704
86,743
87,744
88,687
89,664
90,665
91,705
92,697
93,706
94,399
95,429
96,398
97,716
98,717
99,718
100,719
101,707
102,1
103,1
104,5
105,724
106,433
107,496
108,708
109,698
110,709
111,3
112,7
113,169
114,157
115,438
116,198
117,461
118,47
119,175
120,177
121,17
122,80
123,486
124,168
125,185
126,49
127,159
128,176
129,422
130,181
131,448
132,99
133,143
134,133
135,117
136,131
137,71
138,153
139,113
140,160
141,139
142,60
143,119
144,154
145,145
146,125
147,170
148,105
149,121
150,75
151,180
152,135
153,161
154,77
155,93
156,40
157,30
158,123
159,127
160,107
161,137
162,79
163,129
164,73
165,95
166,87
167,67
168,101
169,89
170,109
171,147
172,151
173,111
174,165
175,63
176,81
177,83
178,85
179,28
180,24
181,26
182,14
183,48
184,44
185,115
186,20
187,18
188,38
189,36
190,59
191,16
192,12
193,69
194,91
195,42
196,50
197,167
198,149
199,103
200,97
201,487
202,56
203,6
204,34
205,163
206,178
207,2
208,4
209,8
210,10
211,21
212,94
213,156
214,32
215,46
216,22
217,141
218,172
219,466
220,155
221,173
222,174
223,70
224,65
225,106
226,434
227,198
228,440
229,56
230,199
231,398
232,399
233,192
234,200
235,194
236,86
237,190
238,201
239,437
240,150
241,429
242,432
243,84
244,94
245,74
246,202
247,90
248,140
249,146
250,122
251,126
252,171
253,164
254,138
255,191
256,188
257,182
258,193
259,451
260,98
261,88
262,132
263,449
264,144
265,96
266,152
267,134
268,184
269,100
270,124
271,62
272,45
273,116
274,136
275,82
276,186
277,78
278,130
279,158
280,118
281,102
282,104
283,166
284,120
285,183
286,110
287,128
288,142
289,203
290,162
291,114
292,108
293,112
294,64
295,39
296,61
297,41
