vertex,label
0,1
1,16
2,5
3,0
4,16
5,9
6,6
7,15
8,17
9,3
10,9
11,13
12,4
13,12
14,8
15,10
16,2
17,11
18,6
19,15
20,2
21,7
22,14
23,17
24,8
25,13
26,2
27,4
28,12
29,5
30,2
31,6
32,3
33,5
34,11
35,13
36,16
37,11
38,13
39,16
40,0
41,2
42,4
43,10
44,7
45,15
46,1
47,14
48,8
49,14
50,0
51,6
52,1
53,10
54,4
55,6
56,10
57,12
58,7
59,13
60,5
61,7
62,0
63,11
64,13
65,2
66,8
67,12
68,7
69,14
70,10
71,18
72,5
73,10
74,0
75,2
76,11
77,1
78,3
79,7
80,15
81,1
82,3
83,5
84,0
85,13
86,11
87,9
88,6
89,4
90,9
91,1
92,10
93,3
94,0
95,14
96,11
97,0
98,6
99,8
100,5
101,1
102,8
103,5
104,5
105,10
106,17
107,0
108,3
109,9
110,6
111,10
112,12
113,1
114,3
115,9
116,11
117,0
118,2
119,8
120,7
121,9
122,5
123,15
124,2
125,4
126,10
127,14
128,11
129,0
130,18
131,1
132,17
133,11
134,5
135,9
136,9
137,4
138,12
139,16
140,3
141,6
142,0
143,11
144,13
145,6
146,8
147,13
148,9
149,2
150,7
151,3
152,10
153,2
154,0
155,3
156,6
157,12
158,5
159,8
160,1
161,9
162,4
163,17
164,0
165,10
166,3
167,15
168,8
169,6
170,1
171,15
172,18
173,16
174,0
175,13
176,0
177,11
178,16
179,2
180,7
181,3
182,14
183,18
184,13
185,2
186,14
187,4
188,0
189,8
190,1
191,12
192,14
193,3
194,10
195,15
196,6
197,1
198,7
199,17
200,6
201,11
202,1
203,4
204,0
205,10
206,2
207,8
208,8
209,0
210,14
211,2
212,15
213,8
214,12
215,10
216,5
217,15
218,6
219,9
220,1
221,4
222,9
223,13
224,3
225,12
226,16
227,11
228,8
229,6
230,1
231,7
232,10
233,0
234,3
235,13
236,10
237,2
238,5
239,11
240,2
241,4
242,7
243,0
244,5
245,15
246,10
247,16
248,15
249,10
250,12
251,6
252,3
253,11
254,13
255,9
256,7
257,1
258,12
259,3
260,11
261,16
262,3
263,14
264,2
265,13
266,9
267,6
268,2
269,4
270,6
271,12
272,11
273,3
274,5
275,0
276,10
277,1
278,14
279,2
280,9
281,1
282,8
283,13
284,5
285,7
286,0
287,11
288,6
289,4
290,0
291,2
292,12
293,14
294,4
295,9
296,12
297,2
298,9
299,5
300,1
301,8
302,12
303,2
304,8
305,13
306,1
307,3
308,11
309,0
310,3
311,7
312,17
313,6
314,8
315,13
316,9
317,5
318,8
319,14
320,12
321,1
322,17
323,15
324,0
325,6
326,8
327,0
328,2
329,4
330,13
331,2
332,8
333,1
334,10
335,7
336,6
337,4
338,7
339,5
340,8
341,2
342,12
343,14
344,13
345,11
346,3
347,6
348,16
349,9
350,5
351,17
352,11
353,13
354,15
355,10
356,5
357,0
358,4
359,16
360,7
361,15
362,1
363,13
364,14
365,18
366,7
367,15
368,7
369,1
370,6
371,8
372,14
373,3
374,9
375,5
376,9
377,17
378,11
379,7
380,12
381,10
382,13
383,18
384,13
385,5
386,14
387,12
388,4
389,18
390,1
391,10
392,11
393,8
394,6
395,4
396,6
397,15
398,17
399,8
400,15
401,0
402,9
403,3
404,7
405,10
406,12
407,0
408,5
409,2
410,6
411,14
412,8
413,0
414,18
415,2
416,13
417,8
418,11
419,6
420,11
421,1
422,3
423,8
424,9
425,4
426,0
427,10
428,12
429,6
430,16
431,13
432,10
433,15
434,7
435,4
436,5
437,13
438,16
439,1
440,16
441,10
442,12
443,6
444,14
445,8
446,5
447,15
448,12
449,9
450,13
451,8
452,15
453,0
454,4
455,10
456,8
457,2
458,7
459,13
460,10
461,12
462,9
463,2
464,16
465,1
466,6
467,0
468,3
469,5
470,2
471,12
472,11
473,9
474,0
475,3
476,6
477,1
478,11
479,7
