vertex,label
0,8
1,1
2,3
3,0
4,2
5,4
6,0
7,2
8,4
9,0
10,2
11,4
12,0
13,2
14,4
15,0
16,2
17,5
18,0
19,2
20,9
21,2
22,5
23,7
24,9
25,6
26,8
27,10
28,6
29,8
30,10
31,6
32,8
33,10
34,6
35,8
36,10
37,6
38,8
39,10
40,5
41,1
42,0
43,8
44,10
45,12
46,14
47,11
48,13
49,15
50,12
51,7
52,9
53,16
54,7
55,9
56,11
57,7
58,9
59,11
60,7
61,9
62,12
63,4
64,6
65,3
66,0
67,2
68,4
69,16
70,2
71,4
72,11
73,2
74,4
75,12
76,2
77,4
78,12
79,2
80,4
81,12
82,2
83,0
84,1
85,9
86,11
87,5
88,9
89,1
90,6
91,13
92,1
93,9
94,12
95,1
96,8
97,10
98,1
99,8
100,10
101,1
102,8
103,5
104,7
105,3
106,7
107,13
108,10
109,6
110,11
111,8
112,15
113,6
114,16
115,7
116,9
117,11
118,7
119,9
120,11
121,7
122,9
123,11
124,1
125,3
126,5
127,10
128,8
129,4
130,13
131,2
132,4
133,10
134,2
135,4
136,10
137,2
138,4
139,13
140,2
141,4
142,16
143,2
144,4
145,6
146,8
147,0
148,12
149,1
150,11
151,7
152,5
153,11
154,16
155,5
156,7
157,12
158,5
159,8
160,11
161,5
162,7
163,11
164,5
165,7
166,9
167,0
168,2
169,5
170,7
171,3
172,9
173,12
174,2
175,7
176,13
177,2
178,8
179,10
180,2
181,7
182,10
183,2
184,8
185,10
186,2
187,16
188,4
189,4
190,9
191,0
192,6
193,11
194,8
195,0
196,3
197,11
198,5
199,14
200,12
201,5
202,16
203,14
204,5
205,12
206,14
207,5
208,8
209,10
210,1
211,6
212,2
213,8
214,13
215,5
216,9
217,12
218,14
219,3
220,6
221,8
222,10
223,2
224,8
225,15
226,2
227,8
228,16
229,1
230,3
231,3
232,12
233,4
234,15
235,2
236,11
237,6
238,10
239,2
240,9
241,0
242,3
243,7
244,0
245,5
246,12
247,9
248,5
249,2
250,4
251,7
252,13
253,10
254,6
255,12
256,4
257,9
258,2
259,8
260,5
261,12
262,2
263,9
264,11
265,3
266,9
267,2
268,11
269,13
270,8
271,10
272,1
273,0
274,7
275,3
276,16
277,10
278,5
279,11
280,15
281,9
282,16
283,5
284,13
285,2
286,6
287,11
288,13
289,15
290,2
291,11
292,13
293,3
294,2
295,9
296,1
297,6
298,2
299,8
300,14
301,5
302,2
303,8
304,10
305,15
306,5
307,1
308,3
309,6
310,0
311,7
312,9
313,5
314,7
315,10
316,5
317,8
318,3
319,9
320,13
321,16
322,8
323,11
324,5
325,2
326,8
327,10
328,7
329,9
330,11
331,2
332,10
333,4
334,8
335,0
336,0
337,7
338,10
339,13
340,11
341,0
342,7
343,10
344,13
345,15
346,9
347,11
348,2
349,12
350,5
351,13
352,9
353,12
354,15
355,6
356,3
357,2
358,9
359,5
360,15
361,6
362,2
363,4
364,1
365,5
366,8
367,12
368,5
369,8
370,10
371,2
372,7
373,11
374,2
375,8
376,11
377,9
378,4
379,11
380,7
381,9
382,12
383,7
384,13
385,8
386,2
387,10
388,14
389,16
390,13
391,5
392,8
393,12
394,5
395,9
396,12
397,2
398,0
399,0
400,6
401,1
402,3
403,0
404,5
405,10
406,4
407,9
408,1
409,3
410,8
411,2
412,15
413,13
414,2
415,7
416,11
417,1
418,5
419,7
420,7
421,3
422,5
423,7
424,4
425,9
426,1
427,6
428,0
429,7
430,10
431,0
432,7
433,3
434,6
435,0
436,3
437,6
438,4
439,11
440,9
441,3
442,6
443,8
444,10
445,7
446,9
447,6
448,8
449,10
450,6
451,8
452,10
453,6
454,8
455,11
456,6
457,8
458,10
459,6
460,8
461,3
462,7
463,0
464,2
465,4
466,0
467,2
468,4
469,0
470,2
471,4
472,0
473,2
474,4
475,0
476,2
477,4
478,0
479,2
480,4
481,0
482,7
483,9
484,3
485,5
486,1
487,3
488,5
489,1
490,3
491,5
492,1
493,3
494,5
495,1
496,3
497,5
498,1
499,3
500,5
501,1
502,3
503,10
504,11
505,1
506,7
507,9
508,6
509,0
510,7
511,14
512,0
513,6
514,8
515,0
516,6
517,8
518,0
519,6
520,8
521,0
522,6
523,8
524,4
525,6
526,4
527,0
528,2
529,4
530,8
531,2
532,4
533,7
534,2
535,4
536,7
537,2
538,4
539,7
540,2
541,4
542,7
543,2
544,0
545,9
546,8
547,2
548,5
549,7
550,0
551,3
552,5
553,0
554,3
555,5
556,0
557,3
558,5
559,0
560,3
561,5
562,0
563,3
564,5
565,7
566,11
567,11
568,0
569,3
570,1
571,5
572,7
573,1
574,6
575,8
576,1
577,6
578,8
579,1
580,6
581,8
582,1
583,6
584,8
585,0
586,2
587,4
588,7
589,4
590,6
591,8
592,2
593,0
594,3
595,9
596,0
597,3
598,9
599,0
600,3
601,9
602,0
603,3
604,9
605,1
606,3
607,5
608,7
609,10
610,1
611,9
612,0
613,4
614,6
615,8
616,1
617,4
618,6
619,1
620,4
621,6
622,1
623,4
624,6
625,0
626,4
627,6
628,0
629,2
630,6
631,3
632,5
