vertex,label
0,3
1,13
2,10
3,34
4,8
5,12
6,16
7,11
8,23
9,16
10,18
11,20
12,34
13,8
14,17
15,21
16,19
17,35
18,25
19,6
20,7
21,20
22,32
23,22
24,25
25,27
26,33
27,31
28,19
29,35
30,11
31,18
32,26
33,28
34,30
35,34
36,24
37,18
38,5
39,12
40,1
41,19
42,22
43,29
44,31
45,35
46,32
47,28
48,23
49,20
50,4
51,32
52,7
53,20
54,24
55,27
56,33
57,29
58,31
59,26
60,29
61,18
62,0
63,21
64,33
65,28
66,16
67,23
68,34
69,27
70,30
71,32
72,6
73,21
74,5
75,29
76,9
77,25
78,35
79,28
80,34
81,17
82,7
83,18
84,10
85,24
86,33
87,23
88,26
89,31
90,3
91,35
92,35
93,18
94,27
95,32
96,24
97,27
98,25
99,5
100,11
101,15
102,25
103,28
104,35
105,18
106,9
107,4
108,21
109,8
110,17
111,32
112,10
113,20
114,26
115,34
116,14
117,17
118,9
119,3
120,10
121,16
122,5
123,15
124,22
125,35
126,7
127,5
128,34
129,4
130,15
131,21
132,20
133,6
134,10
135,14
136,28
137,26
138,12
139,0
140,2
141,16
142,11
143,14
144,1
145,3
146,5
147,7
148,9
149,4
150,30
151,19
152,6
153,8
154,10
155,1
156,15
157,16
158,13
159,0
160,2
161,4
162,0
163,12
164,4
165,13
166,17
167,9
168,3
169,5
170,7
171,9
172,14
173,2
174,6
175,0
176,22
177,12
178,15
179,1
180,11
181,3
182,5
183,8
184,10
185,3
186,16
187,27
188,23
189,18
190,8
191,0
192,12
193,1
194,13
195,5
196,1
197,13
198,34
199,21
200,4
201,6
202,9
203,7
204,11
205,19
206,15
207,26
208,2
209,11
210,0
211,2
212,14
213,30
214,13
215,5
216,8
217,13
218,4
219,16
220,25
221,7
222,1
223,3
224,6
225,1
226,7
227,20
228,18
229,0
230,19
231,23
232,14
233,9
234,11
235,5
236,2
237,15
238,13
239,12
240,2
241,19
242,16
243,20
244,7
245,9
246,32
247,1
248,19
249,2
250,14
251,4
252,22
253,5
254,0
255,4
256,7
257,9
258,11
259,13
260,0
261,27
262,10
263,13
264,15
265,17
266,3
267,21
268,2
269,15
270,34
271,16
272,18
273,20
274,22
275,8
276,26
277,14
278,6
279,8
280,12
281,21
282,23
283,7
284,16
285,11
286,2
287,9
288,4
289,17
290,10
291,14
292,17
293,19
294,25
295,21
296,14
297,7
298,35
299,0
300,26
301,4
302,6
303,10
304,15
305,17
306,19
307,12
308,10
309,23
310,22
311,13
312,18
313,20
314,22
315,24
316,15
317,4
318,2
319,3
320,7
321,14
322,3
323,18
324,20
325,0
326,9
327,32
328,0
329,16
330,21
331,10
332,8
333,5
334,20
335,9
336,12
337,19
338,15
339,12
340,22
341,14
342,2
343,4
344,34
345,17
346,23
347,3
348,0
349,6
350,12
351,6
352,22
353,8
354,0
355,13
356,8
357,10
358,23
359,1
360,18
361,25
