vertex,label
0,0
1,2
2,0
3,2
4,3
5,4
6,3
7,4
8,5
9,11
10,0
11,11
12,7
13,9
14,10
15,7
16,10
17,11
18,3
19,4
20,3
21,6
22,7
23,11
24,3
25,6
26,7
27,11
28,3
29,4
30,2
31,0
32,10
33,4
34,10
35,11
36,3
37,0
38,6
39,0
40,3
41,10
42,11
43,6
44,7
45,11
46,10
47,11
48,7
49,3
50,7
51,0
52,11
53,7
54,8
55,2
56,4
57,11
58,1
59,5
60,4
61,0
62,3
63,4
64,8
65,9
66,10
67,11
68,10
69,11
70,2
71,8
72,7
73,10
74,0
75,9
76,10
77,11
78,5
79,3
80,2
81,1
82,0
83,1
84,8
85,1
86,5
87,3
88,2
89,10
90,11
91,4
92,1
93,8
94,7
95,10
96,7
97,2
98,9
99,1
100,0
101,10
102,1
103,8
104,1
105,10
106,1
107,3
108,8
109,4
110,1
111,3
112,0
113,7
114,2
115,5
116,4
117,0
118,4
119,9
120,3
121,4
122,5
123,8
124,7
125,5
126,7
127,0
128,2
129,1
130,4
131,7
132,10
133,8
134,1
135,6
136,6
137,11
138,1
139,9
140,2
141,0
142,5
143,0
144,2
145,0
146,3
147,5
148,6
149,1
150,11
151,1
152,9
153,1
154,2
155,4
156,7
157,0
158,4
159,5
160,0
161,2
162,0
163,5
164,6
165,8
166,4
167,1
168,3
169,2
170,3
171,1
172,8
173,4
174,2
175,11
176,5
177,8
178,9
179,10
180,4
181,0
182,2
183,9
184,3
185,1
186,2
187,6
188,6
189,3
190,1
191,5
192,3
193,0
194,4
195,0
196,3
197,4
198,7
199,0
200,4
201,2
202,1
203,7
204,9
205,8
206,7
207,5
208,9
209,8
210,0
211,6
212,3
213,2
214,6
215,0
216,2
217,4
218,5
219,4
220,3
221,5
222,4
223,3
224,6
225,3
226,6
227,5
228,0
229,8
230,9
231,11
232,2
233,4
234,11
235,0
236,2
237,6
238,7
239,1
240,0
241,10
242,1
243,3
244,6
245,9
246,6
247,10
248,11
249,3
250,4
251,5
252,9
253,10
254,11
255,8
256,9
257,6
258,7
259,8
260,2
261,5
262,4
263,5
264,8
265,0
266,9
267,0
268,10
269,9
270,3
271,6
272,7
273,9
274,10
275,2
276,10
277,11
278,8
279,7
280,8
281,9
282,5
283,2
284,8
285,4
286,1
287,11
288,5
289,6
290,5
291,0
292,10
293,6
294,0
295,6
296,9
297,8
298,10
299,2
300,1
301,6
302,7
303,9
304,5
305,7
306,10
307,6
308,9
309,1
310,11
311,3
312,8
313,6
314,8
315,9
316,5
317,11
318,2
319,2
320,7
321,0
322,10
323,11
324,0
325,6
326,10
327,11
328,3
329,11
330,6
331,9
332,8
333,7
334,9
335,2
336,9
337,0
338,11
339,0
340,11
341,6
342,11
343,7
344,6
345,10
346,9
347,8
348,9
349,8
350,10
351,2
352,5
353,9
354,11
355,6
356,3
357,10
358,1
359,11
360,10
361,4
