vertex,label
0,3
1,1
2,0
3,20
4,2
5,5
6,4
7,1
8,0
9,20
10,2
11,20
12,18
13,1
14,0
15,3
16,17
17,20
18,19
19,1
20,0
21,20
22,7
23,5
24,4
25,1
26,0
27,3
28,2
29,5
30,4
31,1
32,0
33,2
34,3
35,1
36,5
37,1
38,0
39,3
40,2
41,5
42,4
43,1
44,0
45,3
46,2
47,5
48,20
49,1
50,0
51,19
52,18
53,5
54,20
55,17
56,0
57,19
58,18
59,5
60,20
61,17
62,0
63,19
64,18
65,4
66,20
67,0
68,1
69,3
70,4
71,7
72,0
73,2
74,5
75,8
76,1
77,3
78,8
79,10
80,18
81,12
82,14
83,20
84,9
85,11
86,13
87,18
88,10
89,20
90,12
91,14
92,9
93,16
94,11
95,13
96,15
97,17
98,10
99,12
100,14
101,16
102,11
103,18
104,13
105,15
106,17
107,19
108,10
109,14
110,12
111,16
112,18
113,20
114,10
115,13
116,15
117,17
118,12
119,19
120,10
121,14
122,16
123,18
124,20
125,13
126,11
127,15
128,17
129,19
130,10
131,14
132,16
133,18
134,11
135,13
136,15
137,17
138,12
139,19
140,14
141,16
142,0
143,2
144,4
145,19
146,20
147,0
148,3
149,1
150,6
151,9
152,9
153,20
154,0
155,2
156,4
157,6
158,1
159,8
160,3
161,5
162,0
163,7
164,2
165,4
166,6
167,8
168,0
169,3
170,5
171,7
172,1
173,9
174,3
175,6
176,0
177,8
178,2
179,4
180,6
181,9
182,0
183,3
184,5
185,7
186,1
187,9
188,3
189,6
190,0
191,8
192,2
193,4
194,6
195,9
196,0
197,3
198,7
199,5
200,1
201,9
202,3
203,6
204,0
205,8
206,2
207,4
208,6
209,9
210,0
211,3
212,5
213,7
214,1
215,9
216,3
217,6
218,15
219,10
220,1
221,3
222,7
223,0
224,5
225,8
226,0
227,2
228,12
229,15
230,5
231,7
232,9
233,11
234,13
235,15
236,10
237,17
238,12
239,14
240,9
241,16
242,1
243,11
244,17
245,15
246,2
247,10
248,4
249,12
250,14
251,18
252,5
253,10
254,7
255,12
256,1
257,14
258,8
259,10
260,2
261,12
262,4
263,17
264,10
265,19
266,5
267,12
268,7
269,14
270,1
271,11
272,8
273,13
274,2
275,10
276,4
277,12
278,14
279,16
280,5
281,10
282,7
283,12
284,1
285,14
286,8
287,10
288,2
289,12
290,4
291,14
292,0
293,8
294,12
295,17
296,5
297,0
298,3
299,8
300,1
301,10
302,4
303,7
304,10
305,17
306,1
307,3
308,14
309,16
310,0
311,2
312,4
313,6
314,1
315,8
316,3
317,5
318,7
319,13
320,4
321,9
322,0
323,6
324,8
325,16
326,1
327,11
328,3
329,13
330,0
331,9
332,4
333,11
334,6
335,13
336,0
337,9
338,7
339,20
340,1
341,13
342,3
343,9
344,0
345,16
346,4
347,18
348,6
349,15
350,0
351,17
352,7
353,19
354,1
355,9
356,3
357,13
358,0
359,15
360,4
361,11
362,6
363,13
364,0
365,9
366,7
367,11
368,2
369,5
370,14
371,19
372,7
373,1
374,0
375,2
376,11
377,2
378,15
379,12
380,0
381,2
382,6
383,8
384,4
385,10
386,7
387,12
388,9
389,19
390,11
391,16
392,0
393,14
394,2
395,10
396,16
397,12
398,3
399,18
400,5
401,10
402,7
403,19
404,15
405,17
406,2
407,5
408,7
409,16
410,1
411,3
412,5
413,14
414,2
415,16
416,4
417,6
418,11
419,14
420,2
421,5
422,7
423,9
424,1
425,3
426,5
427,8
428,2
429,10
430,4
431,6
432,8
433,11
434,2
435,5
436,7
437,9
438,1
439,3
440,5
441,14
442,16
443,18
444,9
445,12
446,0
447,3
448,2
449,20
450,4
451,1
452,6
453,3
454,0
455,2
456,4
457,7
458,14
459,16
460,0
461,2
462,5
463,17
464,1
465,3
466,6
467,18
468,4
469,8
470,17
471,15
472,0
473,5
474,7
475,9
476,1
477,12
478,3
479,14
480,0
481,6
482,8
483,10
484,14
485,12
486,9
487,17
488,7
489,11
490,0
491,13
492,8
493,10
494,1
495,16
496,12
497,18
498,0
499,14
500,10
501,16
502,12
503,19
504,0
505,14
506,16
507,18
508,1
509,20
510,10
511,12
512,0
513,14
514,8
515,11
516,2
517,17
518,0
519,4
520,6
521,14
522,8
523,10
524,5
525,0
526,7
527,0
528,1
529,8
530,3
531,5
