vertex,label
0,1258
1,661
2,1483
3,2349
4,2013
5,2572
6,1607
7,308
8,1422
9,2437
10,1816
11,2014
12,1456
13,2492
14,2045
15,698
16,931
17,2141
18,2375
19,1274
20,2128
21,923
22,283
23,490
24,1404
25,1133
26,1052
27,643
28,2156
29,1776
30,1809
31,2625
32,2288
33,2195
34,681
35,1025
36,242
37,2405
38,689
39,2182
40,286
41,965
42,2573
43,1102
44,244
45,1567
46,1484
47,885
48,324
49,1871
50,347
51,507
52,1650
53,1844
54,1112
55,2183
56,841
57,1709
58,986
59,1541
60,767
61,1598
62,359
63,934
64,2205
65,2056
66,2184
67,555
68,80
69,1926
70,2674
71,2563
72,2308
73,1733
74,2682
75,202
76,2609
77,876
78,775
79,1225
80,2591
81,700
82,2698
83,1568
84,2048
85,2750
86,2757
87,2588
88,1542
89,2759
90,1268
91,2676
92,2406
93,2779
94,2362
95,1489
96,1344
97,367
98,440
99,1032
100,1550
101,2493
102,6
103,716
104,718
105,60
106,137
107,2185
108,603
109,73
110,1243
111,1251
112,1367
113,125
114,1191
115,2321
116,2700
117,1599
118,1472
119,914
120,1522
121,2157
122,2668
123,1144
124,1632
125,604
126,1234
127,704
128,1731
129,2450
130,1669
131,1635
132,864
133,2129
134,2289
135,169
136,2130
137,1283
138,1373
139,1263
140,2350
141,1171
142,2423
143,1235
144,521
145,1524
146,2407
147,1496
148,1777
149,2131
150,1993
151,1390
152,1276
153,2219
154,2119
155,960
156,281
157,1799
158,2269
159,2278
160,2631
161,1134
162,2669
163,916
164,2395
165,1183
166,1277
167,853
168,2363
169,174
170,1721
171,1165
172,991
173,2307
174,2341
175,259
176,1905
177,2206
178,2451
179,843
180,2364
181,369
182,597
183,2027
184,1551
185,30
186,1858
187,2270
188,37
189,2077
190,2220
191,172
192,1350
193,795
194,320
195,2015
196,465
197,516
198,1636
199,184
200,121
201,1670
202,1145
203,0
204,1097
205,345
206,2186
207,746
208,197
209,2279
210,2548
211,88
212,539
213,1346
214,8
215,606
216,1763
217,102
218,94
219,1756
220,34
221,2
222,76
223,337
224,400
225,208
226,186
227,42
228,71
229,569
230,1675
231,1099
232,194
233,300
234,179
235,856
236,1048
237,2187
238,225
239,1722
240,144
241,463
242,312
243,232
244,1252
245,210
246,2723
247,2311
248,2158
249,260
250,1473
251,2168
252,2103
253,2325
254,1883
255,2712
256,2780
257,1475
258,26
259,1493
260,1832
261,1671
262,1749
263,20
264,966
265,1071
266,2777
267,2549
268,1176
269,1102
270,2536
271,2514
272,214
273,2718
274,1907
275,1686
276,995
277,119
