vertex,label
0,1
1,7
2,2
3,6
4,0
5,2
6,8
7,4
8,0
9,5
10,11
11,0
12,4
13,1
14,5
15,9
16,11
17,1
18,7
19,3
20,7
21,2
22,6
23,3
24,7
25,1
26,3
27,5
28,2
29,6
30,0
31,5
32,11
33,0
34,4
35,8
36,10
37,0
38,8
39,11
40,2
41,9
42,4
43,2
44,9
45,0
46,4
47,11
48,5
49,0
50,10
51,1
52,7
53,5
54,11
55,6
56,9
57,1
58,7
59,2
60,0
61,6
62,9
63,0
64,8
65,4
66,2
67,10
68,0
69,8
70,11
71,3
72,1
73,4
74,6
75,0
76,5
77,3
78,6
79,11
80,1
81,5
82,10
83,7
84,11
85,2
86,10
87,0
88,8
89,1
90,4
91,7
92,2
93,5
94,0
95,7
96,4
97,2
98,5
99,9
100,0
101,9
102,0
103,0
104,0
105,0
106,0
107,11
108,0
109,0
110,0
111,6
112,0
113,8
114,0
115,0
116,0
117,3
118,0
119,0
120,0
121,8
122,0
123,5
124,0
125,10
126,0
127,7
128,0
129,0
130,0
131,10
132,0
133,7
134,0
135,5
136,0
137,9
138,0
139,0
140,0
141,6
142,0
143,10
144,0
145,2
146,0
147,6
148,0
149,0
150,0
151,8
152,0
153,8
154,0
155,8
156,0
157,8
158,0
159,9
160,0
161,11
162,0
163,11
164,0
165,10
166,0
167,0
168,0
169,3
170,0
171,9
172,0
173,2
174,0
175,7
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,9
184,0
185,5
186,0
187,0
188,0
189,6
190,0
191,0
192,0
193,0
194,0
195,9
196,0
197,0
198,0
199,11
200,3
201,5
202,1
203,9
204,7
205,1
206,10
207,8
208,1
209,5
210,0
211,2
212,10
213,0
214,3
215,5
216,7
217,0
218,4
219,2
220,9
221,4
222,7
223,2
224,6
225,0
226,9
227,2
228,6
229,0
230,11
231,0
232,9
233,4
234,8
235,3
236,6
237,4
238,1
239,3
240,8
241,2
242,5
243,0
244,11
245,7
246,10
247,0
248,5
249,8
250,1
251,4
252,7
253,2
254,9
255,0
256,5
257,2
258,7
259,4
260,3
261,0
262,9
263,4
264,6
265,2
266,11
267,4
268,9
269,11
270,8
271,2
272,5
273,0
274,8
275,4
276,9
277,0
278,5
279,7
280,0
281,4
282,1
283,3
284,11
285,0
286,3
287,10
288,8
289,4
290,2
291,9
292,7
293,10
294,6
295,2
296,7
297,1
298,6
299,2
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,2
308,0
309,0
310,0
311,0
312,0
313,11
314,0
315,0
316,0
317,6
318,0
319,0
320,0
321,0
322,0
323,8
324,0
325,11
326,0
327,10
328,0
329,0
330,1
331,0
332,0
333,1
334,0
335,9
336,0
337,8
338,0
339,0
340,4
341,0
342,0
343,3
344,0
345,5
346,0
347,11
348,0
349,0
350,9
351,0
352,0
353,6
354,0
355,10
356,0
357,9
358,0
359,0
360,7
361,0
362,0
363,10
364,3
365,8
366,0
367,6
368,0
369,0
370,11
371,0
372,11
373,7
374,10
375,6
376,0
377,11
378,0
379,3
380,6
381,0
382,9
383,0
384,2
385,10
386,0
387,0
388,0
389,9
390,10
391,0
392,3
393,0
394,8
395,5
396,0
397,0
398,0
399,0
400,2
401,0
402,4
403,1
404,11
405,0
406,3
407,5
408,11
409,0
410,5
411,7
412,9
413,3
414,5
415,9
416,11
417,1
418,3
419,10
420,11
421,1
422,6
423,10
424,0
425,4
426,2
427,7
428,0
429,4
430,7
431,10
432,0
433,5
434,8
435,6
436,0
437,3
438,5
439,9
440,0
441,6
442,11
443,9
444,1
445,3
446,8
447,6
448,10
449,0
450,3
451,8
452,5
453,0
454,4
455,7
456,11
457,0
458,3
459,8
460,10
461,1
462,9
463,2
464,11
465,0
466,9
467,2
468,11
469,5
470,2
471,5
472,0
473,4
474,1
475,3
476,5
477,7
478,4
479,10
480,9
481,3
482,7
483,11
484,6
485,8
486,0
487,10
488,8
489,2
490,0
491,6
492,1
493,9
494,0
495,11
496,3
497,1
498,5
499,7
500,0
501,0
502,0
503,0
504,2
505,0
506,0
507,0
508,1
509,0
510,0
511,0
512,0
513,0
514,7
515,0
516,0
517,0
518,5
519,0
520,0
521,3
522,0
523,0
524,9
525,0
526,6
527,0
528,10
529,0
530,0
531,8
532,0
533,0
534,11
535,0
536,9
537,0
538,8
539,0
540,5
541,1
542,0
543,0
544,6
545,0
546,1
547,0
548,0
549,0
550,7
551,10
552,0
553,0
554,2
555,0
556,0
557,0
558,0
559,6
560,4
561,6
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,3
570,0
571,8
572,0
573,0
574,0
575,0
576,2
577,0
578,0
579,0
580,5
581,11
582,0
583,0
584,0
585,0
586,11
587,0
588,0
589,11
590,7
591,9
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,1
600,3
601,5
602,10
603,3
604,9
605,11
606,8
607,0
608,3
609,10
610,1
611,7
612,4
613,6
614,0
615,2
616,4
617,6
618,9
619,4
620,4
621,0
622,11
623,8
624,3
625,5
626,0
627,8
628,2
629,11
630,10
631,2
632,6
633,10
634,1
635,7
636,3
637,11
638,6
639,1
640,8
641,4
642,9
643,2
644,4
645,9
646,5
647,0
648,3
649,8
650,11
651,0
652,5
653,8
654,0
655,3
656,11
657,2
658,9
659,0
660,9
661,2
662,10
663,4
664,7
665,1
666,6
667,8
668,4
669,7
670,6
671,4
672,1
673,6
674,3
675,5
676,0
677,3
678,1
679,5
680,8
681,0
682,3
683,8
684,0
685,2
686,4
687,9
688,7
689,3
690,11
691,2
692,5
693,1
694,4
695,10
696,1
697,11
698,0
699,10
700,0
701,0
702,0
703,0
704,0
705,1
706,0
707,0
708,0
709,6
710,0
711,0
712,0
713,0
714,0
715,6
716,0
717,0
718,0
719,1
720,0
721,8
722,0
723,0
724,0
725,9
726,0
727,0
728,0
729,3
730,0
731,11
732,0
733,0
734,0
735,11
736,0
737,0
738,0
739,7
740,0
741,7
742,0
743,0
744,0
745,6
746,0
747,4
748,0
749,4
750,0
751,9
752,0
753,0
754,0
755,10
756,0
757,10
758,0
759,10
760,0
761,11
762,0
763,0
764,0
765,8
766,0
767,1
768,0
769,0
770,0
771,7
772,0
773,0
774,0
775,11
776,0
777,11
778,0
779,0
780,0
781,10
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,4
792,0
793,0
794,0
795,0
796,0
797,2
798,0
799,0
800,1
801,3
802,0
803,11
804,2
805,4
806,10
807,5
808,11
809,0
810,5
811,11
812,7
813,1
814,9
815,0
816,8
817,1
818,3
819,5
820,2
821,6
822,10
823,5
824,11
825,3
826,6
827,4
828,0
829,8
830,7
831,4
832,8
833,0
834,7
835,5
836,10
837,7
838,2
839,10
840,3
841,0
842,6
843,3
844,10
845,0
846,8
847,1
848,11
849,6
850,8
851,5
852,2
853,11
854,8
855,2
856,6
857,3
858,0
859,2
860,1
861,3
862,10
863,0
864,6
865,4
866,11
867,5
868,7
869,9
870,5
871,0
872,6
873,2
874,10
875,0
876,9
877,2
878,4
879,6
880,8
881,2
882,9
883,4
884,8
885,2
886,5
887,10
888,1
889,8
890,3
891,6
892,11
893,0
894,5
895,7
896,0
897,4
898,7
899,11
900,7
901,0
902,0
903,0
904,0
905,0
906,0
907,9
908,1
909,0
910,3
911,0
912,0
913,0
914,0
915,7
916,0
917,6
918,8
919,0
920,8
921,0
922,0
923,0
924,0
925,1
926,0
927,2
928,10
929,0
930,0
931,0
932,0
933,6
934,0
935,8
936,0
937,11
938,4
939,0
940,6
941,0
942,0
943,1
944,0
945,3
946,0
947,9
948,7
949,0
950,0
951,0
952,0
953,5
954,0
955,5
956,0
957,1
958,10
959,11
960,4
961,0
962,0
963,3
964,0
965,10
966,0
967,0
968,2
969,0
970,11
971,0
972,0
973,7
974,0
975,3
976,0
977,0
978,11
979,2
980,0
981,0
982,0
983,1
984,0
985,11
986,0
987,0
988,2
989,5
990,0
991,0
992,0
993,3
994,0
995,1
996,0
997,0
998,2
999,9
