vertex,label
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,5
39,0
40,0
41,4
42,0
43,9
44,1
45,3
46,10
47,5
48,0
49,0
50,0
51,0
52,0
53,3
54,1
55,9
56,11
57,1
58,3
59,5
60,7
61,9
62,1
63,3
64,0
65,0
66,0
67,0
68,0
69,9
70,4
71,6
72,8
73,5
74,7
75,1
76,3
77,5
78,7
79,9
80,0
81,0
82,0
83,0
84,0
85,1
86,7
87,0
88,14
89,12
90,10
91,6
92,8
93,1
94,3
95,0
96,0
97,0
98,0
99,0
100,0
101,3
102,5
103,2
104,4
105,0
106,14
107,12
108,10
109,6
110,8
111,0
112,0
113,0
114,0
115,0
116,0
117,11
118,8
119,6
120,13
121,8
122,3
123,0
124,4
125,9
126,14
127,0
128,0
129,0
130,0
131,0
132,6
133,4
134,10
135,3
136,1
137,6
138,9
139,7
140,11
141,0
142,3
143,0
144,0
145,0
146,0
147,0
148,1
149,7
150,0
151,8
152,10
153,13
154,1
155,3
156,5
157,7
158,9
159,0
160,0
161,0
162,0
163,0
164,11
165,14
166,2
167,5
168,14
169,7
170,12
171,14
172,0
173,3
174,0
175,0
176,0
177,0
178,0
179,0
180,6
181,3
182,7
183,9
184,11
185,1
186,3
187,5
188,7
189,11
190,0
191,0
192,0
193,0
194,0
195,2
196,4
197,8
198,10
199,0
200,5
201,8
202,10
203,1
204,3
205,5
206,0
207,0
208,0
209,0
210,0
211,9
212,1
213,5
214,12
215,7
216,9
217,14
218,6
219,13
220,9
221,0
222,0
223,0
224,0
225,0
226,10
227,3
228,8
229,2
230,6
231,10
232,13
233,11
234,0
235,3
236,5
237,0
238,0
239,0
240,0
241,0
242,1
243,5
244,10
245,4
246,11
247,3
248,0
249,6
250,10
251,0
252,0
253,0
254,0
255,0
256,0
257,6
258,3
259,7
260,12
261,9
262,13
263,7
264,12
265,2
266,4
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,5
275,1
276,4
277,14
278,2
279,10
280,1
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,2
290,7
291,9
292,6
293,1
294,5
295,0
296,4
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,8
306,10
307,12
308,8
309,4
310,10
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,2
323,0
324,10
325,6
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,5
340,2
341,9
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,3
356,8
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,10
413,5
414,7
415,0
416,0
417,0
418,0
419,0
420,0
421,7
422,10
423,12
424,7
425,14
426,6
427,8
428,0
429,2
430,4
431,6
432,0
433,0
434,0
435,0
436,0
437,5
438,0
439,2
440,4
441,0
442,2
443,4
444,6
445,8
446,0
447,2
448,0
449,0
450,0
451,0
452,0
453,8
454,3
455,5
456,1
457,3
458,5
459,0
460,2
461,4
462,6
463,8
464,0
465,0
466,0
467,0
468,0
469,6
470,1
471,7
472,9
473,6
474,1
475,3
476,5
477,0
478,2
479,0
480,0
481,0
482,0
483,0
484,0
485,9
486,4
487,0
488,2
489,4
490,7
491,9
492,1
493,3
494,5
495,0
496,0
497,0
498,0
499,0
500,14
501,0
502,2
503,5
504,7
505,0
506,2
507,4
508,6
509,8
510,1
511,0
512,0
513,0
514,0
515,0
516,10
517,3
518,6
519,1
520,3
521,5
522,8
523,0
524,2
525,4
526,6
527,0
528,0
529,0
530,0
531,0
