vertex,label
0,0
1,36
2,37
3,1
4,5
5,10
6,264
7,3
8,2
9,38
10,88
11,4
12,1
13,2
14,3
15,3
16,2
17,3
18,2
19,7
20,3
21,4
22,1
23,2
24,4
25,1
26,5
27,3
28,2
29,2
30,3
31,1
32,2
33,2
34,2
35,6
36,4
37,4
38,1
39,4
40,4
41,3
42,2
43,2
44,3
45,2
46,3
47,4
48,3
49,89
50,265
51,3
52,266
53,2
54,3
55,5
56,3
57,2
58,7
59,2
60,4
61,2
62,4
63,2
64,1
65,2
66,5
67,1
68,7
69,3
70,1
71,5
72,2
73,5
74,0
75,1
76,11
77,90
78,3
79,91
80,5
81,2
82,5
83,1
84,2
85,6
86,3
87,1
88,4
89,3
90,4
91,1
92,2
93,1
94,6
95,0
96,1
97,3
98,1
99,2
100,1
101,1
102,39
103,40
104,4
105,41
106,3
107,92
108,93
109,2
110,3
111,4
112,1
113,2
114,1
115,2
116,1
117,4
118,2
119,3
120,1
121,2
122,1
123,3
124,2
125,2
126,1
127,1
128,2
129,4
130,5
131,42
132,94
133,43
134,44
135,95
136,96
137,45
138,3
139,267
140,4
141,12
142,268
143,13
144,269
145,46
146,14
147,15
148,97
149,47
150,270
151,98
152,16
153,99
154,100
155,101
156,271
157,102
158,272
159,273
160,274
161,48
162,103
163,104
164,105
165,49
166,17
167,50
168,106
169,107
170,108
171,109
172,6
173,275
174,110
175,276
176,111
177,51
178,52
179,277
180,18
181,278
182,19
183,112
184,113
185,20
186,53
187,114
188,54
189,55
190,21
191,115
192,22
193,23
194,116
195,117
196,56
197,118
198,1
199,119
200,57
201,1
202,4
203,120
204,58
205,121
206,59
207,4
208,9
209,1
210,6
211,3
212,6
213,7
214,6
215,5
216,6
217,3
218,122
219,4
220,3
221,4
222,7
223,6
224,4
225,8
226,4
227,7
228,279
229,60
230,4
231,123
232,6
233,1
234,280
235,5
236,5
237,124
238,6
239,3
240,281
241,6
242,282
243,283
244,284
245,285
246,286
247,287
248,288
249,289
250,290
251,5
252,125
253,291
254,292
255,293
256,294
257,295
258,1
259,296
260,126
261,24
262,1
263,7
264,127
265,128
266,25
267,1
268,129
269,6
270,130
271,131
272,132
273,1
274,297
275,3
276,1
277,133
278,26
279,3
280,61
281,27
282,62
283,8
284,134
285,298
286,63
287,135
288,64
289,299
290,300
291,65
292,136
293,66
294,301
295,137
296,138
297,139
298,302
299,140
300,141
301,303
302,67
303,68
304,2
305,1
306,304
307,142
308,143
309,144
310,305
311,3
312,306
313,307
314,145
315,308
316,8
317,146
318,147
319,69
320,1
321,148
322,149
323,150
324,4
325,28
326,309
327,70
328,2
329,3
330,2
331,310
332,151
333,152
334,153
335,71
336,154
337,155
338,156
339,311
340,157
341,158
342,72
343,159
344,312
345,160
346,313
347,161
348,3
349,162
350,163
351,2
352,164
353,314
354,165
355,315
356,73
357,316
358,166
359,317
360,318
361,319
362,320
363,167
364,168
365,2
366,321
367,322
368,2
369,3
370,323
371,169
372,324
373,325
374,326
375,327
376,328
377,3
378,5
379,4
380,2
381,1
382,170
383,74
384,171
385,9
386,3
387,2
388,3
389,5
390,2
391,5
392,3
393,2
394,1
395,2
396,4
397,6
398,3
399,75
400,2
401,4
402,1
403,3
404,329
405,5
406,330
407,331
408,29
409,172
410,1
411,4
412,76
413,0
414,6
415,173
416,174
417,1
418,5
419,175
420,332
421,30
422,4
423,2
424,5
425,77
426,31
427,32
428,176
429,2
430,177
431,178
432,33
433,179
434,180
435,181
436,333
437,334
438,335
439,336
440,182
441,34
442,3
443,183
444,184
445,3
446,78
447,185
448,186
449,187
450,188
451,189
452,2
453,337
454,190
455,338
456,191
457,79
458,80
459,339
460,81
461,340
462,35
463,192
464,193
465,82
466,194
467,341
468,195
469,196
470,83
471,197
472,342
473,3
474,343
475,344
476,198
477,345
478,84
479,346
480,199
481,200
482,347
483,348
484,201
485,349
486,202
487,5
488,350
489,2
490,2
491,203
492,351
493,352
494,3
495,5
496,1
497,204
498,205
499,206
500,207
501,208
502,209
503,210
504,1
505,10
506,6
507,8
508,353
509,354
510,355
511,356
512,6
513,357
514,85
515,358
516,7
517,359
518,3
519,5
520,5
521,5
522,360
523,361
524,362
525,363
526,364
527,365
528,366
529,367
530,211
531,368
532,212
533,369
534,370
535,371
536,372
537,213
538,5
539,373
540,374
541,214
542,215
543,216
544,375
545,376
546,217
547,218
548,6
549,377
550,86
551,87
552,219
553,4
554,378
555,2
556,3
557,4
558,220
559,5
560,3
561,221
562,222
563,223
564,379
565,224
566,225
567,226
568,227
569,380
570,228
571,229
572,230
573,231
574,381
575,232
576,233
577,234
578,235
579,382
580,236
581,237
582,383
583,384
584,385
585,238
586,4
587,386
588,239
589,240
590,241
591,242
592,243
593,387
594,388
595,389
596,390
597,391
598,392
599,393
600,244
601,394
602,4
603,6
604,395
605,396
606,397
607,3
608,2
609,398
610,399
611,400
612,401
613,402
614,403
615,245
616,246
617,247
618,404
619,248
620,249
621,405
622,406
623,250
624,251
625,407
626,408
627,252
628,253
629,5
630,409
631,410
632,254
633,255
634,256
635,411
636,412
637,413
638,414
639,415
640,257
641,1
642,3
643,258
644,259
645,2
646,416
647,417
648,418
649,260
650,419
651,420
652,421
653,1
654,422
655,261
656,423
657,1
658,262
659,263
660,424
661,425
662,426
