vertex,label
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,2
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,6
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,3
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,5
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,7
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,9
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,11
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,12
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,1
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,3
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,17
205,4
206,1
207,7
208,11
209,9
210,5
211,3
212,16
213,2
214,13
215,7
216,6
217,15
218,11
219,24
220,0
221,0
222,1
223,12
224,3
225,8
226,5
227,7
228,9
229,11
230,2
231,12
232,4
233,14
234,6
235,8
236,2
237,10
238,2
239,4
240,16
241,6
242,9
243,18
244,6
245,2
246,2
247,13
248,10
249,8
250,14
251,1
252,6
253,21
254,17
255,10
256,19
257,17
258,7
259,14
260,4
261,0
262,4
263,2
264,2
265,0
266,6
267,16
268,5
269,6
270,8
271,11
272,1
273,0
274,13
275,3
276,15
277,5
278,12
279,1
280,14
281,3
282,17
283,1
284,5
285,8
286,9
287,0
288,3
289,15
290,12
291,18
292,3
293,16
294,23
295,0
296,0
297,7
298,11
299,8
300,4
301,0
302,17
303,2
304,2
305,6
306,12
307,2
308,0
309,5
310,5
311,9
312,8
313,1
314,14
315,10
316,0
317,6
318,24
319,7
320,13
321,9
322,5
323,18
324,0
325,11
326,13
327,15
328,9
329,7
330,4
331,13
332,4
333,0
334,18
335,11
336,7
337,4
338,1
339,10
340,14
341,16
342,5
343,18
344,0
345,17
346,0
347,9
348,20
349,19
350,10
351,8
352,0
353,0
354,4
355,2
356,2
357,0
358,13
359,5
360,4
361,16
362,6
363,15
364,1
365,17
366,12
367,24
368,2
369,13
370,0
371,10
372,4
373,14
374,2
375,6
376,1
377,9
378,17
379,11
380,2
381,5
382,13
383,8
384,19
385,0
386,8
387,1
388,16
389,0
390,3
391,15
392,4
393,0
394,11
395,21
396,7
397,18
398,4
399,2
400,2
401,6
402,7
403,3
404,0
405,1
406,5
407,19
408,8
409,0
410,11
411,6
412,0
413,12
414,3
415,5
416,1
417,0
418,6
419,10
420,14
421,0
422,10
423,16
424,3
425,6
426,18
427,0
428,8
429,0
430,10
431,12
432,7
433,1
434,5
435,15
436,0
437,0
438,6
439,3
440,13
441,10
442,24
443,3
444,9
445,19
446,13
447,0
448,6
449,7
450,21
451,0
452,9
453,20
454,7
455,7
456,16
457,0
458,0
459,1
460,9
461,3
462,8
463,6
464,12
465,5
466,4
467,16
468,8
469,10
470,2
471,14
472,17
473,15
474,9
475,18
476,11
477,16
478,1
479,10
480,3
481,13
482,4
483,0
484,8
485,9
486,4
487,11
488,2
489,12
490,8
491,5
492,15
493,18
494,8
495,9
496,21
497,2
498,0
499,8
500,4
501,0
502,5
503,6
504,4
505,2
506,20
507,0
508,9
509,19
510,7
511,11
512,16
513,3
514,5
515,1
516,18
517,22
518,24
519,13
520,10
521,4
522,15
523,7
524,4
525,17
526,9
527,2
528,14
529,10
530,6
531,5
