vertex,label
0,10
1,12
2,14
3,26
4,15
5,25
6,27
7,29
8,17
9,19
10,21
11,23
12,18
13,20
14,22
15,24
16,8
17,16
18,18
19,20
20,25
21,27
22,29
23,31
24,0
25,2
26,4
27,6
28,22
29,34
30,36
31,38
32,26
33,28
34,30
35,32
36,9
37,11
38,13
39,19
40,1
41,3
42,5
43,7
44,0
45,2
46,4
47,6
48,1
49,3
50,5
51,7
52,8
53,10
54,12
55,14
56,6
57,10
58,12
59,14
60,9
61,11
62,13
63,24
64,26
65,28
66,30
67,32
68,16
69,33
70,35
71,37
72,1
73,3
74,5
75,15
76,0
77,2
78,4
79,33
80,25
81,27
82,29
83,31
84,33
85,35
86,37
87,39
88,27
89,29
90,31
91,34
92,7
93,20
94,22
95,41
96,26
97,28
98,30
99,32
100,8
101,10
102,12
103,14
104,9
105,11
106,13
107,15
108,0
109,2
110,4
111,6
112,9
113,11
114,13
115,25
116,7
117,15
118,18
119,20
120,0
121,2
122,4
123,6
124,17
125,19
126,21
127,23
128,26
129,28
130,30
131,32
132,0
133,2
134,4
135,6
136,9
137,11
138,13
139,24
140,16
141,18
142,20
143,22
144,24
145,36
146,38
147,40
148,33
149,35
150,37
151,39
152,17
153,19
154,24
155,36
156,17
157,19
158,21
159,23
160,1
161,3
162,5
163,7
164,8
165,10
166,12
167,14
168,1
169,3
170,5
171,7
172,8
173,10
174,12
175,14
176,16
177,22
178,24
179,26
180,9
181,11
182,13
183,15
184,16
185,20
186,22
187,31
188,27
189,29
190,33
191,35
192,1
193,3
194,5
195,25
196,0
197,2
198,4
199,6
200,26
201,28
202,30
203,32
204,21
205,23
206,34
207,41
208,26
209,28
210,30
211,32
212,7
213,9
214,11
215,13
216,27
217,29
218,31
219,33
220,0
221,2
222,4
223,6
224,9
225,11
226,13
227,15
228,0
229,2
230,4
231,6
232,27
233,29
234,31
235,33
236,1
237,3
238,5
239,7
240,8
241,10
242,12
243,14
244,17
245,19
246,21
247,23
248,28
249,30
250,32
251,34
252,18
253,20
254,22
255,24
256,16
257,29
258,31
259,33
260,8
261,10
262,12
263,14
264,1
265,3
266,5
267,17
268,17
269,28
270,30
271,32
272,1
273,3
274,5
275,7
276,16
277,18
278,20
279,22
280,0
281,2
282,4
283,6
284,15
285,38
286,40
287,42
288,15
289,26
290,37
291,39
292,0
293,2
294,4
295,6
296,19
297,21
298,23
299,25
300,0
301,2
302,4
303,6
304,1
305,3
306,5
307,33
308,8
309,35
310,37
311,41
312,7
313,40
314,47
315,49
316,1
317,3
318,5
319,34
320,10
321,12
322,14
323,25
324,9
325,11
326,13
327,15
328,16
329,26
330,28
331,30
332,26
333,28
334,30
335,32
336,34
337,36
338,38
339,40
340,10
341,12
342,14
343,39
344,19
345,21
346,23
347,25
348,9
349,11
350,13
351,15
352,8
353,41
354,43
355,45
356,42
357,44
358,46
359,48
360,0
361,2
362,4
363,36
364,17
365,19
366,21
367,23
368,16
369,18
370,20
371,22
372,17
373,19
374,21
375,23
376,18
377,20
378,22
379,24
380,17
381,27
382,29
383,31
384,0
385,2
386,4
387,39
388,35
389,37
390,41
391,43
392,42
393,44
394,46
395,48
396,8
397,11
398,13
399,40
400,18
401,20
402,22
403,35
404,7
405,35
406,37
407,40
408,0
409,2
410,4
411,6
412,1
413,3
414,5
415,7
416,9
417,12
418,14
419,43
420,1
421,3
422,5
423,47
424,1
425,3
426,5
427,34
428,25
429,27
430,29
431,31
432,26
433,28
434,30
435,32
436,16
437,19
438,21
439,23
440,28
441,30
442,32
443,34
444,10
445,12
446,28
447,30
448,33
449,36
450,38
451,45
452,0
453,2
454,4
455,6
456,9
457,12
458,14
459,37
460,19
461,31
462,39
463,41
464,26
465,32
466,36
467,38
468,10
469,13
470,34
471,42
472,44
473,46
474,48
475,50
476,10
477,13
478,15
479,45
480,38
481,40
482,42
483,44
484,9
485,11
486,14
487,35
488,17
489,20
490,22
491,24
492,18
493,25
494,27
495,29
496,17
497,20
498,22
499,24
500,16
501,18
502,21
503,23
504,18
505,40
506,42
507,44
508,28
509,34
510,39
511,41
512,1
513,3
514,5
515,38
516,8
517,10
518,13
519,15
520,7
521,12
522,17
523,20
524,16
525,39
526,41
527,43
528,8
529,11
530,14
531,36
532,0
533,2
534,4
535,6
536,19
537,35
538,37
539,39
540,15
541,22
542,24
543,36
544,10
545,12
546,15
547,37
548,19
549,21
550,23
551,26
552,28
553,30
554,32
555,34
556,9
557,11
558,14
559,25
560,20
561,22
562,24
563,36
564,25
565,27
566,29
567,31
568,0
569,2
570,4
571,6
572,1
573,3
574,5
575,7
576,18
577,20
578,22
579,24
580,26
581,29
582,31
583,38
584,9
585,11
586,13
587,35
588,10
589,12
590,33
591,36
592,8
593,17
594,28
595,30
596,32
597,34
598,41
599,43
