vertex,label
0,0
1,9
2,47
3,33
4,4
5,70
6,40
7,63
8,44
9,68
10,21
11,22
12,50
13,17
14,8
15,15
16,25
17,41
18,51
19,13
20,24
21,6
22,18
23,60
24,2
25,37
26,5
27,49
28,64
29,77
30,36
31,64
32,4
33,3
34,65
35,66
36,42
37,67
38,5
39,9
40,0
41,3
42,2
43,9
44,1
45,10
46,8
47,7
48,33
49,2
50,4
51,0
52,6
53,6
54,7
55,74
56,70
57,44
58,67
59,68
60,69
61,71
62,72
63,73
64,15
65,22
66,63
67,30
68,29
69,42
70,3
71,0
72,1
73,24
74,31
75,76
76,76
77,3
78,13
79,61
80,78
81,23
82,0
83,2
84,5
85,64
86,75
87,66
88,20
89,32
90,3
91,40
92,4
93,39
94,34
95,4
96,10
97,17
98,5
99,0
100,13
101,9
102,23
103,4
104,1
105,5
106,8
107,3
108,26
109,1
110,0
111,20
112,9
113,2
114,37
115,6
116,19
117,3
118,7
119,16
120,17
121,44
122,36
123,4
124,27
125,21
126,18
127,11
128,27
129,52
130,53
131,62
132,8
133,8
134,54
135,25
136,25
137,8
138,31
139,11
140,14
141,10
142,5
143,32
144,7
145,3
146,9
147,7
148,11
149,5
150,23
151,8
152,14
153,11
154,35
155,6
156,12
157,5
158,5
159,10
160,3
161,10
162,21
163,5
164,74
165,37
166,38
167,63
168,65
169,66
170,67
171,69
172,70
173,13
174,45
175,8
176,41
177,68
178,4
179,15
180,18
181,24
182,6
183,15
184,18
185,15
186,15
187,15
188,35
189,27
190,21
191,15
192,46
193,46
194,43
195,71
196,72
197,73
198,11
199,9
200,3
201,43
202,11
203,0
204,5
205,12
206,1
207,25
208,15
209,26
210,8
211,24
212,0
213,36
214,0
215,15
216,24
217,18
218,55
219,76
220,73
221,74
222,71
223,72
224,75
225,17
226,66
227,68
228,43
229,44
230,25
231,42
232,69
233,67
234,14
235,16
236,2
237,3
238,23
239,39
240,14
241,55
242,56
243,46
244,57
245,47
246,48
247,49
248,58
249,12
250,18
251,13
252,24
253,45
254,28
255,12
256,18
257,8
258,4
259,10
260,50
261,12
262,7
263,0
264,12
265,0
266,3
267,15
268,19
269,3
270,4
271,13
272,19
273,45
274,6
275,16
276,66
277,67
278,60
279,68
280,20
281,26
282,61
283,63
284,4
285,5
286,27
287,1
288,62
289,70
290,46
291,48
292,49
293,51
294,59
295,19
296,53
297,51
298,52
299,53
300,14
301,54
302,55
303,56
304,57
305,28
306,29
307,30
308,39
309,47
310,48
311,26
312,9
313,0
314,1
315,16
316,41
317,0
318,21
319,6
320,2
321,22
322,19
323,33
324,31
325,32
326,34
327,35
328,49
329,14
330,40
331,44
332,18
333,42
334,7
335,31
336,32
337,19
338,33
339,38
340,34
341,35
342,36
343,37
344,2
345,0
346,3
347,6
348,48
349,1
350,2
351,19
352,2
353,20
354,4
355,1
356,1
357,11
358,10
359,28
360,5
361,6
362,1
