vertex,label
0,0
1,66
2,67
3,68
4,69
5,70
6,71
7,72
8,73
9,74
10,75
11,76
12,77
13,78
14,79
15,80
16,81
17,82
18,83
19,84
20,85
21,86
22,87
23,88
24,89
25,90
26,91
27,92
28,93
29,94
30,95
31,96
32,97
33,98
34,99
35,100
36,101
37,102
38,103
39,104
40,105
41,106
42,107
43,108
44,109
45,110
46,111
47,112
48,113
49,114
50,115
51,116
52,117
53,118
54,119
55,120
56,121
57,122
58,123
59,124
60,125
61,126
62,127
63,128
64,65
65,38
66,40
67,42
68,39
69,41
70,43
71,62
72,44
73,2
74,4
75,6
76,3
77,5
78,7
79,45
80,46
81,8
82,10
83,12
84,9
85,11
86,13
87,47
88,48
89,14
90,16
91,18
92,15
93,17
94,19
95,49
96,50
97,20
98,22
99,24
100,21
101,23
102,25
103,51
104,52
105,26
106,28
107,30
108,27
109,29
110,31
111,53
112,54
113,32
114,34
115,36
116,33
117,35
118,37
119,55
120,63
121,56
122,58
123,60
124,57
125,59
126,61
127,64
128,1
129,7
130,9
131,3
132,5
133,7
134,9
135,11
136,8
137,5
138,1
139,8
140,10
141,1
142,3
143,5
144,10
145,3
146,6
147,2
148,4
149,6
150,8
151,1
152,6
153,1
154,4
155,7
156,1
157,3
158,5
159,9
160,9
161,5
162,2
163,9
164,5
165,7
166,1
167,3
168,7
169,3
170,6
171,1
172,3
173,9
174,4
175,7
176,10
177,1
178,4
179,7
180,10
181,1
182,6
183,2
184,2
185,6
186,8
187,2
188,4
189,7
190,9
191,4
192,10
193,4
194,11
195,7
196,2
197,10
198,12
199,0
200,6
201,0
202,3
203,5
204,0
205,4
206,6
207,2
208,1
209,7
210,9
211,11
212,7
213,2
214,0
215,4
216,3
217,10
218,0
219,3
220,9
221,11
222,7
223,12
224,12
225,8
226,11
227,6
228,0
229,4
230,9
231,5
232,2
233,0
234,9
235,4
236,7
237,2
238,0
239,10
240,8
241,5
242,2
243,0
244,5
245,8
246,3
247,12
248,4
249,9
250,11
251,6
252,9
253,0
254,5
255,7
256,0
257,8
258,13
259,9
260,11
261,5
262,8
263,3
264,9
265,2
266,6
267,1
268,3
269,7
270,1
271,9
272,11
273,4
274,12
275,8
276,5
277,9
278,3
279,7
280,0
281,6
282,2
283,10
284,12
285,0
286,10
287,2
288,5
289,1
290,4
291,13
292,2
293,6
294,12
295,0
296,9
297,7
298,12
299,8
300,10
301,13
302,5
303,3
304,0
305,3
306,6
307,11
308,1
309,4
310,7
311,1
312,7
313,12
314,0
315,3
316,7
317,10
318,2
319,9
320,3
321,10
322,2
323,12
324,14
325,2
326,10
327,1
328,7
329,5
330,0
331,4
332,6
333,0
334,4
335,11
336,13
337,1
338,3
339,13
340,1
341,11
342,6
343,13
344,2
345,8
346,5
347,0
348,3
349,5
350,1
351,8
352,10
353,3
354,7
355,9
356,11
357,8
358,3
359,10
360,12
361,5
362,0
363,2
364,4
365,0
366,9
367,6
368,6
369,1
370,4
371,7
372,9
373,2
374,11
375,8
376,3
377,8
378,2
379,5
380,0
381,6
382,13
383,3
384,12
385,1
386,5
387,0
388,4
389,6
390,12
391,4
392,10
393,3
394,7
395,2
396,8
397,3
398,7
399,2
400,4
401,6
402,9
403,5
404,10
405,13
406,0
407,5
408,7
409,0
410,11
411,7
412,14
413,2
414,4
415,12
416,13
417,9
418,1
419,3
420,0
421,10
422,6
423,2
424,4
425,2
426,6
427,10
428,7
429,3
430,1
431,11
432,10
433,7
434,9
435,0
436,5
437,8
438,4
439,0
440,5
441,0
442,12
443,8
444,2
445,11
446,7
447,10
448,2
449,6
450,8
451,10
452,2
453,8
454,3
455,0
456,8
457,0
458,4
459,6
460,0
461,5
462,1
463,6
464,11
465,2
466,12
467,1
468,3
469,7
470,9
471,3
472,9
473,4
474,6
475,9
476,5
477,0
478,11
479,7
480,1
481,7
482,10
483,12
484,2
485,4
486,8
487,0
488,6
489,0
490,3
491,1
492,9
493,6
494,10
495,3
496,2
497,4
498,11
499,6
500,3
501,0
502,2
503,5
504,9
505,6
506,1
507,4
508,7
509,5
510,12
511,1
512,0
513,3
514,11
515,5
516,9
517,0
518,7
519,5
520,12
521,5
522,1
523,3
524,7
525,2
526,4
527,8
528,3
529,7
530,10
531,8
532,11
533,14
534,6
535,0
536,13
537,1
538,3
539,0
540,13
541,3
542,1
543,4
544,10
545,5
546,8
547,4
548,6
549,9
550,5
551,10
552,3
553,9
554,12
555,7
556,0
557,2
558,7
559,1
560,8
561,1
562,5
563,2
564,8
565,4
566,9
567,11
568,11
569,3
570,7
571,9
572,1
573,10
574,0
575,3
576,4
577,7
578,9
579,12
580,14
581,10
582,2
583,12
584,9
585,2
586,6
587,0
588,4
589,6
590,0
591,10
592,5
593,0
594,4
595,2
596,9
597,1
598,3
599,5
600,8
601,6
602,9
603,5
604,7
605,10
606,8
607,2
608,12
609,2
610,0
611,10
612,1
613,12
614,0
615,6
616,1
617,4
