vertex,label
0,1
1,75
2,76
3,3
4,13
5,45
6,61
7,46
8,74
9,62
10,63
11,64
12,65
13,66
14,67
15,68
16,69
17,47
18,70
19,33
20,58
21,71
22,72
23,11
24,18
25,12
26,16
27,28
28,7
29,19
30,20
31,21
32,58
33,23
34,1
35,59
36,4
37,22
38,26
39,24
40,27
41,29
42,30
43,31
44,25
45,33
46,38
47,16
48,17
49,34
50,35
51,36
52,37
53,18
54,38
55,39
56,40
57,41
58,42
59,43
60,44
61,47
62,48
63,49
64,50
65,51
66,52
67,53
68,54
69,56
70,57
71,3
72,4
73,10
74,33
75,45
76,76
77,5
78,13
79,58
80,14
81,62
82,63
83,64
84,65
85,66
86,67
87,68
88,69
89,70
90,71
91,72
92,73
93,74
94,75
95,11
96,3
97,22
98,15
99,17
100,18
101,20
102,4
103,21
104,13
105,24
106,26
107,25
108,27
109,28
110,29
111,30
112,31
113,32
114,47
115,35
116,62
117,33
118,38
119,12
120,15
121,16
122,18
123,20
124,19
125,22
126,17
127,0
128,9
129,21
130,23
131,24
132,25
133,26
134,27
135,28
136,29
137,30
138,31
139,32
140,37
141,34
142,35
143,7
144,54
145,10
146,11
147,13
148,14
149,20
150,36
151,38
152,2
153,5
154,6
155,18
156,15
157,51
158,16
159,23
160,17
161,19
162,21
163,22
164,24
165,25
166,26
167,29
168,39
169,33
170,40
171,38
172,36
173,42
174,41
175,44
176,49
177,10
178,2
179,14
180,43
181,5
182,53
183,45
184,73
185,55
186,13
187,46
188,47
189,48
190,51
191,50
192,4
193,11
194,17
195,19
196,20
197,21
198,22
199,23
200,24
201,26
202,56
203,6
204,25
205,18
206,27
207,28
208,29
209,30
210,58
211,32
212,61
213,37
214,52
215,54
216,16
217,14
218,43
219,9
220,34
221,36
222,33
223,38
224,39
225,40
226,41
227,44
228,10
229,7
230,45
231,46
232,35
233,12
234,47
235,48
236,55
237,53
238,49
239,50
240,17
241,4
242,2
243,11
244,19
245,13
246,14
247,18
248,20
249,21
250,28
251,22
252,26
253,8
254,2
255,19
256,17
257,22
258,24
259,20
260,21
261,26
262,29
263,15
264,57
265,18
266,27
267,30
268,9
269,14
270,23
271,34
272,36
273,37
274,40
275,39
276,42
277,10
278,8
279,1
280,45
281,49
282,50
283,52
284,48
285,46
286,51
287,55
288,56
289,61
290,60
291,53
292,34
293,35
294,36
295,37
296,38
297,39
298,40
299,41
300,42
301,43
302,44
303,59
304,8
305,48
306,49
307,50
308,51
309,52
310,53
311,54
312,60
313,55
314,56
315,57
316,5
317,77
318,19
319,21
320,22
321,41
322,39
323,23
324,45
325,59
326,20
327,24
328,48
329,6
330,37
331,43
332,38
333,40
334,35
335,34
336,44
337,47
338,36
339,58
340,42
341,9
342,11
343,45
344,12
345,13
346,14
347,19
348,20
349,21
350,22
351,23
352,24
353,15
354,1
355,25
356,46
357,26
358,27
359,28
360,29
361,30
362,31
363,32
364,33
365,8
366,61
367,2
368,10
369,7
370,14
371,11
372,9
373,12
374,15
375,16
376,13
377,17
378,18
379,3
380,0
