vertex,label
0,1
1,10
2,7
3,11
4,8
5,5
6,11
7,2
8,9
9,7
10,10
11,4
12,11
13,3
14,8
15,6
16,0
17,5
18,10
19,3
20,1
21,4
22,8
23,11
24,7
25,4
26,6
27,10
28,7
29,7
30,0
31,2
32,9
33,0
34,2
35,9
36,0
37,6
38,3
39,5
40,1
41,9
42,0
43,2
44,9
45,11
46,2
47,0
48,11
49,9
50,0
51,10
52,5
53,0
54,2
55,11
56,4
57,9
58,9
59,6
60,8
61,1
62,6
63,4
64,1
65,10
66,8
67,0
68,2
69,11
70,3
71,8
72,10
73,0
74,5
75,7
76,9
77,5
78,3
79,11
80,6
81,8
82,3
83,6
84,9
85,0
86,2
87,11
88,2
89,5
90,11
91,9
92,0
93,5
94,7
95,11
96,4
97,10
98,0
99,7
100,11
101,6
102,4
103,1
104,3
105,6
106,10
107,1
108,5
109,9
110,0
111,7
112,11
113,5
114,3
115,6
116,8
117,0
118,10
119,3
120,1
121,10
122,8
123,1
124,9
125,6
126,1
127,5
128,9
129,1
130,3
131,7
132,11
133,5
134,1
135,4
136,6
137,10
138,7
139,5
140,9
141,4
142,2
143,9
144,1
145,6
146,11
147,4
148,8
149,11
150,2
151,6
152,10
153,0
154,8
155,3
156,7
157,11
158,6
159,8
160,0
161,9
162,7
163,3
164,9
165,0
166,8
167,4
168,11
169,0
170,10
171,6
172,11
173,8
174,4
175,2
176,0
177,10
178,3
179,7
180,11
181,3
182,7
183,1
184,11
185,2
186,4
187,9
188,1
189,10
190,2
191,4
192,8
193,2
194,7
195,11
196,6
197,8
198,3
199,7
200,0
201,3
202,10
203,1
204,9
205,11
206,2
207,0
208,9
209,1
210,5
211,9
212,4
213,0
214,10
215,6
216,0
217,3
218,5
219,8
220,6
221,10
222,0
223,3
224,1
225,9
226,5
227,1
228,11
229,5
230,9
231,2
232,7
233,0
234,6
235,9
236,7
237,4
238,10
239,7
240,11
241,8
242,3
243,1
244,8
245,4
246,9
247,2
248,11
249,1
250,7
251,11
252,6
253,4
254,7
255,0
256,10
257,4
258,2
259,11
260,0
261,11
262,8
263,10
264,0
265,11
266,2
267,5
268,0
269,3
270,5
271,9
272,11
273,5
274,1
275,7
276,10
277,0
278,5
279,2
280,8
281,10
282,2
283,11
284,8
285,2
286,6
287,8
288,1
289,6
290,5
291,3
292,1
293,5
294,9
295,6
296,11
297,4
298,6
299,0
300,4
301,2
302,7
303,11
304,5
305,1
306,6
307,8
308,0
309,5
310,7
311,0
312,9
313,1
314,4
315,9
316,11
317,7
318,10
319,0
320,11
321,4
322,7
323,3
324,0
325,2
326,9
327,1
328,10
329,7
330,9
331,4
332,0
333,10
334,4
335,11
336,1
337,9
338,11
339,1
340,3
341,7
342,11
343,0
344,7
345,3
346,0
347,4
348,7
349,9
350,6
351,11
352,8
353,4
354,10
355,7
356,11
357,2
358,5
359,11
360,8
361,6
362,3
363,0
364,8
365,3
366,7
367,4
368,9
369,11
370,5
371,3
372,6
373,2
374,10
375,8
376,11
377,5
378,2
379,0
380,9
381,5
382,1
383,6
384,0
385,3
386,7
387,9
388,1
389,10
390,4
391,1
392,5
393,10
394,6
395,0
396,2
397,5
398,7
399,0
400,8
401,1
402,9
403,4
404,1
405,7
406,10
407,6
408,11
409,7
410,10
411,8
412,3
413,10
414,8
415,0
416,2
417,8
418,0
419,9
420,11
421,8
422,0
423,2
424,10
425,8
426,0
427,2
428,11
429,6
430,10
431,7
432,0
433,11
434,2
435,3
436,8
437,2
438,4
439,1
440,11
441,0
442,2
443,11
444,4
445,6
446,3
447,5
448,7
449,0
450,6
451,11
452,9
453,5
454,1
455,10
456,6
457,4
458,1
459,8
460,11
461,3
462,9
463,0
464,1
465,10
466,0
467,11
468,9
469,2
470,4
471,9
472,5
473,7
474,0
475,10
476,8
477,11
478,3
479,10
480,8
481,6
482,11
483,3
484,8
485,11
486,2
487,9
488,0
489,2
490,5
491,7
492,10
493,6
494,2
495,9
496,1
497,5
498,0
499,11
500,3
501,0
502,2
503,11
504,5
505,0
506,2
507,5
508,7
509,3
510,1
511,7
512,9
513,6
514,4
515,0
516,5
517,10
518,4
519,11
520,0
521,8
522,9
523,7
524,11
525,4
526,7
527,10
528,5
529,1
530,9
531,4
532,8
533,2
534,4
535,10
536,0
537,9
538,6
539,8
540,0
541,11
542,3
543,1
544,10
545,8
546,6
547,1
548,9
549,2
550,11
551,11
552,5
553,8
554,0
555,9
556,1
557,7
558,10
559,6
560,1
561,10
562,0
563,6
564,8
565,3
566,5
567,11
568,2
569,10
570,5
571,8
572,11
573,2
574,4
575,9
576,11
577,0
578,10
579,7
580,8
581,1
582,10
583,6
584,4
585,11
586,3
587,8
588,0
589,9
590,2
591,8
592,11
593,5
594,1
595,10
596,0
597,4
598,7
599,9
600,0
601,5
602,8
603,1
604,5
605,8
606,2
607,4
608,9
609,10
610,3
611,7
612,1
613,10
614,6
615,0
616,2
617,7
618,5
619,11
620,6
621,1
622,7
623,4
624,2
625,8
626,6
627,1
628,4
629,6
630,9
631,11
632,6
633,2
634,4
635,11
636,6
637,0
638,4
639,0
640,9
641,4
642,2
643,9
644,7
645,10
646,4
647,2
648,8
649,0
650,3
651,11
652,9
653,0
654,11
655,9
656,3
657,7
658,10
659,2
660,5
661,0
662,9
663,1
664,3
665,8
666,10
667,1
668,11
669,5
670,7
671,11
672,4
673,2
674,8
675,1
676,7
677,4
678,10
679,8
680,2
681,7
682,10
683,1
684,4
685,6
686,9
687,0
688,4
689,1
690,7
691,11
692,5
693,0
694,11
695,1
696,9
697,4
698,0
699,2
700,5
701,0
702,6
703,3
704,5
705,11
706,9
707,1
708,11
709,0
710,4
711,6
712,8
713,0
714,2
715,11
716,8
717,6
718,3
719,9
720,0
721,10
722,7
723,9
724,3
725,11
726,6
727,3
728,8
729,1
730,9
731,4
732,10
733,0
734,4
735,7
736,3
737,6
738,8
739,11
740,9
741,3
742,5
743,10
744,1
745,5
746,2
747,10
748,6
749,2
750,8
751,11
752,1
753,8
754,8
755,0
756,9
757,11
758,4
759,2
760,11
761,1
762,3
763,9
764,11
765,5
766,0
767,10
768,1
769,5
770,7
771,9
772,0
773,3
774,11
775,4
776,7
777,11
778,9
779,3
780,0
781,10
782,6
783,10
784,2
785,7
786,1
787,8
788,10
789,0
790,9
791,11
792,2
793,0
794,9
795,7
796,2
797,9
798,0
799,10
800,4
801,2
802,5
803,8
804,0
805,9
806,2
807,0
808,5
809,9
810,7
811,3
812,1
813,11
814,0
815,10
816,6
817,3
818,5
819,2
820,8
821,10
822,4
823,11
824,3
825,0
826,11
827,2
828,8
829,11
830,6
831,10
832,2
833,11
834,1
835,7
836,11
837,8
838,6
839,2
840,0
