vertex,label
0,0
1,14
2,18
3,17
4,0
5,0
6,0
7,0
8,0
9,6
10,10
11,5
12,0
13,16
14,16
15,9
16,0
17,43
18,52
19,0
20,4
21,8
22,3
23,0
24,2
25,4
26,11
27,0
28,8
29,6
30,1
31,0
32,25
33,24
34,39
35,0
36,45
37,44
38,41
39,0
40,21
41,26
42,18
43,0
44,28
45,20
46,1
47,0
48,34
49,36
50,31
51,0
52,3
53,0
54,0
55,28
56,33
57,28
58,0
59,0
60,0
61,6
62,0
63,0
64,0
65,0
66,12
67,2
68,0
69,0
70,16
71,11
72,2
73,0
74,22
75,29
76,21
77,0
78,1
79,1
80,0
81,0
82,35
83,31
84,30
85,0
86,0
87,5
88,5
89,0
90,0
91,2
92,6
93,0
94,6
95,4
96,1
97,0
98,4
99,4
100,0
101,0
102,0
103,19
104,12
105,0
106,11
107,13
108,6
109,0
110,1
111,1
112,21
113,0
114,0
115,20
116,0
117,2
118,2
119,2
120,0
121,29
122,7
123,5
124,0
125,15
126,9
127,7
128,0
129,0
130,0
131,0
132,0
133,22
134,19
135,19
136,0
137,12
138,14
139,11
140,0
141,8
142,16
143,9
144,0
145,0
146,0
147,0
148,10
149,0
150,0
151,0
152,3
153,4
154,4
155,0
156,21
157,18
158,15
159,0
160,8
161,6
162,9
163,0
164,0
165,0
166,0
167,0
168,2
169,9
170,9
171,0
172,3
173,51
174,2
175,0
176,4
177,0
178,0
179,12
180,45
181,0
182,0
183,6
184,3
185,0
186,17
187,1
188,1
189,0
190,1
191,11
192,0
193,39
194,7
195,11
196,0
197,2
198,2
199,5
200,0
201,9
202,46
203,3
204,0
205,7
206,9
207,13
208,0
209,43
210,50
211,29
212,0
213,8
214,16
215,7
216,0
217,41
218,44
219,42
220,0
221,3
222,3
223,0
224,7
225,2
226,0
227,0
228,8
229,5
230,9
231,0
232,21
233,41
234,27
235,0
236,28
237,15
238,0
239,34
240,35
241,32
242,0
243,3
244,18
245,11
246,0
247,18
248,12
249,8
250,0
251,1
252,3
253,5
254,0
255,5
256,16
257,17
258,0
259,45
260,47
261,41
262,0
263,7
264,0
265,0
266,2
267,2
268,3
269,0
270,14
271,6
272,5
273,0
274,41
275,44
276,0
277,0
278,0
279,0
280,0
281,6
282,16
283,0
284,4
285,1
286,5
287,0
288,7
289,7
290,11
291,0
292,9
293,5
294,17
295,0
296,1
297,5
298,11
299,0
300,0
301,19
302,0
303,47
304,47
305,19
306,0
307,13
308,29
309,34
310,0
