vertex,label
0,280
1,478
2,395
3,511
4,4
5,56
6,28
7,63
8,434
9,485
10,295
11,477
12,368
13,137
14,458
15,479
16,33
17,492
18,219
19,160
20,101
21,320
22,247
23,394
24,416
25,67
26,222
27,44
28,148
29,538
30,370
31,513
32,73
33,309
34,223
35,225
36,196
37,58
38,418
39,325
40,103
41,372
42,282
43,244
44,17
45,181
46,265
47,328
48,122
49,60
50,246
51,24
52,45
53,526
54,105
55,107
56,523
57,100
58,540
59,330
60,75
61,231
62,499
63,519
64,501
65,134
66,76
67,327
68,374
69,139
70,306
71,451
72,109
73,308
74,248
75,49
76,480
77,198
78,69
79,494
80,250
81,77
82,74
83,162
84,96
85,329
86,12
87,310
88,517
89,331
90,59
91,79
92,406
93,57
94,396
95,251
96,0
97,200
98,510
99,111
100,21
101,450
102,113
103,528
104,361
105,453
106,179
107,14
108,375
109,2
110,202
111,164
112,81
113,252
114,141
115,226
116,365
117,26
118,46
119,157
120,412
121,195
122,166
123,94
124,284
125,399
126,333
127,335
128,385
129,420
130,436
131,36
132,62
133,254
134,455
135,496
136,16
137,337
138,38
139,339
140,47
141,106
142,143
143,419
144,115
145,245
146,18
147,145
148,286
149,233
150,288
151,376
152,340
153,289
154,342
155,117
156,102
157,378
158,83
159,435
160,438
161,341
162,228
163,85
164,253
165,61
166,204
167,168
168,312
169,136
170,161
171,344
172,256
173,346
174,536
175,380
176,147
177,87
178,290
179,189
180,230
181,108
182,292
183,421
184,428
185,27
186,3
187,348
188,350
189,440
190,457
191,170
192,146
193,6
194,64
195,88
196,163
197,229
198,423
199,461
200,422
201,187
202,132
203,48
204,50
205,291
206,206
207,203
208,172
209,174
210,5
211,398
212,193
213,15
214,349
215,314
216,130
217,299
218,183
219,353
220,242
221,65
222,171
223,7
224,301
225,261
226,514
227,352
228,86
229,232
230,249
231,481
232,142
233,279
234,445
235,258
236,441
237,483
238,273
239,260
240,503
241,294
242,397
243,110
244,234
245,221
246,176
247,311
248,119
249,425
250,211
251,442
252,267
253,426
254,199
255,367
256,262
257,383
258,351
259,20
260,140
261,208
262,264
263,126
264,210
265,149
266,178
267,29
268,505
269,433
270,197
271,507
272,296
273,215
274,545
275,266
276,336
277,400
278,530
279,66
280,236
281,51
282,98
283,354
284,35
285,120
286,444
287,53
288,430
289,151
290,281
291,402
292,212
293,271
294,68
295,167
296,31
297,508
298,356
299,207
300,389
301,25
302,404
303,23
304,214
305,152
306,37
307,358
308,324
309,52
310,405
311,316
312,377
313,470
314,498
315,121
316,446
317,268
318,217
319,11
320,382
321,180
322,407
323,298
324,216
325,118
326,155
327,318
328,459
329,462
330,13
331,138
332,123
333,182
334,125
335,300
336,408
337,447
338,154
339,184
340,373
341,90
342,270
343,237
344,1
345,449
346,363
347,497
348,489
349,384
350,409
351,371
352,201
353,191
354,334
355,465
356,238
357,467
358,255
359,205
360,464
361,532
362,213
363,293
364,104
365,502
366,359
367,386
368,466
369,411
370,218
371,509
372,144
373,30
374,165
375,127
376,22
377,153
378,468
379,448
380,89
381,112
382,129
383,338
384,173
385,19
386,114
387,390
388,259
389,277
390,124
391,487
392,469
393,443
394,80
395,307
396,322
397,186
398,413
399,169
400,41
401,542
402,131
403,91
404,70
405,388
406,133
407,257
408,410
409,39
410,135
411,543
412,159
413,471
414,188
415,227
416,534
417,263
418,360
419,220
420,427
421,362
422,9
423,156
424,177
425,429
426,32
427,272
428,240
429,355
430,239
431,393
432,40
433,403
434,476
435,364
436,315
437,302
438,150
439,347
440,190
441,72
442,34
443,192
444,235
445,78
446,439
447,93
448,500
449,313
450,42
451,319
452,209
453,473
454,95
455,366
456,241
457,326
458,431
459,345
460,54
461,415
462,275
463,285
464,432
465,392
466,97
467,243
468,482
469,321
470,490
471,317
472,369
473,269
474,304
475,475
476,323
477,99
478,506
479,274
480,276
481,524
482,185
483,194
484,515
485,128
486,414
487,158
488,92
489,8
490,84
491,224
492,10
493,278
494,379
495,305
496,401
497,454
498,71
499,521
