vertex,label
0,256
1,360
2,166
3,706
4,468
5,48
6,207
7,390
8,604
9,391
10,745
11,39
12,224
13,3
14,243
15,349
16,793
17,470
18,245
19,711
20,113
21,154
22,368
23,115
24,233
25,661
26,221
27,258
28,772
29,752
30,223
31,626
32,718
33,689
34,65
35,263
36,559
37,472
38,141
39,529
40,367
41,734
42,510
43,801
44,747
45,297
46,156
47,579
48,407
49,715
50,194
51,70
52,632
53,553
54,674
55,434
56,401
57,292
58,294
59,717
60,795
61,183
62,511
63,87
64,412
65,311
66,578
67,565
68,691
69,369
70,305
71,458
72,539
73,580
74,215
75,218
76,247
77,599
78,249
79,312
80,571
81,185
82,789
83,634
84,482
85,436
86,164
87,265
88,197
89,635
90,248
91,41
92,174
93,540
94,784
95,371
96,410
97,613
98,133
99,116
100,392
101,74
102,676
103,719
104,75
105,678
106,182
107,135
108,582
109,285
110,266
111,142
112,437
113,89
114,370
115,393
116,158
117,200
118,761
119,474
120,728
121,77
122,93
123,382
124,558
125,764
126,509
127,140
128,36
129,71
130,199
131,187
132,287
133,313
134,315
135,531
136,512
137,332
138,450
139,452
140,505
141,273
142,735
143,514
144,317
145,560
146,435
147,475
148,117
149,671
150,637
151,737
152,176
153,754
154,663
155,394
156,562
157,309
158,177
159,614
160,196
161,268
162,222
163,730
164,109
165,701
166,9
167,189
168,244
169,771
170,387
171,20
172,296
173,159
174,516
175,469
176,787
177,703
178,776
179,42
180,318
181,774
182,471
183,396
184,646
185,68
186,631
187,477
188,756
189,721
190,567
191,433
192,61
193,517
194,169
195,680
196,201
197,577
198,298
199,373
200,293
201,78
202,693
203,366
204,83
205,584
206,519
207,328
208,705
209,251
210,473
211,649
212,375
213,119
214,43
215,668
216,339
217,264
218,79
219,688
220,521
221,542
222,702
223,225
224,765
225,439
226,460
227,299
228,398
229,797
230,479
231,673
232,481
233,295
234,320
235,227
236,4
237,50
238,184
239,80
240,731
241,483
242,5
243,484
244,58
245,8
246,583
247,700
248,758
249,459
250,377
