vertex,label
0,251
1,0
2,2
3,252
4,0
5,125
6,127
7,1
8,253
9,4
10,6
11,254
12,3
13,129
14,131
15,3
16,255
17,8
18,10
19,256
20,5
21,133
22,135
23,5
24,257
25,12
26,14
27,258
28,7
29,137
30,139
31,7
32,259
33,16
34,18
35,260
36,9
37,141
38,143
39,9
40,261
41,20
42,22
43,262
44,11
45,145
46,147
47,11
48,263
49,24
50,26
51,264
52,13
53,149
54,151
55,13
56,265
57,28
58,30
59,266
60,15
61,153
62,155
63,15
64,267
65,32
66,34
67,268
68,17
69,157
70,159
71,17
72,269
73,36
74,38
75,270
76,19
77,161
78,163
79,19
80,271
81,40
82,42
83,272
84,21
85,165
86,167
87,21
88,273
89,44
90,46
91,274
92,23
93,169
94,171
95,23
96,275
97,48
98,50
99,276
100,25
101,173
102,175
103,25
104,277
105,52
106,54
107,278
108,27
109,177
110,179
111,27
112,279
113,56
114,58
115,280
116,29
117,181
118,183
119,29
120,281
121,60
122,62
123,282
124,31
125,185
126,187
127,31
128,283
129,64
130,66
131,284
132,33
133,189
134,191
135,33
136,285
137,68
138,70
139,286
140,35
141,193
142,195
143,35
144,287
145,72
146,74
147,288
148,37
149,197
150,199
151,37
152,289
153,76
154,78
155,290
156,39
157,201
158,203
159,39
160,291
161,80
162,82
163,292
164,41
165,205
166,207
167,41
168,293
169,84
170,86
171,294
172,43
173,209
174,211
175,43
176,295
177,88
178,90
179,296
180,45
181,213
182,215
183,45
184,297
185,92
186,94
187,298
188,47
189,217
190,219
191,47
192,299
193,96
194,98
195,300
196,49
197,221
198,223
199,49
200,301
201,100
202,102
203,302
204,51
205,225
206,227
207,51
208,303
209,104
210,106
211,304
212,53
213,229
214,231
215,53
216,305
217,108
218,110
219,306
220,55
221,233
222,235
223,55
224,307
225,112
226,114
227,308
228,57
229,237
230,239
231,57
232,309
233,116
234,118
235,310
236,59
237,241
238,243
239,59
240,311
241,120
242,122
243,312
244,61
245,245
246,247
247,61
248,313
249,124
250,126
251,314
252,63
253,249
254,252
255,63
256,315
257,128
258,130
259,316
260,65
261,255
262,258
263,65
264,317
265,132
266,134
267,318
268,67
269,261
270,264
271,67
272,319
273,136
274,138
275,320
276,69
277,267
278,270
279,69
280,321
281,140
282,142
283,322
284,71
285,273
286,276
287,71
288,323
289,144
290,146
291,324
292,73
293,279
294,282
295,73
296,325
297,148
298,150
299,326
300,75
301,285
302,288
303,75
304,327
305,152
306,154
307,328
308,77
309,291
310,294
311,77
312,329
313,156
314,158
315,330
316,79
317,297
318,300
319,79
320,331
321,160
322,162
323,332
324,81
325,303
326,306
327,81
328,333
329,164
330,166
331,334
332,83
333,309
334,312
335,83
336,335
337,168
338,170
339,336
340,85
341,315
342,318
343,85
344,337
345,172
346,174
347,338
348,87
349,321
350,324
351,87
352,339
353,176
354,178
355,340
356,89
357,327
358,330
359,89
360,341
361,180
362,182
363,342
364,91
365,333
366,336
367,91
368,343
369,184
370,186
371,344
372,93
373,339
374,342
375,93
376,345
377,188
378,190
379,346
380,95
381,345
382,348
383,95
384,347
385,192
386,194
387,348
388,97
389,351
390,354
391,97
392,349
393,196
394,198
395,350
396,99
397,357
398,360
399,99
400,351
401,200
402,202
403,352
404,101
405,363
406,366
407,101
408,353
409,204
410,206
411,354
412,103
413,369
414,372
415,103
416,355
417,208
418,210
419,356
420,105
421,375
422,377
423,105
424,357
425,212
426,214
427,358
428,107
429,379
430,381
431,107
432,359
433,216
434,218
435,360
436,109
437,383
438,385
439,109
440,361
441,220
442,222
443,362
444,111
445,387
446,389
447,111
448,363
449,224
450,226
451,364
452,113
453,391
454,393
455,113
456,365
457,228
458,230
459,366
460,115
461,395
462,397
463,115
464,367
465,232
466,234
467,368
468,117
469,399
470,401
471,117
472,369
473,236
474,238
475,370
476,119
477,403
478,405
479,119
480,371
481,240
482,242
483,372
484,121
485,407
486,409
487,121
488,373
489,244
490,246
491,374
492,123
493,411
494,413
495,123
496,375
497,248
498,250
499,376
