vertex,label
0,38
1,66
2,77
3,225
4,191
5,101
6,237
7,179
8,128
9,82
10,206
11,79
12,28
13,81
14,159
15,74
16,209
17,83
18,130
19,236
20,20
21,211
22,203
23,247
24,113
25,250
26,85
27,103
28,161
29,180
30,132
31,102
32,127
33,76
34,72
35,163
36,213
37,31
38,55
39,226
40,238
41,240
42,59
43,215
44,22
45,165
46,217
47,146
48,142
49,9
50,87
51,57
52,255
53,199
54,89
55,104
56,193
57,12
58,106
59,108
60,134
61,219
62,1
63,243
64,110
65,201
66,136
67,100
68,182
69,61
70,117
71,196
72,34
73,63
74,198
75,245
76,65
77,178
78,11
79,227
80,200
81,90
82,91
83,93
84,139
85,125
86,167
87,256
88,0
89,169
90,111
91,30
92,40
93,84
94,171
95,202
96,138
97,181
98,119
99,67
100,42
101,131
102,3
103,45
104,16
105,32
106,123
107,41
108,69
109,5
110,184
111,135
112,186
113,44
114,229
115,188
116,230
117,112
118,121
119,46
120,18
121,114
122,116
123,197
124,254
125,158
126,173
127,246
128,140
129,251
130,208
131,175
132,14
133,220
134,183
135,118
136,48
137,177
138,187
139,80
140,71
141,105
142,54
143,253
144,24
145,248
146,144
147,241
148,141
149,39
150,78
151,36
152,218
153,143
154,223
155,50
156,49
157,88
158,26
159,52
160,234
161,231
162,148
163,120
164,98
165,150
166,242
167,222
168,7
169,95
170,164
171,27
172,122
173,152
174,94
175,154
176,15
177,53
178,149
179,68
180,73
181,62
182,124
183,195
184,214
185,190
186,75
187,109
188,205
189,97
190,192
191,194
192,156
193,115
194,126
195,233
196,157
197,99
198,224
199,235
