vertex,label
0,0
1,1
2,3
3,2
4,5
5,6
6,4
7,7
8,9
9,10
10,12
11,11
12,14
13,15
14,13
15,16
16,18
17,19
18,21
19,20
20,23
21,24
22,22
23,25
24,27
25,28
26,30
27,29
28,32
29,33
30,31
31,34
32,36
33,37
34,39
35,38
36,41
37,42
38,40
39,43
40,45
41,46
42,48
43,47
44,50
45,51
46,49
47,52
48,54
49,55
50,57
51,56
52,59
53,60
54,58
55,61
56,63
57,64
58,66
59,65
60,68
61,69
62,67
63,70
64,72
65,73
66,75
67,74
68,77
69,78
70,76
71,79
72,81
73,82
74,84
75,83
76,86
77,87
78,85
79,88
80,90
81,91
82,93
83,92
84,95
85,96
86,94
87,97
88,99
89,100
90,102
91,101
92,104
93,105
94,103
95,106
96,108
97,109
98,111
99,110
100,113
101,114
102,112
103,115
104,117
105,118
106,120
107,119
108,122
109,123
110,121
111,124
112,126
113,127
114,129
115,128
116,131
117,132
118,130
119,133
120,135
121,136
122,138
123,137
124,140
125,141
126,139
127,142
128,144
129,145
130,147
131,146
132,149
133,150
134,148
135,151
136,153
137,154
138,156
139,155
140,158
141,159
142,157
143,160
144,162
145,163
146,165
147,164
148,167
149,168
150,166
151,169
152,171
153,172
154,174
155,173
156,176
157,177
158,175
159,178
160,180
161,181
162,183
163,182
164,185
165,186
166,184
167,187
168,189
169,190
170,192
171,191
172,194
173,195
174,193
175,196
176,198
177,199
178,201
179,200
180,203
181,204
182,202
183,205
184,207
185,208
186,210
187,209
188,212
189,213
190,211
191,214
192,216
193,217
194,219
195,218
196,221
197,222
198,220
199,223
200,225
201,226
202,228
203,227
204,230
205,231
206,229
207,232
208,234
209,235
210,237
211,236
212,239
213,240
214,238
215,241
216,243
217,244
218,246
219,245
220,248
221,249
222,247
223,250
224,252
225,253
226,255
227,254
228,257
229,258
230,256
231,259
232,261
233,262
234,264
235,263
236,266
237,267
238,265
239,268
240,270
241,271
242,273
243,272
244,275
245,276
246,274
247,277
248,279
249,280
250,282
251,281
252,284
253,285
254,283
255,286
