vertex,label
0,0
1,1
2,2
3,3
4,4
5,5
6,40
7,7
8,41
9,84
10,42
11,43
12,9
13,10
14,11
15,8
16,6
17,85
18,14
19,13
20,83
21,86
22,87
23,12
24,16
25,88
26,44
27,15
28,46
29,17
30,47
31,89
32,45
33,48
34,19
35,50
36,21
37,49
38,90
39,51
40,52
41,53
42,91
43,55
44,95
45,141
46,120
47,121
48,23
49,57
50,92
51,58
52,56
53,93
54,142
55,102
56,94
57,143
58,144
59,145
60,59
61,104
62,146
63,109
64,61
65,123
66,63
67,124
68,147
69,125
70,122
71,25
72,26
73,27
74,28
75,20
76,96
77,35
78,29
79,97
80,98
81,99
82,30
83,54
84,100
85,62
86,24
87,33
88,101
89,65
90,22
91,74
92,149
93,115
94,103
95,150
96,151
97,152
98,37
99,117
100,153
101,119
102,32
103,79
104,105
105,106
106,64
107,148
108,155
109,156
110,108
111,140
112,127
113,154
114,107
115,158
116,159
117,157
118,31
119,60
120,110
121,66
122,67
123,81
124,161
125,111
126,112
127,160
128,162
129,163
130,68
131,113
132,164
133,126
134,34
135,70
136,36
137,69
138,114
139,71
140,72
141,73
142,128
143,75
144,129
145,166
146,130
147,131
148,38
149,39
150,116
151,77
152,76
153,133
154,167
155,134
156,118
157,165
158,168
159,169
160,78
161,132
162,170
163,135
164,80
165,137
166,82
167,138
168,171
169,136
170,139
