vertex,label
0,68
1,515
2,1291
3,879
4,250
5,204
6,1328
7,693
8,811
9,666
10,112
11,719
12,157
13,1037
14,1211
15,887
16,1137
17,1424
18,1333
19,570
20,1014
21,1419
22,824
23,1420
24,1217
25,32
26,847
27,958
28,1204
29,481
30,121
31,1343
32,825
33,1411
34,727
35,1119
36,176
37,609
38,381
39,812
40,982
41,406
42,122
43,1311
44,6
45,1294
46,756
47,1148
48,1346
49,654
50,268
51,795
52,444
53,1247
54,650
55,344
56,1248
57,1465
58,1315
59,878
60,316
61,1434
62,821
63,1117
64,1374
65,1466
66,628
67,2
68,517
69,1150
70,858
71,14
72,37
73,997
74,1347
75,22
76,789
77,384
78,1362
79,615
80,1159
81,231
82,1425
83,286
84,1363
85,558
86,311
87,1081
88,633
89,219
90,645
91,787
92,89
93,1264
94,428
95,1402
96,1062
97,1070
98,1370
99,105
100,648
101,869
102,209
103,689
104,299
105,1416
106,790
107,1249
108,572
109,493
110,273
111,23
112,686
113,255
114,224
115,458
116,746
117,542
118,1408
119,1274
120,930
121,447
122,715
123,891
124,226
125,973
126,785
127,1245
128,546
129,614
130,5
131,1046
132,101
133,49
134,352
135,307
136,180
137,952
138,119
139,621
140,1468
141,354
142,783
143,616
144,488
145,938
146,941
147,1312
148,148
149,1086
150,1021
151,963
152,1438
153,275
154,522
155,123
156,1138
157,1250
158,1388
159,196
160,617
161,1421
162,1302
163,853
164,83
165,166
166,1125
167,383
168,1115
169,1169
170,1055
171,1025
172,26
173,356
174,173
175,611
176,1232
177,1143
178,347
179,1426
180,721
181,1295
182,1063
183,744
184,1496
185,60
186,699
187,1236
188,1390
189,680
190,1303
191,596
192,702
193,1140
194,1358
195,848
196,1329
197,859
198,1019
199,974
200,474
201,489
202,634
203,630
204,718
205,780
206,1091
207,608
208,437
209,1359
210,579
211,1161
212,1146
213,80
214,328
215,1132
216,198
217,1040
218,813
219,1412
220,162
221,737
222,531
223,803
224,361
225,348
226,1467
227,315
228,1205
229,992
230,1296
231,351
232,139
233,368
234,897
235,893
236,1047
237,487
238,1338
239,150
240,339
241,410
242,1251
243,1473
244,289
245,184
246,1151
247,491
248,1082
249,613
250,598
251,1177
252,1099
253,933
254,486
255,154
256,1193
257,519
258,322
259,1041
260,64
261,309
262,1206
263,63
264,720
265,623
266,932
267,186
268,918
269,854
270,340
271,1389
272,1179
273,100
274,1252
275,174
276,116
