vertex,label
0,91
1,206
2,985
3,23
4,801
5,880
6,448
7,12
8,628
9,531
10,442
11,234
12,843
13,238
14,664
15,72
16,2
17,830
18,109
19,666
20,75
21,55
22,115
23,131
24,220
25,716
26,173
27,100
28,536
29,767
30,36
31,355
32,594
33,501
34,538
35,711
36,717
37,668
38,162
39,719
40,1003
41,569
42,629
43,661
44,1001
45,43
46,540
47,669
48,25
49,859
50,447
51,709
52,901
53,38
54,665
55,503
56,571
57,924
58,770
59,670
60,222
61,82
62,721
63,224
64,723
65,902
66,480
67,950
68,444
69,240
70,119
71,93
72,485
73,139
74,101
75,803
76,489
77,449
78,496
79,122
80,141
81,861
82,264
83,491
84,493
85,725
86,598
87,333
88,26
89,505
90,164
91,845
92,799
93,904
94,212
95,188
96,671
97,498
98,284
99,596
100,190
101,727
102,309
103,955
104,77
105,286
106,14
107,600
108,124
109,246
110,384
111,533
112,311
113,673
114,667
115,386
116,266
117,988
118,357
119,57
120,451
121,832
122,535
123,537
124,500
125,453
126,973
127,30
128,741
129,769
130,102
131,975
132,192
133,226
134,672
135,993
136,104
137,145
138,103
139,776
140,455
141,29
142,117
143,31
144,335
145,977
146,674
147,631
148,771
149,359
150,457
151,502
152,805
153,847
154,676
155,512
156,773
157,807
158,227
159,729
160,398
161,81
162,682
163,806
164,0
165,199
166,282
167,573
168,575
169,912
170,903
171,121
172,450
173,675
174,772
175,809
176,339
177,143
178,802
179,504
180,446
181,604
182,784
183,678
184,539
185,633
186,452
187,47
188,882
189,391
190,28
191,208
192,147
193,126
194,393
195,982
196,541
197,506
198,229
199,313
200,927
201,928
202,337
203,602
204,37
205,268
206,361
207,269
208,395
209,399
210,166
211,56
212,168
213,730
214,315
215,317
216,459
217,869
218,454
219,732
220,6
221,914
222,774
223,577
224,401
225,461
226,194
227,319
228,58
229,542
230,18
231,196
232,811
233,635
234,905
235,9
236,578
237,242
238,834
239,930
240,344
241,271
242,128
243,545
244,849
245,548
246,456
247,813
248,957
249,288
250,130
251,1005
252,507
253,175
254,991
255,321
256,684
257,509
258,907
259,677
260,679
261,775
262,952
263,132
264,363
265,865
266,543
267,134
268,354
269,580
270,346
271,734
272,8
273,400
274,3
275,397
276,804
277,777
278,364
279,60
280,851
281,248
282,582
283,64
284,106
285,713
286,965
287,108
288,853
289,607
290,584
291,586
292,83
293,855
294,588
295,992
296,292
297,550
298,402
299,590
300,155
301,170
302,544
303,546
304,110
305,250
306,231
307,959
308,233
309,883
310,637
311,591
312,235
313,172
314,815
315,294
316,593
317,366
318,932
319,836
320,817
321,215
322,237
323,867
324,945
325,323
326,736
327,325
328,547
329,403
330,680
331,819
332,327
333,177
334,821
335,909
336,179
337,552
338,462
339,350
340,15
341,40
342,595
343,45
344,151
345,956
346,871
347,112
348,348
349,458
350,290
351,356
352,597
353,823
354,198
355,85
356,984
357,810
358,136
359,967
360,352
361,97
362,114
363,681
364,87
365,511
366,48
367,464
368,599
369,273
370,368
371,737
372,84
373,557
374,715
375,275
376,808
377,856
378,738
379,360
380,370
381,639
382,460
383,989
384,404
385,609
386,641
387,296
388,779
389,298
390,372
391,59
392,549
393,812
394,611
395,252
396,174
397,561
398,617
399,300
400,302
401,740
402,601
403,683
404,406
405,61
406,405
407,858
408,619
409,138
410,16
411,931
412,743
413,873
414,615
415,934
416,328
417,54
418,884
419,127
420,466
421,408
422,875
423,911
424,304
425,969
426,929
427,410
428,551
429,838
430,200
431,277
432,374
433,881
434,860
435,877
436,42
437,749
438,643
439,239
440,52
441,217
442,961
443,362
444,936
445,559
446,720
447,862
448,187
449,468
450,153
451,13
452,5
453,879
454,10
455,330
456,840
457,778
458,842
459,32
460,718
461,332
462,844
463,513
464,949
465,613
466,908
467,463
468,685
469,563
470,306
471,864
472,407
473,411
474,470
475,472
476,308
477,140
478,254
479,86
480,142
481,999
482,780
483,866
484,413
485,910
486,603
487,465
488,376
489,868
490,605
491,781
492,263
493,378
494,553
495,380
496,241
497,44
498,221
499,951
500,686
501,63
502,825
503,621
504,870
505,968
506,554
507,782
508,606
509,176
510,178
511,645
512,181
513,687
514,467
515,473
516,257
517,745
518,786
519,885
520,608
521,334
522,180
523,88
524,788
525,17
526,33
527,742
528,409
529,65
530,279
531,310
532,747
533,933
534,555
535,886
536,19
537,647
538,610
539,744
540,144
541,243
542,940
543,649
544,182
545,245
546,793
547,46
548,90
549,887
550,570
551,916
552,938
553,514
554,688
555,146
556,690
557,382
558,783
559,746
560,415
561,367
562,412
563,751
564,475
565,971
566,383
567,105
568,872
569,385
570,336
571,417
572,623
573,281
574,92
575,157
576,785
577,283
578,184
579,692
580,49
581,827
582,913
583,689
584,691
585,976
586,358
587,753
588,963
589,935
590,508
591,265
592,515
593,159
594,21
595,469
596,565
597,888
598,627
599,414
600,365
601,259
602,387
603,371
604,261
605,338
606,990
607,388
608,516
609,722
610,612
611,51
612,693
613,416
614,958
615,148
616,149
617,915
618,94
619,846
620,418
621,526
622,223
623,987
624,889
625,99
626,201
627,937
628,953
629,477
630,567
631,556
632,918
633,419
634,425
635,219
636,203
637,285
638,225
639,695
640,572
641,189
642,630
643,558
644,123
645,574
646,421
647,625
648,247
649,852
650,814
651,287
652,312
653,510
654,756
655,697
656,66
657,205
658,267
659,249
660,41
661,917
662,96
663,632
664,724
665,423
