vertex,label
0,151
1,90
2,109
3,157
4,178
5,39
6,127
7,89
8,92
9,196
10,4
11,3
12,154
13,156
14,172
15,12
16,34
17,161
18,8
19,175
20,41
21,76
22,99
23,24
24,71
25,11
26,13
27,43
28,94
29,14
30,26
31,121
32,186
33,126
34,158
35,28
36,16
37,111
38,53
39,159
40,141
41,95
42,105
43,107
44,27
45,18
46,140
47,55
48,73
49,70
50,57
51,179
52,144
53,117
54,59
55,9
56,128
57,75
58,147
59,153
60,114
61,66
62,45
63,96
64,85
65,74
66,101
67,7
68,0
69,77
70,187
71,174
72,46
73,38
74,98
75,130
76,194
77,47
78,100
79,116
80,48
81,171
82,150
83,180
84,166
85,52
86,115
87,62
88,44
89,181
90,160
91,61
92,149
93,32
94,183
95,20
96,72
97,119
98,25
99,29
100,63
101,15
102,118
103,120
104,54
105,168
106,189
107,103
108,36
109,190
110,102
111,132
112,134
113,152
114,173
115,136
116,185
117,42
118,104
119,49
120,64
121,184
122,30
123,162
124,65
125,68
126,23
127,164
128,79
129,176
130,5
131,138
132,50
133,60
134,192
135,177
136,108
137,163
138,56
139,58
140,67
141,131
142,17
143,106
144,195
145,129
146,165
147,93
148,80
149,167
150,145
151,182
152,31
153,51
154,87
155,78
156,33
157,110
158,122
159,113
160,125
161,148
162,133
163,112
164,135
165,193
166,1
167,19
168,10
169,123
170,40
171,170
172,81
173,124
174,142
175,188
176,146
177,97
178,2
179,35
180,139
181,37
182,82
183,191
184,155
185,199
186,197
187,91
188,200
189,21
190,137
191,84
192,69
193,6
194,169
195,86
196,88
197,143
198,83
199,22
