graph,source,#vertices,#edges,density,bin_vertices,bin_density
bcsstm01_clean,Harwell-Boeing_cleaned,48,0,0.0,Q1,Q1
bcsstm02_clean,Harwell-Boeing_cleaned,66,0,0.0,Q1,Q1
west0156_clean,Harwell-Boeing_cleaned,156,371,0.03069,Q1,Q2
dwt_245_clean,Harwell-Boeing_cleaned,245,608,0.02034,Q1,Q2
impcol_c_clean,Harwell-Boeing_cleaned,137,352,0.03778,Q1,Q2
dwt_66_clean,Harwell-Boeing_cleaned,66,63,0.02937,Q1,Q2
can_73_clean,Harwell-Boeing_cleaned,73,76,0.02892,Q1,Q2
can_96_clean,Harwell-Boeing_cleaned,96,168,0.03684,Q1,Q2
west0167_clean,Harwell-Boeing_cleaned,167,489,0.03528,Q1,Q2
lns_131_clean,Harwell-Boeing_cleaned,131,275,0.0323,Q1,Q2
dwt_209_clean,Harwell-Boeing_cleaned,209,767,0.03529,Q1,Q2
ash85_clean,Harwell-Boeing_cleaned,85,109,0.03053,Q1,Q2
erdos_n117_p0.4,random,117,2722,0.40112,Q1,Q3
nos4_clean,Harwell-Boeing_cleaned,100,247,0.0499,Q1,Q3
pores_1_clean,Harwell-Boeing_cleaned,30,51,0.11724,Q1,Q3
erdos_n201_p0.2,random,201,4055,0.20174,Q1,Q3
hamming6-2_clean,NR_DIMACS_cleaned,64,912,0.45238,Q1,Q3
erdos_n138_p0.4,random,138,3803,0.40231,Q1,Q3
bcsstk05_clean,Harwell-Boeing_cleaned,153,1135,0.09761,Q1,Q3
fs_183_3_clean,Harwell-Boeing_cleaned,183,701,0.04209,Q1,Q3
can_61_clean,Harwell-Boeing_cleaned,61,124,0.06776,Q1,Q3
bcsstk04_clean,Harwell-Boeing_cleaned,132,1758,0.20333,Q1,Q3
can_161_clean,Harwell-Boeing_cleaned,161,608,0.0472,Q1,Q3
lund_b_clean,Harwell-Boeing_cleaned,147,1147,0.10689,Q1,Q3
c-fat200-1_clean,NR_DIMACS_cleaned,200,1534,0.07709,Q1,Q3
impcol_e_clean,Harwell-Boeing_cleaned,225,1187,0.0471,Q1,Q3
gen200-p0-9-44_clean,NR_DIMACS_cleaned,200,17910,0.9,Q1,Q4
erdos_n220_p0.6,random,220,14527,0.60303,Q1,Q4
brock200-4_clean,NR_DIMACS_cleaned,200,13089,0.65774,Q1,Q4
erdos_n140_p0.8,random,140,7786,0.80021,Q1,Q4
bcsstk02_clean,Harwell-Boeing_cleaned,66,1072,0.49977,Q1,Q4
keller4_clean,NR_DIMACS_cleaned,171,9435,0.64912,Q1,Q4
san200-0-9-3_clean,NR_DIMACS_cleaned,200,17910,0.9,Q1,Q4
erdos_n142_p0.8,random,142,8010,0.80012,Q1,Q4
johnson16-2-4_clean,NR_DIMACS_cleaned,120,5460,0.76471,Q1,Q4
bcspwr05_clean,Harwell-Boeing_cleaned,443,590,0.00603,Q2,Q1
bcsstm20_clean,Harwell-Boeing_cleaned,485,0,0.0,Q2,Q1
c-fat500-1_clean,NR_DIMACS_cleaned,500,4459,0.03574,Q2,Q2
dwt_503_clean,Harwell-Boeing_cleaned,503,2762,0.02188,Q2,Q2
lshp_406_clean,Harwell-Boeing_cleaned,406,1155,0.01405,Q2,Q2
pores_3_clean,Harwell-Boeing_cleaned,532,1850,0.0131,Q2,Q2
fs_541_2_clean,Harwell-Boeing_cleaned,541,2466,0.01688,Q2,Q2
