bin_vertices,bin_density,total,vertices_min,vertices_max,density_min,density_max,selecionadas,frac_real
Q1,Q1,6,48,153,0.0,0.0,2,0.333
Q1,Q2,32,39,245,0.011,0.03911,10,0.312
Q1,Q3,45,9,240,0.03947,0.45238,14,0.311
Q1,Q4,28,10,250,0.46364,0.9,9,0.321
Q2,Q1,4,420,494,0.0,0.00603,2,0.5
Q2,Q2,36,261,541,0.01094,0.03933,11,0.306
Q2,Q3,27,256,506,0.04075,0.40534,9,0.333
Q2,Q4,43,256,533,0.5,0.99015,13,0.302
Q3,Q1,28,662,1000,0.0,0.0097,9,0.321
Q3,Q2,21,577,992,0.00997,0.03662,7,0.333
Q3,Q3,33,544,1000,0.04391,0.40153,10,0.303
Q3,Q4,31,564,1000,0.49009,0.90106,10,0.323
Q4,Q1,73,1005,44609,0.0,0.0095,22,0.301
Q4,Q2,21,1054,4884,0.0099,0.03741,7,0.333
Q4,Q3,5,1074,3140,0.04386,0.25343,2,0.4
Q4,Q4,9,1024,4000,0.50016,0.9963,3,0.333
