abb313,ERRO: matriz não quadrada
ash219,ERRO: matriz não quadrada
ash331,ERRO: matriz não quadrada
ash608,ERRO: matriz não quadrada
ash958,ERRO: matriz não quadrada
beacxc,ERRO: matriz não quadrada
beaflw,ERRO: matriz não quadrada
beause,ERRO: matriz não quadrada
gemat1,ERRO: matriz não quadrada
illc1033,ERRO: matriz não quadrada
illc1850,ERRO: matriz não quadrada
lshp1270,
mcca,Python int too large to convert to C long
sherman2,
well1033,ERRO: matriz não quadrada
well1850,ERRO: matriz não quadrada
wm1,ERRO: matriz não quadrada
wm2,ERRO: matriz não quadrada
wm3,ERRO: matriz não quadrada
young1c,"int() argument must be a string, a bytes-like object or a real number, not 'complex'"
young2c,"int() argument must be a string, a bytes-like object or a real number, not 'complex'"
young4c,"int() argument must be a string, a bytes-like object or a real number, not 'complex'"
